------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=18&areatype=county&cancer=057&race=00&sex=2&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '18', 'areatype': 'county', 'cancer': '057', 'race': '00', 'sex': '2', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_005.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=18&areatype=county&cancer=057&race=00&sex=2&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Indiana by County

"Cervix (All Stages^), 2012-2016"

"All Races (includes Hispanic), Female, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of 7.2?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Indiana(6,10)",18000,No,8 ,7.6, 8.5,269,stable,3.8 ,-0.6, 8.3
"US (SEER+NPCR)(1,10)",00000,No,7.6 ,7.5, 7.6,12695,stable,0.8 ,-0.6, 2.3
"Jackson County(6,10)",18071,No,16.2 ,9.3, 26.1,3,*,*,*,*
"Wayne County(6,10)",18177,No,14.8 ,9.5, 21.9,5,stable,1.5 ,-33.6, 55.1
"Vigo County(6,10)",18167,No,12.8 ,8.6, 18.3,6,stable,9.6 ,-26.0, 62.5
"Howard County(6,10)",18067,No,11.2 ,6.8, 17.2,4,*,*,*,*
"Delaware County(6,10)",18035,No,10.3 ,6.6, 15.4,5,stable,-16.1 ,-51.8, 46.1
"LaPorte County(6,10)",18091,No,9.7 ,6.2, 14.4,5,rising,34.7 ,22.2, 48.4
"Elkhart County(6,10)",18039,No,9.4 ,6.8, 12.5,9,stable,1.3 ,-45.9, 89.8
"Lake County(6,10)",18089,No,8.8 ,7.3, 10.7,23,stable,7.4 ,-5.1, 21.4
"Bartholomew County(6,10)",18005,No,8.7 ,5.1, 13.9,4,*,*,*,*
"Marion County(6,10)",18097,No,8.6 ,7.5, 9.9,42,stable,11.9 ,-0.9, 26.4
"Floyd County(6,10)",18043,No,8.6 ,5, 13.8,4,*,*,*,*
"Vanderburgh County(6,10)",18163,No,8.5 ,5.9, 11.7,8,stable,-14.9 ,-52.0, 51.1
"Madison County(6,10)",18095,No,8.4 ,5.5, 12.2,6,stable,1.4 ,-28.0, 42.7
"Hendricks County(6,10)",18063,No,8 ,5.4, 11.5,6,stable,-0.8 ,-25.7, 32.5
"Monroe County(6,10)",18105,No,8 ,4.9, 12.1,4,stable,-3.7 ,-32.6, 37.5
"St. Joseph County(6,10)",18141,No,7.5 ,5.5, 10,10,stable,13.6 ,-37.7, 107.0
"Clark County(6,10)",18019,No,7.5 ,4.6, 11.5,4,stable,3.2 ,-9.9, 18.1
"Allen County(6,10)",18003,No,7.5 ,5.8, 9.6,14,stable,3.7 ,-28.4, 50.1
"Porter County(6,10)",18127,Yes,7 ,4.7, 10,6,stable,-0.4 ,-43.0, 74.1
"Tippecanoe County(6,10)",18157,Yes,6.6 ,4.2, 9.9,5,stable,22.1 ,-2.7, 53.4
"Johnson County(6,10)",18081,Yes,4.7 ,2.8, 7.5,4,*,*,*,*
"Hamilton County(6,10)",18057,Yes,4.1 ,2.8, 5.9,6,stable,7.2 ,-29.3, 62.5
"Adams County(6,10)",18001,***,* ,*, *,3 or fewer,*,*,*,*
"Benton County(6,10)",18007,***,* ,*, *,3 or fewer,*,*,*,*
"Blackford County(6,10)",18009,***,* ,*, *,3 or fewer,*,*,*,*
"Boone County(6,10)",18011,***,* ,*, *,3 or fewer,*,*,*,*
"Brown County(6,10)",18013,***,* ,*, *,3 or fewer,*,*,*,*
"Carroll County(6,10)",18015,***,* ,*, *,3 or fewer,*,*,*,*
"Cass County(6,10)",18017,***,* ,*, *,3 or fewer,*,*,*,*
"Clay County(6,10)",18021,***,* ,*, *,3 or fewer,*,*,*,*
"Clinton County(6,10)",18023,***,* ,*, *,3 or fewer,*,*,*,*
"Crawford County(6,10)",18025,***,* ,*, *,3 or fewer,*,*,*,*
"Daviess County(6,10)",18027,***,* ,*, *,3 or fewer,*,*,*,*
"DeKalb County(6,10)",18033,***,* ,*, *,3 or fewer,*,*,*,*
"Dearborn County(6,10)",18029,***,* ,*, *,3 or fewer,*,*,*,*
"Decatur County(6,10)",18031,***,* ,*, *,3 or fewer,*,*,*,*
"Dubois County(6,10)",18037,***,* ,*, *,3 or fewer,*,*,*,*
"Fayette County(6,10)",18041,***,* ,*, *,3 or fewer,*,*,*,*
"Fountain County(6,10)",18045,***,* ,*, *,3 or fewer,*,*,*,*
"Franklin County(6,10)",18047,***,* ,*, *,3 or fewer,*,*,*,*
"Fulton County(6,10)",18049,***,* ,*, *,3 or fewer,*,*,*,*
"Gibson County(6,10)",18051,***,* ,*, *,3 or fewer,*,*,*,*
"Grant County(6,10)",18053,***,* ,*, *,3 or fewer,*,*,*,*
"Greene County(6,10)",18055,***,* ,*, *,3 or fewer,*,*,*,*
"Hancock County(6,10)",18059,***,* ,*, *,3 or fewer,*,*,*,*
"Harrison County(6,10)",18061,***,* ,*, *,3 or fewer,*,*,*,*
"Henry County(6,10)",18065,***,* ,*, *,3 or fewer,*,*,*,*
"Huntington County(6,10)",18069,***,* ,*, *,3 or fewer,*,*,*,*
"Jasper County(6,10)",18073,***,* ,*, *,3 or fewer,*,*,*,*
"Jay County(6,10)",18075,***,* ,*, *,3 or fewer,*,*,*,*
"Jefferson County(6,10)",18077,***,* ,*, *,3 or fewer,*,*,*,*
"Jennings County(6,10)",18079,***,* ,*, *,3 or fewer,*,*,*,*
"Knox County(6,10)",18083,***,* ,*, *,3 or fewer,*,*,*,*
"Kosciusko County(6,10)",18085,***,* ,*, *,3 or fewer,*,*,*,*
"LaGrange County(6,10)",18087,***,* ,*, *,3 or fewer,*,*,*,*
"Lawrence County(6,10)",18093,***,* ,*, *,3 or fewer,*,*,*,*
"Marshall County(6,10)",18099,***,* ,*, *,3 or fewer,*,*,*,*
"Martin County(6,10)",18101,***,* ,*, *,3 or fewer,*,*,*,*
"Miami County(6,10)",18103,***,* ,*, *,3 or fewer,*,*,*,*
"Montgomery County(6,10)",18107,***,* ,*, *,3 or fewer,*,*,*,*
"Morgan County(6,10)",18109,***,* ,*, *,3 or fewer,*,*,*,*
"Newton County(6,10)",18111,***,* ,*, *,3 or fewer,*,*,*,*
"Noble County(6,10)",18113,***,* ,*, *,3 or fewer,*,*,*,*
"Ohio County(6,10)",18115,***,* ,*, *,3 or fewer,*,*,*,*
"Orange County(6,10)",18117,***,* ,*, *,3 or fewer,*,*,*,*
"Owen County(6,10)",18119,***,* ,*, *,3 or fewer,*,*,*,*
"Parke County(6,10)",18121,***,* ,*, *,3 or fewer,*,*,*,*
"Perry County(6,10)",18123,***,* ,*, *,3 or fewer,*,*,*,*
"Pike County(6,10)",18125,***,* ,*, *,3 or fewer,*,*,*,*
"Posey County(6,10)",18129,***,* ,*, *,3 or fewer,*,*,*,*
"Pulaski County(6,10)",18131,***,* ,*, *,3 or fewer,*,*,*,*
"Putnam County(6,10)",18133,***,* ,*, *,3 or fewer,*,*,*,*
"Randolph County(6,10)",18135,***,* ,*, *,3 or fewer,*,*,*,*
"Ripley County(6,10)",18137,***,* ,*, *,3 or fewer,*,*,*,*
"Rush County(6,10)",18139,***,* ,*, *,3 or fewer,*,*,*,*
"Scott County(6,10)",18143,***,* ,*, *,3 or fewer,*,*,*,*
"Shelby County(6,10)",18145,***,* ,*, *,3 or fewer,*,*,*,*
"Spencer County(6,10)",18147,***,* ,*, *,3 or fewer,*,*,*,*
"Starke County(6,10)",18149,***,* ,*, *,3 or fewer,*,*,*,*
"Steuben County(6,10)",18151,***,* ,*, *,3 or fewer,*,*,*,*
"Sullivan County(6,10)",18153,***,* ,*, *,3 or fewer,*,*,*,*
"Switzerland County(6,10)",18155,***,* ,*, *,3 or fewer,*,*,*,*
"Tipton County(6,10)",18159,***,* ,*, *,3 or fewer,*,*,*,*
"Union County(6,10)",18161,***,* ,*, *,3 or fewer,*,*,*,*
"Vermillion County(6,10)",18165,***,* ,*, *,3 or fewer,*,*,*,*
"Wabash County(6,10)",18169,***,* ,*, *,3 or fewer,*,*,*,*
"Warren County(6,10)",18171,***,* ,*, *,3 or fewer,*,*,*,*
"Warrick County(6,10)",18173,***,* ,*, *,3 or fewer,*,*,*,*
"Washington County(6,10)",18175,***,* ,*, *,3 or fewer,*,*,*,*
"Wells County(6,10)",18179,***,* ,*, *,3 or fewer,*,*,*,*
"White County(6,10)",18181,***,* ,*, *,3 or fewer,*,*,*,*
"Whitley County(6,10)",18183,***,* ,*, *,3 or fewer,*,*,*,*

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:58 pm.

State Cancer Registries may provide more current or more local data.
"† Incidence rates (cases per 100,000 population per year) are age-adjusted to the 2000 US standard population [http://www.seer.cancer.gov/stdpopulations/stdpop.19ages.html] (19 age groups: <1, 1-4, 5-9, ... , 80-84, 85+). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Rates calculated using SEER*Stat. Population counts for denominators are based on Census populations as modified [https://seer.cancer.gov/popdata/] by NCI. The 1969-2016 US Population Data File [https://seer.cancer.gov/popdata/] is used for SEER and NPCR incidence rates."
"‡ Incidence data come from different sources. Due to different years of data availability, most of the trends are AAPCs based on APCs but some are APCs calculated in SEER*Stat. Please refer to the source for each area for additional information."

Rates and trends are computed using different standards for malignancy. For more information see malignant.html.

