------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=19&areatype=county&cancer=020&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '19', 'areatype': 'county', 'cancer': '020', 'race': '00', 'sex': '0', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_008.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=19&areatype=county&cancer=020&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Iowa by County

"Colon & Rectum (All Stages^), 2012-2016"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of 39.9?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Iowa(7,8)",19000,No,44.4 ,43.4, 45.4,1670,stable,-0.9 ,-2.6, 0.9
"US (SEER+NPCR)(1,10)",00000,Yes,38.7 ,38.6, 38.8,140982,falling,-1.3 ,-2.1, -0.6
"Adams County(7,8)",19003,No,78 ,48.7, 121.3,5,stable,2.0 ,-0.6, 4.7
"Palo Alto County(7,8)",19147,No,68.6 ,47, 96.9,8,stable,-0.2 ,-2.1, 1.7
"Cass County(7,8)",19029,No,68 ,52.2, 87.6,14,stable,0.7 ,-0.9, 2.2
"Pocahontas County(7,8)",19151,No,64.3 ,43, 93.5,7,stable,-1.6 ,-3.5, 0.4
"Decatur County(7,8)",19053,No,63.6 ,42, 92.8,6,stable,-0.8 ,-2.5, 0.9
"Shelby County(7,8)",19165,No,62.7 ,47.2, 82.6,12,stable,-0.6 ,-2.5, 1.2
"Osceola County(7,8)",19143,No,61.5 ,39.3, 92.7,6,stable,0.2 ,-2.3, 2.8
"Monroe County(7,8)",19135,No,61.4 ,42.1, 87.6,7,stable,-0.5 ,-2.7, 1.8
"Henry County(7,8)",19087,No,59.5 ,46.5, 75.3,15,stable,-0.4 ,-1.6, 0.9
"Humboldt County(7,8)",19091,No,59.2 ,41.1, 83.1,8,stable,-2.2 ,-4.3, 0.0
"Harrison County(7,8)",19085,No,57.5 ,43, 75.8,11,stable,-1.5 ,-3.0, 0.0
"Muscatine County(7,8)",19139,No,57.1 ,48, 67.5,29,falling,-1.3 ,-2.5, -0.1
"Emmet County(7,8)",19063,No,56.3 ,40.7, 77,9,stable,-0.7 ,-2.1, 0.8
"Guthrie County(7,8)",19077,No,55.4 ,40.5, 75,10,stable,-1.0 ,-2.7, 0.6
"Greene County(7,8)",19073,No,54.9 ,38.6, 76.9,8,stable,-0.4 ,-2.3, 1.4
"Grundy County(7,8)",19075,No,54.8 ,39.3, 74.8,9,stable,0.0 ,-1.5, 1.5
