------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=08&areatype=county&topic=inc&demo=00011&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '08', 'areatype': 'county', 'topic': 'inc', 'demo': '00011', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_005.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=08&areatype=county&topic=inc&demo=00011&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Colorado by County
Income: Median household income
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Dollars),Rank within US
"United States",00000,57652.000000000,"N/A"
"Colorado",08000,65458.000000000,"13 of 52"
"Costilla County",08023,29000.000000000,"3080 of 3141"
"Bent County",08011,32500.000000000,"2972 of 3141"
"Saguache County",08109,34765.000000000,"2885 of 3141"
"Otero County",08089,35051.000000000,"2870 of 3141"
"Crowley County",08025,35292.000000000,"2852 of 3141"
"Conejos County",08021,35657.000000000,"2826 of 3141"
"Huerfano County",08055,35801.000000000,"2818 of 3141"
"Baca County",08009,35898.000000000,"2812 of 3141"
"Alamosa County",08003,36315.000000000,"2780 of 3141"
"Rio Grande County",08105,38534.000000000,"2602 of 3141"
"Kiowa County",08061,39250.000000000,"2539 of 3141"
"Dolores County",08033,40352.000000000,"2446 of 3141"
"Las Animas County",08071,40586.000000000,"2419 of 3141"
"Custer County",08027,41330.000000000,"2326 of 3141"
"Prowers County",08099,41740.000000000,"2273 of 3141"
"Pueblo County",08101,42386.000000000,"2205 of 3141"
"Delta County",08029,42487.000000000,"2194 of 3141"
"Yuma County",08125,44668.000000000,"1966 of 3141"
"Fremont County",08043,44712.000000000,"1959 of 3141"
"Lincoln County",08073,44725.000000000,"1958 of 3141"
"Montrose County",08085,44865.000000000,"1943 of 3141"
"Logan County",08075,44876.000000000,"1939 of 3141"
"Montezuma County",08083,45645.000000000,"1851 of 3141"
"Kit Carson County",08063,45881.000000000,"1826 of 3141"
"Jackson County",08057,45994.000000000,"1814 of 3141"
"Lake County",08065,46176.000000000,"1791 of 3141"
"San Juan County",08111,46397.000000000,"1759 of 3141"
"Archuleta County",08007,48016.000000000,"1575 of 3141"
"Sedgwick County",08115,49583.000000000,"1411 of 3141"
"Phillips County",08095,50076.000000000,"1349 of 3141"
"Mineral County",08079,50385.000000000,"1311 of 3141"
"Morgan County",08087,51456.000000000,"1181 of 3141"
"Washington County",08121,51458.000000000,"1179 of 3141"
"Mesa County",08077,51971.000000000,"1125 of 3141"
"Gunnison County",08051,52651.000000000,"1046 of 3141"
"Moffat County",08081,53010.000000000,"1019 of 3141"
"Hinsdale County",08053,53056.000000000,"1012 of 3141"
"Chaffee County",08015,53762.000000000,"948 of 3141"
"Cheyenne County",08017,54907.000000000,"845 of 3141"
"Rio Blanco County",08103,57991.000000000,"630 of 3141"
"Denver County",08031,60098.000000000,"518 of 3141"
"Ouray County",08091,61333.000000000,"451 of 3141"
"Park County",08093,61644.000000000,"438 of 3141"
"San Miguel County",08113,62243.000000000,"414 of 3141"
"La Plata County",08067,62533.000000000,"400 of 3141"
"El Paso County",08041,62535.000000000,"399 of 3141"
"Adams County",08001,64087.000000000,"343 of 3141"
"Larimer County",08069,64980.000000000,"323 of 3141"
"Grand County",08049,66489.000000000,"280 of 3141"
"Weld County",08123,66489.000000000,"280 of 3141"
"Garfield County",08045,66503.000000000,"279 of 3141"
"Teller County",08119,66809.000000000,"273 of 3141"
"Routt County",08107,67472.000000000,"259 of 3141"
"Pitkin County",08097,67755.000000000,"254 of 3141"
"Clear Creek County",08019,68534.000000000,"238 of 3141"
"Arapahoe County",08005,69553.000000000,"224 of 3141"
"Gilpin County",08047,72544.000000000,"185 of 3141"
"Summit County",08117,73538.000000000,"177 of 3141"
"Jefferson County",08059,75170.000000000,"156 of 3141"
"Boulder County",08013,75669.000000000,"150 of 3141"
"Eagle County",08037,83803.000000000,"76 of 3141"
"Broomfield County",08014,85639.000000000,"65 of 3141"
"Elbert County",08039,92849.000000000,"36 of 3141"
"Douglas County",08035,111154.000000000,"6 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:59 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Income: Median household income, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#income."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
"Median Incomes over 250,000 have been coded to 250,001 by the Census Bureau. [ http://www2.census.gov/acs2012_5yr/summaryfile/ACS_2008-2012_SF_Tech_Doc.pdf ]"
Data for United States does not include Puerto Rico.
