------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=08&areatype=county&topic=pov&demo=00008&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '08', 'areatype': 'county', 'topic': 'pov', 'demo': '00008', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_029.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=08&areatype=county&topic=pov&demo=00008&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Colorado by County
Poverty: Persons below poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Below Poverty),Rank within US
"Colorado",08000,11.5,612143,"14 of 52"
"United States",00000,14.6,45650345,"N/A"
"San Juan County",08111,3.3,19,"9 of 3141"
"Douglas County",08035,3.6,11636,"11 of 3141"
"Elbert County",08039,4.8,1160,"25 of 3141"
"Broomfield County",08014,5.2,3340,"49 of 3141"
"Gilpin County",08047,5.6,315,"64 of 3141"
"Park County",08093,6.6,1098,"118 of 3141"
"Clear Creek County",08019,6.8,622,"128 of 3141"
"Pitkin County",08097,7.1,1250,"154 of 3141"
"Teller County",08119,7.5,1760,"183 of 3141"
"Eagle County",08037,7.7,4128,"210 of 3141"
"Jefferson County",08059,7.8,43339,"218 of 3141"
"Phillips County",08095,8.1,345,"251 of 3141"
"Morgan County",08087,9.3,2579,"411 of 3141"
"Chaffee County",08015,9.6,1686,"456 of 3141"
"Garfield County",08045,9.6,5449,"457 of 3141"
"La Plata County",08067,9.6,5045,"460 of 3141"
"Washington County",08121,9.9,443,"523 of 3141"
"Arapahoe County",08005,9.9,61463,"524 of 3141"
"Moffat County",08081,10.1,1305,"559 of 3141"
"Summit County",08117,10.3,3063,"598 of 3141"
"Ouray County",08091,10.4,484,"608 of 3141"
"San Miguel County",08113,10.5,815,"619 of 3141"
"Kiowa County",08061,10.6,142,"637 of 3141"
"Routt County",08107,10.7,2567,"654 of 3141"
"El Paso County",08041,11.1,72699,"725 of 3141"
"Weld County",08123,11.2,31353,"756 of 3141"
"Kit Carson County",08063,11.5,814,"810 of 3141"
"Archuleta County",08007,11.6,1446,"844 of 3141"
"Rio Blanco County",08103,11.8,733,"877 of 3141"
"Cheyenne County",08017,11.8,245,"885 of 3141"
"Hinsdale County",08053,12.0,98,"912 of 3141"
"Mineral County",08079,12.0,100,"918 of 3141"
"Adams County",08001,12.2,59050,"953 of 3141"
"Larimer County",08069,12.4,40006,"1003 of 3141"
"Lake County",08065,12.8,939,"1060 of 3141"
"Jackson County",08057,12.8,175,"1067 of 3141"
"Boulder County",08013,13.1,39882,"1125 of 3141"
"Grand County",08049,13.1,1927,"1145 of 3141"
"Lincoln County",08073,14.0,492,"1347 of 3141"
"Gunnison County",08051,14.1,2170,"1355 of 3141"
"Dolores County",08033,14.1,245,"1360 of 3141"
"Yuma County",08125,14.3,1425,"1398 of 3141"
"Huerfano County",08055,14.8,937,"1489 of 3141"
"Denver County",08031,15.1,100611,"1554 of 3141"
"Custer County",08027,15.7,693,"1668 of 3141"
"Fremont County",08043,15.8,5654,"1686 of 3141"
"Mesa County",08077,16.0,23238,"1744 of 3141"
"Delta County",08029,16.5,4795,"1822 of 3141"
"Montezuma County",08083,16.8,4275,"1898 of 3141"
"Logan County",08075,16.8,3500,"1908 of 3141"
"Sedgwick County",08115,17.0,392,"1948 of 3141"
"Las Animas County",08071,17.0,2266,"1951 of 3141"
"Montrose County",08085,17.8,7189,"2096 of 3141"
"Rio Grande County",08105,18.1,2018,"2171 of 3141"
"Prowers County",08099,18.3,2147,"2197 of 3141"
"Baca County",08009,19.5,674,"2358 of 3141"
"Pueblo County",08101,19.8,31467,"2410 of 3141"
"Saguache County",08109,21.0,1327,"2542 of 3141"
"Conejos County",08021,21.1,1709,"2551 of 3141"
"Otero County",08089,22.9,4085,"2728 of 3141"
"Bent County",08011,24.5,948,"2829 of 3141"
"Crowley County",08025,24.6,1054,"2844 of 3141"
"Alamosa County",08003,27.8,4239,"2990 of 3141"
"Costilla County",08023,29.6,1073,"3023 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:59 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Persons below poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
