------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=08&areatype=county&topic=pop&demo=00014&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '08', 'areatype': 'county', 'topic': 'pop', 'demo': '00014', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_022.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=08&areatype=county&topic=pop&demo=00014&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Colorado by County
Population: Foreign born
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Foreign Born),Rank within US
"Colorado",08000,9.8,533576,"19 of 51"
"United States",00000,13.4,43028127,"N/A"
"Kiowa County",08061,0.1,2,"3111 of 3140"
"San Juan County",08111,0.9,5,"2737 of 3140"
"Mineral County",08079,1.0,8,"2678 of 3140"
"Hinsdale County",08053,1.1,9,"2569 of 3140"
"Dolores County",08033,1.5,26,"2252 of 3140"
"Huerfano County",08055,1.9,123,"1985 of 3140"
"Custer County",08027,2.1,95,"1862 of 3140"
"Ouray County",08091,2.2,102,"1812 of 3140"
"Montezuma County",08083,2.5,654,"1659 of 3140"
"Fremont County",08043,2.9,1356,"1469 of 3140"
"Teller County",08119,3.0,706,"1435 of 3140"
"Clear Creek County",08019,3.0,282,"1402 of 3140"
"Gilpin County",08047,3.1,179,"1391 of 3140"
"Washington County",08121,3.2,152,"1365 of 3140"
"Conejos County",08021,3.2,263,"1344 of 3140"
"Sedgwick County",08115,3.3,77,"1327 of 3140"
"Elbert County",08039,3.4,831,"1295 of 3140"
"Rio Blanco County",08103,3.4,225,"1278 of 3140"
"Chaffee County",08015,3.5,655,"1262 of 3140"
"Gunnison County",08051,3.6,585,"1229 of 3140"
"Mesa County",08077,3.7,5451,"1214 of 3140"
"Park County",08093,3.7,620,"1212 of 3140"
"La Plata County",08067,3.9,2111,"1154 of 3140"
"Pueblo County",08101,3.9,6375,"1149 of 3140"
"Baca County",08009,4.0,145,"1101 of 3140"
"Logan County",08075,4.1,891,"1094 of 3140"
"Delta County",08029,4.3,1310,"1031 of 3140"
"Lincoln County",08073,4.7,259,"966 of 3140"
"Las Animas County",08071,4.9,692,"937 of 3140"
"Bent County",08011,5.4,312,"854 of 3140"
"Larimer County",08069,5.4,17792,"853 of 3140"
"Crowley County",08025,5.6,307,"815 of 3140"
"Otero County",08089,5.8,1071,"767 of 3140"
"Routt County",08107,5.9,1426,"763 of 3140"
"Moffat County",08081,6.2,815,"710 of 3140"
"Archuleta County",08007,6.5,814,"678 of 3140"
"Rio Grande County",08105,6.6,752,"660 of 3140"
"Jefferson County",08059,6.7,37690,"651 of 3140"
"Montrose County",08085,6.7,2755,"643 of 3140"
"El Paso County",08041,6.9,46415,"624 of 3140"
"Douglas County",08035,7.2,23187,"585 of 3140"
"San Miguel County",08113,7.6,594,"545 of 3140"
"Lake County",08065,8.2,611,"491 of 3140"
"Costilla County",08023,8.5,307,"468 of 3140"
"Kit Carson County",08063,8.6,672,"457 of 3140"
"Grand County",08049,8.7,1286,"441 of 3140"
"Cheyenne County",08017,8.7,185,"440 of 3140"
"Weld County",08123,8.8,25091,"433 of 3140"
"Jackson County",08057,9.0,123,"419 of 3140"
"Broomfield County",08014,9.8,6273,"367 of 3140"
"Prowers County",08099,10.0,1203,"363 of 3140"
"Yuma County",08125,10.0,1014,"356 of 3140"
"Alamosa County",08003,10.1,1657,"348 of 3140"
"Summit County",08117,10.2,3043,"339 of 3140"
"Phillips County",08095,10.3,447,"332 of 3140"
"Boulder County",08013,10.8,34147,"303 of 3140"
"Pitkin County",08097,11.7,2068,"267 of 3140"
"Saguache County",08109,12.0,758,"257 of 3140"
"Morgan County",08087,13.2,3702,"218 of 3140"
"Arapahoe County",08005,14.9,93089,"191 of 3140"
"Garfield County",08045,15.0,8686,"188 of 3140"
"Adams County",08001,15.3,74468,"183 of 3140"
"Denver County",08031,15.8,107141,"172 of 3140"
"Eagle County",08037,17.7,9486,"141 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:59 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Foreign born, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
