------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=08&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '08', 'areatype': 'county', 'topic': 'pop', 'demo': '00101', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_024.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=08&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Colorado by County
Population: Non-Hispanic (Origin Recode)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Non-Hispanic [Origin Recode]),Rank within US
"Colorado",08000,78.7,4279319,"8 of 52"
"United States",00000,82.4,264493836,"N/A"
"Costilla County",08023,36.2,1314,"41 of 3141"
"Conejos County",08021,46.6,3793,"83 of 3141"
"Alamosa County",08003,54.2,8857,"119 of 3141"
"Rio Grande County",08105,55.4,6334,"126 of 3141"
"Pueblo County",08101,57.3,93559,"134 of 3141"
"Las Animas County",08071,57.6,8147,"135 of 3141"
"Otero County",08089,58.5,10713,"141 of 3141"
"Adams County",08001,60.7,295993,"157 of 3141"
"Prowers County",08099,62.8,7591,"173 of 3141"
"Saguache County",08109,63.0,3990,"174 of 3141"
"Morgan County",08087,64.2,18068,"179 of 3141"
"Huerfano County",08055,65.3,4241,"186 of 3141"
"Lake County",08065,66.1,4943,"194 of 3141"
"Bent County",08011,68.0,3949,"210 of 3141"
"Crowley County",08025,69.3,3821,"220 of 3141"
"Denver County",08031,69.5,471367,"223 of 3141"
"Eagle County",08037,70.4,37842,"235 of 3141"
"Weld County",08123,71.0,202809,"238 of 3141"
"Garfield County",08045,71.9,41669,"244 of 3141"
"Jackson County",08057,75.6,1037,"296 of 3141"
"Lincoln County",08073,77.3,4267,"326 of 3141"
"Yuma County",08125,77.4,7820,"328 of 3141"
"Montrose County",08085,79.5,32541,"369 of 3141"
"Phillips County",08095,79.9,3458,"379 of 3141"
"Kit Carson County",08063,80.8,6336,"396 of 3141"
"Arapahoe County",08005,81.1,508262,"407 of 3141"
"Archuleta County",08007,81.7,10283,"421 of 3141"
"El Paso County",08041,83.5,563497,"464 of 3141"
"Logan County",08075,84.5,18483,"494 of 3141"
"Jefferson County",08059,84.8,478540,"509 of 3141"
"Delta County",08029,85.0,25692,"513 of 3141"
"Moffat County",08081,85.1,11108,"516 of 3141"
"Cheyenne County",08017,85.1,1810,"518 of 3141"
"Mesa County",08077,85.8,127621,"542 of 3141"
"Summit County",08117,86.0,25564,"551 of 3141"
"Boulder County",08013,86.2,273224,"555 of 3141"
"San Juan County",08111,86.6,493,"565 of 3141"
"Fremont County",08043,87.0,40543,"577 of 3141"
"Mineral County",08079,87.4,729,"591 of 3141"
"La Plata County",08067,87.4,47623,"594 of 3141"
"Montezuma County",08083,87.8,22617,"609 of 3141"
"Broomfield County",08014,87.9,56527,"624 of 3141"
"Larimer County",08069,88.8,293983,"663 of 3141"
"Sedgwick County",08115,88.8,2094,"666 of 3141"
"Baca County",08009,89.5,3205,"704 of 3141"
"Chaffee County",08015,89.9,16923,"722 of 3141"
"Rio Blanco County",08103,90.1,5906,"739 of 3141"
"San Miguel County",08113,90.1,7033,"743 of 3141"
"Pitkin County",08097,90.2,16005,"747 of 3141"
"Washington County",08121,90.4,4349,"770 of 3141"
"Gilpin County",08047,90.8,5259,"793 of 3141"
"Gunnison County",08051,90.9,14737,"803 of 3141"
"Douglas County",08035,91.7,294200,"866 of 3141"
"Grand County",08049,91.9,13599,"890 of 3141"
"Routt County",08107,93.1,22677,"1003 of 3141"
"Elbert County",08039,93.5,22949,"1052 of 3141"
"Teller County",08119,93.8,22300,"1100 of 3141"
"Clear Creek County",08019,93.9,8690,"1103 of 3141"
"Hinsdale County",08053,94.0,771,"1135 of 3141"
"Park County",08093,94.1,15909,"1146 of 3141"
"Ouray County",08091,94.3,4390,"1192 of 3141"
"Dolores County",08033,95.4,1657,"1417 of 3141"
"Custer County",08027,95.4,4300,"1418 of 3141"
"Kiowa County",08061,95.6,1308,"1457 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:59 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Non-Hispanic (Origin Recode), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
