------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=08&areatype=county&topic=mob&demo=00018&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '08', 'areatype': 'county', 'topic': 'mob', 'demo': '00018', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_009.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=08&areatype=county&topic=mob&demo=00018&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Colorado by County
"Mobility: Moved, same county (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved Within County),Rank within US
"United States",00000,8.4,26717038,"N/A"
"Colorado",08000,9.0,482417,"36 of 51"
"Hinsdale County",08053,0.0,0,"1 of 3140"
"Mineral County",08079,1.0,8,"26 of 3140"
"Elbert County",08039,1.1,275,"34 of 3140"
"Kiowa County",08061,1.4,19,"48 of 3140"
"Crowley County",08025,2.8,153,"210 of 3140"
"Sedgwick County",08115,3.0,69,"261 of 3140"
"Clear Creek County",08019,3.1,284,"282 of 3140"
"Phillips County",08095,3.4,145,"344 of 3140"
"Conejos County",08021,3.4,276,"353 of 3140"
"Broomfield County",08014,3.5,2253,"384 of 3140"
"Park County",08093,3.7,616,"425 of 3140"
"Archuleta County",08007,3.8,477,"472 of 3140"
"Ouray County",08091,4.3,198,"615 of 3140"
"Rio Grande County",08105,4.3,490,"628 of 3140"
"Bent County",08011,4.6,264,"733 of 3140"
"Costilla County",08023,4.9,174,"864 of 3140"
"Huerfano County",08055,4.9,318,"874 of 3140"
"Gilpin County",08047,5.0,283,"897 of 3140"
"Dolores County",08033,5.0,86,"899 of 3140"
"Eagle County",08037,5.0,2674,"934 of 3140"
"Teller County",08119,5.3,1252,"1074 of 3140"
"Saguache County",08109,5.3,335,"1086 of 3140"
"Pitkin County",08097,5.8,1019,"1313 of 3140"
"Routt County",08107,6.1,1468,"1470 of 3140"
"Lake County",08065,6.2,458,"1516 of 3140"
"Lincoln County",08073,6.2,337,"1518 of 3140"
"Yuma County",08125,6.2,621,"1542 of 3140"
"Chaffee County",08015,6.3,1177,"1591 of 3140"
"Delta County",08029,6.4,1911,"1620 of 3140"
"Custer County",08027,6.4,288,"1640 of 3140"
"San Miguel County",08113,6.7,520,"1772 of 3140"
"Jackson County",08057,6.8,91,"1786 of 3140"
"Jefferson County",08059,6.8,37814,"1787 of 3140"
"Douglas County",08035,6.8,21535,"1790 of 3140"
"Prowers County",08099,7.0,831,"1864 of 3140"
"Adams County",08001,7.1,34076,"1903 of 3140"
"Cheyenne County",08017,7.2,148,"1939 of 3140"
"Alamosa County",08003,7.2,1161,"1965 of 3140"
"Grand County",08049,7.6,1117,"2118 of 3140"
"Kit Carson County",08063,7.9,610,"2251 of 3140"
"Montrose County",08085,8.0,3225,"2261 of 3140"
"Garfield County",08045,8.1,4654,"2306 of 3140"
"Otero County",08089,8.3,1514,"2372 of 3140"
"Washington County",08121,8.5,403,"2393 of 3140"
"Arapahoe County",08005,8.6,53268,"2440 of 3140"
"Fremont County",08043,8.6,4007,"2455 of 3140"
"Weld County",08123,8.7,24387,"2459 of 3140"
"La Plata County",08067,9.0,4866,"2575 of 3140"
"Montezuma County",08083,9.3,2379,"2632 of 3140"
"Denver County",08031,9.4,62854,"2655 of 3140"
"Baca County",08009,9.4,333,"2662 of 3140"
"Las Animas County",08071,9.5,1338,"2692 of 3140"
"San Juan County",08111,9.7,55,"2714 of 3140"
"Morgan County",08087,9.9,2759,"2761 of 3140"
"Rio Blanco County",08103,9.9,643,"2765 of 3140"
"Summit County",08117,10.2,3000,"2814 of 3140"
"Gunnison County",08051,10.2,1639,"2828 of 3140"
"Logan County",08075,10.6,2275,"2876 of 3140"
"Boulder County",08013,11.0,34483,"2937 of 3140"
"Larimer County",08069,11.4,37199,"2981 of 3140"
"Pueblo County",08101,11.6,18688,"3002 of 3140"
"Mesa County",08077,12.4,18212,"3055 of 3140"
"El Paso County",08041,12.4,82533,"3057 of 3140"
"Moffat County",08081,14.5,1872,"3118 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:59 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, same county (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
