------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=08&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '08', 'areatype': 'county', 'topic': 'crowd', 'demo': '00027', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_000.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=08&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Colorado by County
Crowding: Households with >1 person per room
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (with >1 Person Per Room),Rank within US
"Colorado",08000,2.7,55394,"19 of 52"
"United States",00000,3.3,3975282,"N/A"
"Jackson County",08057,0.0,0,"3097 of 3141"
"Kiowa County",08061,0.3,2,"3044 of 3141"
"Mineral County",08079,0.5,2,"2995 of 3141"
"Cheyenne County",08017,0.5,4,"2988 of 3141"
"Lincoln County",08073,0.5,8,"2974 of 3141"
"Kit Carson County",08063,0.8,24,"2811 of 3141"
"Gilpin County",08047,0.9,23,"2728 of 3141"
"Huerfano County",08055,1.0,31,"2640 of 3141"
"Park County",08093,1.0,73,"2625 of 3141"
"Baca County",08009,1.0,16,"2616 of 3141"
"Ouray County",08091,1.0,23,"2567 of 3141"
"Chaffee County",08015,1.1,84,"2549 of 3141"
"Douglas County",08035,1.1,1245,"2520 of 3141"
"Elbert County",08039,1.3,116,"2246 of 3141"
"Jefferson County",08059,1.4,3110,"2181 of 3141"
"Pitkin County",08097,1.4,101,"2167 of 3141"
"Larimer County",08069,1.5,1908,"2071 of 3141"
"Clear Creek County",08019,1.7,75,"1786 of 3141"
"Boulder County",08013,1.7,2169,"1772 of 3141"
"Broomfield County",08014,1.8,455,"1753 of 3141"
"Fremont County",08043,1.8,300,"1724 of 3141"
"Dolores County",08033,1.8,13,"1659 of 3141"
"Costilla County",08023,1.8,29,"1653 of 3141"
"Moffat County",08081,1.9,97,"1597 of 3141"
"Teller County",08119,2.0,201,"1505 of 3141"
"Lake County",08065,2.1,69,"1424 of 3141"
"Mesa County",08077,2.1,1290,"1369 of 3141"
"Otero County",08089,2.1,161,"1350 of 3141"
"Prowers County",08099,2.2,107,"1317 of 3141"
"Crowley County",08025,2.2,27,"1276 of 3141"
"Logan County",08075,2.2,183,"1248 of 3141"
"La Plata County",08067,2.3,495,"1228 of 3141"
"Custer County",08027,2.3,49,"1162 of 3141"
"Washington County",08121,2.4,48,"1120 of 3141"
"Pueblo County",08101,2.4,1540,"1086 of 3141"
"Hinsdale County",08053,2.4,9,"1069 of 3141"
"Montezuma County",08083,2.6,269,"979 of 3141"
"El Paso County",08041,2.7,6705,"890 of 3141"
"Sedgwick County",08115,2.7,27,"881 of 3141"
"Routt County",08107,2.8,264,"831 of 3141"
"Delta County",08029,2.9,352,"782 of 3141"
"Weld County",08123,2.9,2921,"775 of 3141"
"Arapahoe County",08005,3.0,6994,"755 of 3141"
"San Miguel County",08113,3.0,99,"741 of 3141"
"Las Animas County",08071,3.0,190,"737 of 3141"
"Rio Blanco County",08103,3.1,74,"707 of 3141"
"Bent County",08011,3.1,54,"706 of 3141"
"Yuma County",08125,3.1,127,"669 of 3141"
"San Juan County",08111,3.1,8,"666 of 3141"
"Gunnison County",08051,3.3,212,"609 of 3141"
"Montrose County",08085,3.3,559,"597 of 3141"
"Denver County",08031,3.4,9714,"557 of 3141"
"Grand County",08049,3.5,203,"503 of 3141"
"Eagle County",08037,3.7,654,"467 of 3141"
"Conejos County",08021,3.9,117,"404 of 3141"
"Rio Grande County",08105,4.0,191,"376 of 3141"
"Archuleta County",08007,4.0,224,"370 of 3141"
"Summit County",08117,4.5,424,"283 of 3141"
"Phillips County",08095,4.6,78,"263 of 3141"
"Morgan County",08087,4.7,499,"249 of 3141"
"Alamosa County",08003,5.0,302,"225 of 3141"
"Adams County",08001,5.3,8605,"195 of 3141"
"Saguache County",08109,5.6,148,"177 of 3141"
"Garfield County",08045,6.1,1293,"144 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:59 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Crowding: Households with >1 person per room, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#crowding."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
