------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=08&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '08', 'areatype': 'county', 'topic': 'pop', 'demo': '00104', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_027.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=08&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Colorado by County
Population: Sex - Male
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Male),Rank within US
"United States",00000,49.2,158018753,"N/A"
"Colorado",08000,50.2,2731315,"46 of 52"
"Hinsdale County",08053,46.8,384,"60 of 3141"
"Ouray County",08091,47.2,2198,"104 of 3141"
"Baca County",08009,48.4,1732,"408 of 3141"
"Custer County",08027,48.8,2200,"727 of 3141"
"Otero County",08089,48.9,8957,"770 of 3141"
"Montezuma County",08083,49.1,12664,"1028 of 3141"
"Pueblo County",08101,49.2,80330,"1056 of 3141"
"Jackson County",08057,49.3,676,"1162 of 3141"
"Montrose County",08085,49.3,20182,"1237 of 3141"
"Arapahoe County",08005,49.3,309190,"1247 of 3141"
"Mesa County",08077,49.4,73478,"1312 of 3141"
"Alamosa County",08003,49.5,8085,"1425 of 3141"
"Saguache County",08109,49.6,3141,"1527 of 3141"
"Yuma County",08125,49.6,5010,"1528 of 3141"
"Broomfield County",08014,49.7,31920,"1628 of 3141"
"Huerfano County",08055,49.7,3230,"1678 of 3141"
"Jefferson County",08059,49.8,280635,"1732 of 3141"
"Morgan County",08087,49.8,13997,"1740 of 3141"
"Douglas County",08035,49.8,159804,"1763 of 3141"
"Larimer County",08069,49.8,164920,"1788 of 3141"
"Sedgwick County",08115,49.9,1176,"1850 of 3141"
"Denver County",08031,50.0,339400,"1967 of 3141"
"Rio Grande County",08105,50.1,5729,"2042 of 3141"
"Conejos County",08021,50.1,4084,"2047 of 3141"
"Teller County",08119,50.2,11926,"2091 of 3141"
"Kiowa County",08061,50.2,687,"2128 of 3141"
"Boulder County",08013,50.2,159112,"2142 of 3141"
"Weld County",08123,50.3,143783,"2211 of 3141"
"La Plata County",08067,50.3,27424,"2228 of 3141"
"Delta County",08029,50.4,15221,"2253 of 3141"
"Adams County",08001,50.4,245840,"2266 of 3141"
"El Paso County",08041,50.4,340118,"2273 of 3141"
"Prowers County",08099,50.6,6111,"2353 of 3141"
"Garfield County",08045,50.6,29334,"2380 of 3141"
"Elbert County",08039,50.7,12442,"2415 of 3141"
"Rio Blanco County",08103,50.7,3325,"2434 of 3141"
"Archuleta County",08007,50.8,6400,"2483 of 3141"
"Cheyenne County",08017,51.1,1086,"2556 of 3141"
"Clear Creek County",08019,51.3,4752,"2641 of 3141"
"Washington County",08121,51.7,2485,"2718 of 3141"
"Las Animas County",08071,51.7,7323,"2731 of 3141"
"Moffat County",08081,51.9,6772,"2751 of 3141"
"Mineral County",08079,51.9,433,"2760 of 3141"
"Phillips County",08095,52.0,2249,"2776 of 3141"
"Routt County",08107,52.0,12675,"2784 of 3141"
"Pitkin County",08097,52.8,9363,"2875 of 3141"
"Park County",08093,52.9,8935,"2885 of 3141"
"San Juan County",08111,52.9,301,"2888 of 3141"
"Eagle County",08037,53.2,28560,"2913 of 3141"
"San Miguel County",08113,53.2,4150,"2916 of 3141"
"Chaffee County",08015,53.4,10056,"2940 of 3141"
"Logan County",08075,53.6,11723,"2950 of 3141"
"Gilpin County",08047,53.7,3108,"2960 of 3141"
"Costilla County",08023,54.0,1958,"2980 of 3141"
"Grand County",08049,54.1,7997,"2985 of 3141"
"Gunnison County",08051,54.2,8795,"2995 of 3141"
"Dolores County",08033,54.5,946,"3006 of 3141"
"Lake County",08065,54.5,4079,"3007 of 3141"
"Summit County",08117,54.6,16218,"3009 of 3141"
"Kit Carson County",08063,56.0,4392,"3054 of 3141"
"Fremont County",08043,58.1,27073,"3083 of 3141"
"Lincoln County",08073,63.8,3522,"3128 of 3141"
"Bent County",08011,64.9,3767,"3133 of 3141"
"Crowley County",08025,68.0,3752,"3140 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:59 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Sex - Male, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
