------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=08&areatype=county&topic=pop&demo=00026&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '08', 'areatype': 'county', 'topic': 'pop', 'demo': '00026', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_023.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=08&areatype=county&topic=pop&demo=00026&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Colorado by County
Population: Hispanic
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Hispanic),Rank within US
"United States",00000,17.6,56510571,"N/A"
"Colorado",08000,21.3,1157200,"8 of 52"
"Kiowa County",08061,4.4,60,"1457 of 3141"
"Custer County",08027,4.6,205,"1418 of 3141"
"Dolores County",08033,4.6,79,"1417 of 3141"
"Ouray County",08091,5.7,263,"1192 of 3141"
"Park County",08093,5.9,991,"1146 of 3141"
"Hinsdale County",08053,6.0,49,"1135 of 3141"
"Clear Creek County",08019,6.1,567,"1103 of 3141"
"Teller County",08119,6.2,1469,"1100 of 3141"
"Elbert County",08039,6.5,1604,"1052 of 3141"
"Routt County",08107,6.9,1682,"1003 of 3141"
"Grand County",08049,8.1,1194,"890 of 3141"
"Douglas County",08035,8.3,26740,"866 of 3141"
"Gunnison County",08051,9.1,1478,"803 of 3141"
"Gilpin County",08047,9.2,534,"793 of 3141"
"Washington County",08121,9.6,460,"770 of 3141"
"Pitkin County",08097,9.8,1742,"747 of 3141"
"San Miguel County",08113,9.9,771,"743 of 3141"
"Rio Blanco County",08103,9.9,651,"739 of 3141"
"Chaffee County",08015,10.1,1895,"722 of 3141"
"Baca County",08009,10.5,376,"704 of 3141"
"Sedgwick County",08115,11.2,263,"666 of 3141"
"Larimer County",08069,11.2,36993,"663 of 3141"
"Broomfield County",08014,12.1,7756,"624 of 3141"
"Montezuma County",08083,12.2,3153,"609 of 3141"
"La Plata County",08067,12.6,6846,"594 of 3141"
"Mineral County",08079,12.6,105,"591 of 3141"
"Fremont County",08043,13.0,6058,"577 of 3141"
"San Juan County",08111,13.4,76,"565 of 3141"
"Boulder County",08013,13.8,43558,"555 of 3141"
"Summit County",08117,14.0,4158,"551 of 3141"
"Mesa County",08077,14.2,21177,"542 of 3141"
"Cheyenne County",08017,14.9,317,"518 of 3141"
"Moffat County",08081,14.9,1948,"516 of 3141"
"Delta County",08029,15.0,4525,"513 of 3141"
"Jefferson County",08059,15.2,85489,"509 of 3141"
"Logan County",08075,15.5,3402,"494 of 3141"
"El Paso County",08041,16.5,111329,"464 of 3141"
"Archuleta County",08007,18.3,2309,"421 of 3141"
"Arapahoe County",08005,18.9,118350,"407 of 3141"
"Kit Carson County",08063,19.2,1510,"396 of 3141"
"Phillips County",08095,20.1,869,"379 of 3141"
"Montrose County",08085,20.5,8367,"369 of 3141"
"Yuma County",08125,22.6,2289,"328 of 3141"
"Lincoln County",08073,22.7,1253,"326 of 3141"
"Jackson County",08057,24.4,335,"296 of 3141"
"Garfield County",08045,28.1,16276,"244 of 3141"
"Weld County",08123,29.0,82920,"238 of 3141"
"Eagle County",08037,29.6,15884,"235 of 3141"
"Denver County",08031,30.5,207100,"223 of 3141"
"Crowley County",08025,30.7,1693,"220 of 3141"
"Bent County",08011,32.0,1857,"210 of 3141"
"Lake County",08065,33.9,2538,"194 of 3141"
"Huerfano County",08055,34.7,2257,"186 of 3141"
"Morgan County",08087,35.8,10055,"179 of 3141"
"Saguache County",08109,37.0,2348,"174 of 3141"
"Prowers County",08099,37.2,4493,"173 of 3141"
"Adams County",08001,39.3,191857,"157 of 3141"
"Otero County",08089,41.5,7612,"141 of 3141"
"Las Animas County",08071,42.4,6004,"135 of 3141"
"Pueblo County",08101,42.7,69809,"134 of 3141"
"Rio Grande County",08105,44.6,5096,"126 of 3141"
"Alamosa County",08003,45.8,7488,"119 of 3141"
"Conejos County",08021,53.4,4354,"83 of 3141"
"Costilla County",08023,63.8,2314,"41 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:59 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Hispanic, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
