------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=08&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '08', 'areatype': 'county', 'topic': 'pov', 'demo': '00007', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_028.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=08&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Colorado by County
Poverty: Families below poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Families (Below Poverty),Rank within US
"Colorado",08000,7.6,102350,"11 of 52"
"United States",00000,10.5,8253388,"N/A"
"San Juan County",08111,1.7,2,"14 of 3141"
"Douglas County",08035,2.5,2224,"31 of 3141"
"Broomfield County",08014,2.8,474,"44 of 3141"
"Gilpin County",08047,3.1,45,"55 of 3141"
"Pitkin County",08097,3.1,113,"56 of 3141"
"Park County",08093,3.4,159,"67 of 3141"
"Elbert County",08039,3.6,248,"90 of 3141"
"Clear Creek County",08019,3.7,99,"98 of 3141"
"Summit County",08117,4.1,220,"145 of 3141"
"Eagle County",08037,4.6,550,"195 of 3141"
"Jefferson County",08059,4.8,7116,"222 of 3141"
"La Plata County",08067,5.2,695,"272 of 3141"
"Teller County",08119,5.3,378,"289 of 3141"
"Kiowa County",08061,5.5,20,"320 of 3141"
"Phillips County",08095,5.6,62,"335 of 3141"
"Chaffee County",08015,5.6,303,"338 of 3141"
"Gunnison County",08051,5.6,206,"343 of 3141"
"Grand County",08049,5.6,197,"347 of 3141"
"Larimer County",08069,5.7,4656,"358 of 3141"
"Boulder County",08013,5.8,4220,"364 of 3141"
"Hinsdale County",08053,6.0,15,"410 of 3141"
"San Miguel County",08113,6.0,107,"416 of 3141"
"Routt County",08107,6.3,356,"482 of 3141"
"Morgan County",08087,6.6,512,"550 of 3141"
"Cheyenne County",08017,6.9,35,"607 of 3141"
"Jackson County",08057,7.0,27,"623 of 3141"
"Arapahoe County",08005,7.0,10826,"626 of 3141"
"Garfield County",08045,7.0,1077,"646 of 3141"
"Mineral County",08079,7.2,19,"687 of 3141"
"Ouray County",08091,7.4,101,"730 of 3141"
"Weld County",08123,7.5,5496,"766 of 3141"
"Lake County",08065,7.8,154,"834 of 3141"
"El Paso County",08041,7.8,13403,"843 of 3141"
"Moffat County",08081,8.0,268,"873 of 3141"
"Kit Carson County",08063,8.0,168,"878 of 3141"
"Archuleta County",08007,8.2,303,"949 of 3141"
"Adams County",08001,9.3,10658,"1197 of 3141"
"Washington County",08121,9.5,134,"1277 of 3141"
"Montezuma County",08083,10.1,682,"1433 of 3141"
"Rio Blanco County",08103,10.2,166,"1469 of 3141"
"Sedgwick County",08115,10.3,60,"1487 of 3141"
"Logan County",08075,10.5,505,"1535 of 3141"
"Custer County",08027,10.6,156,"1550 of 3141"
"Lincoln County",08073,10.7,105,"1570 of 3141"
"Yuma County",08125,10.8,271,"1620 of 3141"
"Dolores County",08033,11.0,53,"1673 of 3141"
"Denver County",08031,11.1,15524,"1697 of 3141"
"Delta County",08029,11.2,908,"1722 of 3141"
"Las Animas County",08071,11.3,433,"1731 of 3141"
"Huerfano County",08055,11.5,205,"1793 of 3141"
"Mesa County",08077,12.1,4723,"1913 of 3141"
"Fremont County",08043,12.5,1401,"1990 of 3141"
"Montrose County",08085,13.2,1494,"2141 of 3141"
"Prowers County",08099,13.8,462,"2259 of 3141"
"Pueblo County",08101,14.9,6064,"2425 of 3141"
"Conejos County",08021,15.0,307,"2451 of 3141"
"Saguache County",08109,15.3,252,"2485 of 3141"
"Rio Grande County",08105,15.5,469,"2516 of 3141"
"Baca County",08009,15.5,161,"2519 of 3141"
"Otero County",08089,17.9,899,"2758 of 3141"
"Alamosa County",08003,18.9,702,"2834 of 3141"
"Crowley County",08025,20.8,169,"2936 of 3141"
"Bent County",08011,24.6,298,"3037 of 3141"
"Costilla County",08023,25.4,235,"3051 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:59 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Families below poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
