------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=08&areatype=county&topic=pop&demo=00102&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '08', 'areatype': 'county', 'topic': 'pop', 'demo': '00102', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_014.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=08&areatype=county&topic=pop&demo=00102&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Colorado by County
Population: Age 18-39
"Age N/A, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 18-39),Rank within US
"United States",00000,29.8,95565066,"N/A"
"Colorado",08000,31.7,1720709,"47 of 52"
"Hinsdale County",08053,10.2,84,"3 of 3141"
"Custer County",08027,14.2,638,"11 of 3141"
"Ouray County",08091,15.9,741,"25 of 3141"
"Jackson County",08057,16.2,222,"28 of 3141"
"Huerfano County",08055,17.6,1144,"59 of 3141"
"Mineral County",08079,18.0,150,"74 of 3141"
"Park County",08093,18.7,3164,"107 of 3141"
"Teller County",08119,20.1,4768,"187 of 3141"
"Elbert County",08039,20.1,4928,"189 of 3141"
"Kiowa County",08061,20.7,283,"250 of 3141"
"Baca County",08009,20.7,743,"258 of 3141"
"Saguache County",08109,20.9,1323,"276 of 3141"
"Sedgwick County",08115,21.0,496,"304 of 3141"
"Costilla County",08023,21.1,767,"314 of 3141"
"Dolores County",08033,21.3,369,"325 of 3141"
"Archuleta County",08007,21.4,2699,"346 of 3141"
"Delta County",08029,21.8,6591,"399 of 3141"
"Gilpin County",08047,21.9,1267,"415 of 3141"
"Montrose County",08085,22.3,9142,"515 of 3141"
"Clear Creek County",08019,23.2,2151,"759 of 3141"
"Montezuma County",08083,23.6,6092,"864 of 3141"
"Chaffee County",08015,23.7,4451,"868 of 3141"
"Conejos County",08021,23.9,1948,"947 of 3141"
"Cheyenne County",08017,24.4,518,"1076 of 3141"
"Washington County",08121,24.5,1180,"1126 of 3141"
"Douglas County",08035,25.0,80248,"1317 of 3141"
"Rio Grande County",08105,25.0,2862,"1331 of 3141"
"Las Animas County",08071,25.5,3612,"1503 of 3141"
"San Juan County",08111,25.7,146,"1546 of 3141"
"Phillips County",08095,26.0,1125,"1657 of 3141"
"Otero County",08089,26.1,4790,"1697 of 3141"
"Yuma County",08125,26.4,2664,"1762 of 3141"
"Moffat County",08081,26.8,3505,"1921 of 3141"
"Morgan County",08087,27.3,7683,"2062 of 3141"
"Prowers County",08099,27.5,3321,"2103 of 3141"
"San Miguel County",08113,27.9,2176,"2193 of 3141"
"Fremont County",08043,28.1,13095,"2251 of 3141"
"Pueblo County",08101,28.1,45920,"2252 of 3141"
"Jefferson County",08059,28.8,162494,"2412 of 3141"
"Grand County",08049,28.9,4281,"2437 of 3141"
"Mesa County",08077,29.0,43182,"2447 of 3141"
"Kit Carson County",08063,29.2,2294,"2484 of 3141"
"Broomfield County",08014,29.4,18918,"2523 of 3141"
"Garfield County",08045,29.7,17233,"2563 of 3141"
"Rio Blanco County",08103,30.2,1980,"2639 of 3141"
"Pitkin County",08097,30.4,5397,"2664 of 3141"
"Arapahoe County",08005,30.5,191110,"2670 of 3141"
"La Plata County",08067,31.1,16934,"2742 of 3141"
"Routt County",08107,31.3,7614,"2755 of 3141"
"Logan County",08075,31.3,6843,"2759 of 3141"
"Weld County",08123,31.6,90281,"2788 of 3141"
"Lincoln County",08073,31.7,1749,"2796 of 3141"
"Adams County",08001,32.7,159330,"2861 of 3141"
"El Paso County",08041,33.2,224158,"2898 of 3141"
"Eagle County",08037,33.5,18019,"2917 of 3141"
"Lake County",08065,33.6,2512,"2920 of 3141"
"Bent County",08011,33.7,1955,"2923 of 3141"
"Boulder County",08013,34.8,110234,"2967 of 3141"
"Larimer County",08069,35.0,115863,"2972 of 3141"
"Summit County",08117,35.9,10668,"2995 of 3141"
"Alamosa County",08003,36.6,5983,"3016 of 3141"
"Denver County",08031,39.2,265959,"3064 of 3141"
"Gunnison County",08051,40.0,6485,"3079 of 3141"
"Crowley County",08025,40.4,2227,"3082 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:59 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age 18-39, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
