------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=08&areatype=county&topic=ins&demo=00043&race=00&sex=0&age=006&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '08', 'areatype': 'county', 'topic': 'ins', 'demo': '00043', 'race': '00', 'sex': '0', 'age': '006', 'type': 'manyareacensus', 'file_name': 'demographics_006.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=08&areatype=county&topic=ins&demo=00043&race=00&sex=0&age=006&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Colorado by County
"Insurance: Percent uninsured in demographic group, people at or below 138% of poverty"
"Ages <65, All Races (includes Hispanic), Both Sexes"
2017 Small Area Health Insurance Estimates Data
Sorted by Value

County, FIPS,Value (Percent),People (Uninsured),Rank within US
"Colorado",08000,14.4,112012,"25 of 51"
"Huerfano County",08055,9.6,136,"368 of 3139"
"San Juan County",08111,10.3,12,"539 of 3139"
"Pueblo County",08101,10.4,3738,"561 of 3139"
"Fremont County",08043,10.9,818,"657 of 3139"
"El Paso County",08041,11.8,11662,"825 of 3139"
"Bent County",08011,12.1,127,"878 of 3139"
"Mesa County",08077,12.1,3285,"878 of 3139"
"Gilpin County",08047,12.2,79,"898 of 3139"
"Conejos County",08021,12.5,261,"933 of 3139"
"Crowley County",08025,12.5,107,"933 of 3139"
"Larimer County",08069,13.1,6287,"1014 of 3139"
"Otero County",08089,13.1,628,"1014 of 3139"
"Lincoln County",08073,13.2,130,"1030 of 3139"
"Washington County",08121,13.3,119,"1050 of 3139"
"Jefferson County",08059,13.4,6970,"1067 of 3139"
"Delta County",08029,13.5,798,"1080 of 3139"
"Montezuma County",08083,13.6,760,"1094 of 3139"
"Boulder County",08013,13.8,5674,"1117 of 3139"
"Chaffee County",08015,13.8,311,"1117 of 3139"
"Mineral County",08079,13.8,11,"1117 of 3139"
"Dolores County",08033,13.9,53,"1126 of 3139"
"Gunnison County",08051,13.9,388,"1126 of 3139"
"Las Animas County",08071,13.9,396,"1126 of 3139"
"Hinsdale County",08053,14.2,15,"1155 of 3139"
"Rio Blanco County",08103,14.3,125,"1171 of 3139"
"Logan County",08075,14.4,502,"1183 of 3139"
"Weld County",08123,14.4,6384,"1183 of 3139"
"Teller County",08119,14.6,404,"1209 of 3139"
"Clear Creek County",08019,14.8,120,"1230 of 3139"
"Douglas County",08035,15.0,2135,"1247 of 3139"
"Arapahoe County",08005,15.3,12200,"1286 of 3139"
"Custer County",08027,15.3,109,"1286 of 3139"
"Kiowa County",08061,15.3,43,"1286 of 3139"
"Moffat County",08081,15.3,334,"1286 of 3139"
"Rio Grande County",08105,15.3,393,"1286 of 3139"
"Montrose County",08085,15.4,1197,"1303 of 3139"
"Broomfield County",08014,15.5,720,"1314 of 3139"
"Adams County",08001,15.6,13058,"1324 of 3139"
"Alamosa County",08003,15.6,686,"1324 of 3139"
"Costilla County",08023,15.9,166,"1363 of 3139"
"Morgan County",08087,16.1,881,"1385 of 3139"
"Ouray County",08091,16.1,81,"1385 of 3139"
"Sedgwick County",08115,16.1,75,"1385 of 3139"
"Denver County",08031,16.2,19865,"1399 of 3139"
"Prowers County",08099,16.9,484,"1471 of 3139"
"Jackson County",08057,17.2,44,"1519 of 3139"
"La Plata County",08067,17.2,1193,"1519 of 3139"
"Lake County",08065,17.3,252,"1541 of 3139"
"Park County",08093,17.4,310,"1555 of 3139"
"Archuleta County",08007,17.5,372,"1575 of 3139"
"Routt County",08107,18.2,470,"1677 of 3139"
"Saguache County",08109,18.2,337,"1677 of 3139"
"Yuma County",08125,18.5,356,"1728 of 3139"
"Grand County",08049,19.4,364,"1859 of 3139"
"Baca County",08009,19.6,166,"1895 of 3139"
"Kit Carson County",08063,19.7,274,"1917 of 3139"
"San Miguel County",08113,19.7,207,"1917 of 3139"
"Phillips County",08095,20.1,135,"1976 of 3139"
"Elbert County",08039,20.2,346,"1997 of 3139"
"Garfield County",08045,20.9,1787,"2105 of 3139"
"Summit County",08117,21.9,837,"2217 of 3139"
"Eagle County",08037,22.5,1333,"2296 of 3139"
"Cheyenne County",08017,23.5,81,"2418 of 3139"
"Pitkin County",08097,29.3,421,"2861 of 3139"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:59 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & Small Area Health Insurance Estimates (https://www.census.gov/programs-surveys/sahie.html).
"For more information about Insurance: Percent uninsured in demographic group, people at or below 138% of poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#insurance."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
