------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=16&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '16', 'areatype': 'county', 'topic': 'ed', 'demo': '00006', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_003.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=16&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Idaho by County
Education: At least bachelors degree
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: At Least Bachelors Degree),Rank within US
"Idaho",16000,26.8,285141,"40 of 52"
"United States",00000,30.9,66887603,"N/A"
"Lincoln County",16063,9.1,294,"3078 of 3141"
"Owyhee County",16073,9.7,710,"3047 of 3141"
"Shoshone County",16079,12.4,1129,"2770 of 3141"
"Jerome County",16053,13.0,1805,"2655 of 3141"
"Benewah County",16009,14.1,903,"2483 of 3141"
"Minidoka County",16067,14.2,1802,"2464 of 3141"
"Payette County",16075,14.2,2110,"2462 of 3141"
"Gooding County",16047,14.7,1417,"2360 of 3141"
"Oneida County",16071,15.1,400,"2283 of 3141"
"Butte County",16023,15.5,294,"2211 of 3141"
"Power County",16077,15.8,737,"2152 of 3141"
"Lewis County",16061,16.3,440,"2042 of 3141"
"Washington County",16087,16.4,1161,"2032 of 3141"
"Gem County",16045,16.9,1971,"1959 of 3141"
"Clark County",16033,17.0,100,"1929 of 3141"
"Clearwater County",16035,17.4,1158,"1866 of 3141"
"Elmore County",16039,17.6,2823,"1824 of 3141"
"Canyon County",16027,18.1,22744,"1755 of 3141"
"Cassia County",16031,18.1,2491,"1733 of 3141"
"Boundary County",16021,18.2,1432,"1722 of 3141"
"Idaho County",16049,19.1,2282,"1551 of 3141"
"Twin Falls County",16083,19.1,9982,"1549 of 3141"
"Bingham County",16011,19.3,5232,"1524 of 3141"
"Caribou County",16029,20.1,886,"1393 of 3141"
"Franklin County",16041,20.2,1538,"1367 of 3141"
"Adams County",16003,20.3,616,"1354 of 3141"
"Bear Lake County",16007,20.3,792,"1349 of 3141"
"Camas County",16025,20.6,126,"1297 of 3141"
"Fremont County",16043,21.1,1733,"1215 of 3141"
"Jefferson County",16051,21.2,3332,"1198 of 3141"
"Lemhi County",16059,22.3,1327,"1071 of 3141"
"Bonner County",16017,22.4,6920,"1057 of 3141"
"Custer County",16037,22.6,731,"1038 of 3141"
"Nez Perce County",16069,22.7,6286,"1029 of 3141"
"Kootenai County",16055,24.5,25216,"832 of 3141"
"Bannock County",16005,28.1,14756,"583 of 3141"
"Boise County",16015,29.2,1560,"529 of 3141"
"Bonneville County",16019,29.3,19473,"524 of 3141"
"Valley County",16085,30.8,2384,"442 of 3141"
"Madison County",16065,37.5,6057,"208 of 3141"
"Ada County",16001,37.6,108903,"203 of 3141"
"Blaine County",16013,40.4,6120,"154 of 3141"
"Teton County",16081,42.5,3000,"117 of 3141"
"Latah County",16057,46.4,9968,"78 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:58 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: At least bachelors degree, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
