------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=16&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '16', 'areatype': 'county', 'topic': 'pop', 'demo': '00025', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_025.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=16&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Idaho by County
Population: White
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (White),Rank within US
"United States",00000,73.0,234370202,"N/A"
"Idaho",16000,91.0,1507880,"6 of 52"
"Power County",16077,80.3,6157,"2205 of 3141"
"Bingham County",16011,83.2,37735,"2056 of 3141"
"Owyhee County",16073,85.7,9758,"1937 of 3141"
"Clark County",16033,86.5,913,"1871 of 3141"
"Elmore County",16039,86.8,22773,"1851 of 3141"
"Benewah County",16009,87.2,7890,"1829 of 3141"
"Canyon County",16027,87.3,180693,"1824 of 3141"
"Lewis County",16061,88.0,3364,"1761 of 3141"
"Washington County",16087,88.0,8797,"1758 of 3141"
"Teton County",16081,89.3,9621,"1618 of 3141"
"Bonneville County",16019,89.3,98578,"1617 of 3141"
"Gooding County",16047,89.8,13564,"1575 of 3141"
"Bannock County",16005,89.9,75606,"1568 of 3141"
"Nez Perce County",16069,89.9,35979,"1565 of 3141"
"Jefferson County",16051,90.7,24872,"1488 of 3141"
"Payette County",16075,90.9,20761,"1464 of 3141"
"Ada County",16001,90.9,395726,"1459 of 3141"
"Gem County",16045,92.0,15496,"1330 of 3141"
"Latah County",16057,92.5,35798,"1257 of 3141"
"Twin Falls County",16083,92.6,76170,"1245 of 3141"
"Idaho County",16049,93.4,15195,"1119 of 3141"
"Clearwater County",16035,93.5,7979,"1101 of 3141"
"Lincoln County",16063,93.5,4954,"1093 of 3141"
"Blaine County",16013,93.6,20204,"1078 of 3141"
"Fremont County",16043,93.6,12067,"1073 of 3141"
"Madison County",16065,93.7,35841,"1058 of 3141"
"Boundary County",16021,94.0,10638,"1025 of 3141"
"Cassia County",16031,94.2,22113,"988 of 3141"
"Shoshone County",16079,94.2,11770,"981 of 3141"
"Kootenai County",16055,94.3,141527,"971 of 3141"
"Minidoka County",16067,94.3,19286,"965 of 3141"
"Boise County",16015,94.5,6588,"911 of 3141"
"Custer County",16037,95.1,3939,"804 of 3141"
"Jerome County",16053,95.2,21924,"797 of 3141"
"Bear Lake County",16007,95.2,5655,"795 of 3141"
"Bonner County",16017,95.3,39878,"778 of 3141"
"Adams County",16003,95.8,3779,"665 of 3141"
"Lemhi County",16059,95.8,7427,"664 of 3141"
"Camas County",16025,95.9,850,"619 of 3141"
"Butte County",16023,96.4,2520,"490 of 3141"
"Franklin County",16041,96.6,12671,"453 of 3141"
"Caribou County",16029,96.9,6649,"352 of 3141"
"Oneida County",16071,97.2,4166,"259 of 3141"
"Valley County",16085,99.1,10009,"25 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:59 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: White, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
