------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=16&areatype=county&topic=pop&demo=00002&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '16', 'areatype': 'county', 'topic': 'pop', 'demo': '00002', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_013.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=16&areatype=county&topic=pop&demo=00002&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Idaho by County
Population: Age under 18
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age Under 18),Rank within US
"United States",00000,22.9,73601279,"N/A"
"Idaho",16000,26.2,434611,"3 of 52"
"Clearwater County",16035,16.0,1368,"3057 of 3141"
"Custer County",16037,16.1,667,"3052 of 3141"
"Adams County",16003,17.6,693,"2947 of 3141"
"Lemhi County",16059,17.6,1366,"2939 of 3141"
"Boise County",16015,18.1,1264,"2873 of 3141"
"Valley County",16085,18.4,1861,"2824 of 3141"
"Latah County",16057,18.8,7265,"2776 of 3141"
"Idaho County",16049,19.9,3232,"2531 of 3141"
"Shoshone County",16079,20.0,2501,"2484 of 3141"
"Bonner County",16017,20.2,8466,"2421 of 3141"
"Butte County",16023,20.4,533,"2365 of 3141"
"Nez Perce County",16069,21.5,8598,"1987 of 3141"
"Benewah County",16009,22.4,2024,"1596 of 3141"
"Lewis County",16061,22.9,877,"1351 of 3141"
"Blaine County",16013,23.1,4980,"1282 of 3141"
"Washington County",16087,23.4,2338,"1149 of 3141"
"Kootenai County",16055,23.4,35200,"1122 of 3141"
"Boundary County",16021,23.5,2659,"1110 of 3141"
"Gem County",16045,23.6,3974,"1063 of 3141"
"Ada County",16001,24.8,107851,"611 of 3141"
"Camas County",16025,25.1,222,"528 of 3141"
"Elmore County",16039,26.0,6808,"369 of 3141"
"Owyhee County",16073,26.7,3037,"291 of 3141"
"Bannock County",16005,26.8,22562,"274 of 3141"
"Payette County",16075,27.0,6176,"249 of 3141"
"Madison County",16065,27.1,10360,"241 of 3141"
"Bear Lake County",16007,27.1,1611,"238 of 3141"
"Teton County",16081,27.4,2952,"216 of 3141"
"Fremont County",16043,27.7,3569,"189 of 3141"
"Gooding County",16047,27.7,4192,"183 of 3141"
"Twin Falls County",16083,27.9,22914,"175 of 3141"
"Caribou County",16029,28.6,1965,"136 of 3141"
"Oneida County",16071,28.6,1227,"135 of 3141"
"Minidoka County",16067,28.7,5865,"132 of 3141"
"Canyon County",16027,29.7,61439,"98 of 3141"
"Power County",16077,30.3,2322,"80 of 3141"
"Lincoln County",16063,30.9,1639,"73 of 3141"
"Jerome County",16053,31.1,7171,"67 of 3141"
"Bonneville County",16019,31.3,34544,"62 of 3141"
"Bingham County",16011,31.7,14371,"53 of 3141"
"Cassia County",16031,32.6,7651,"39 of 3141"
"Clark County",16033,33.6,354,"30 of 3141"
"Franklin County",16041,33.7,4426,"26 of 3141"
"Jefferson County",16051,34.7,9517,"17 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:58 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age under 18, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
