------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=16&areatype=county&topic=mob&demo=00017&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '16', 'areatype': 'county', 'topic': 'mob', 'demo': '00017', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_008.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=16&areatype=county&topic=mob&demo=00017&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Idaho by County
Mobility: Haven't moved (in past year)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Haven't Moved),Rank within US
"Idaho",16000,82.6,1351844,"42 of 51"
"United States",00000,85.4,270854872,"N/A"
"Madison County",16065,65.3,24303,"3135 of 3140"
"Latah County",16057,72.2,27722,"3115 of 3140"
"Valley County",16085,74.4,7428,"3097 of 3140"
"Elmore County",16039,78.7,20313,"3005 of 3140"
"Payette County",16075,79.3,17916,"2977 of 3140"
"Canyon County",16027,81.3,166086,"2829 of 3140"
"Bannock County",16005,81.4,67480,"2821 of 3140"
"Bonneville County",16019,81.6,88615,"2799 of 3140"
"Idaho County",16049,82.0,13185,"2757 of 3140"
"Lemhi County",16059,82.3,6323,"2715 of 3140"
"Clearwater County",16035,82.5,6991,"2688 of 3140"
"Ada County",16001,82.6,355999,"2674 of 3140"
"Gooding County",16047,82.9,12459,"2626 of 3140"
"Kootenai County",16055,83.5,123825,"2547 of 3140"
"Shoshone County",16079,83.5,10266,"2533 of 3140"
"Nez Perce County",16069,83.6,32990,"2513 of 3140"
"Twin Falls County",16083,83.9,67785,"2459 of 3140"
"Teton County",16081,84.2,8894,"2402 of 3140"
"Power County",16077,84.5,6376,"2328 of 3140"
"Owyhee County",16073,85.1,9552,"2200 of 3140"
"Cassia County",16031,85.2,19725,"2166 of 3140"
"Clark County",16033,85.8,880,"2023 of 3140"
"Lincoln County",16063,85.9,4486,"1991 of 3140"
"Minidoka County",16067,86.0,17354,"1954 of 3140"
"Bonner County",16017,86.0,35690,"1947 of 3140"
"Camas County",16025,86.0,755,"1946 of 3140"
"Franklin County",16041,86.2,11190,"1899 of 3140"
"Jerome County",16053,86.2,19439,"1890 of 3140"
"Adams County",16003,86.4,3371,"1823 of 3140"
"Boise County",16015,86.6,5998,"1769 of 3140"
"Fremont County",16043,86.7,11065,"1729 of 3140"
"Bingham County",16011,87.1,38857,"1591 of 3140"
"Jefferson County",16051,87.7,23677,"1390 of 3140"
"Oneida County",16071,87.9,3716,"1306 of 3140"
"Bear Lake County",16007,88.0,5168,"1267 of 3140"
"Gem County",16045,88.0,14726,"1255 of 3140"
"Washington County",16087,88.5,8719,"1104 of 3140"
"Boundary County",16021,88.6,9911,"1082 of 3140"
"Lewis County",16061,88.6,3358,"1070 of 3140"
"Benewah County",16009,89.1,8012,"887 of 3140"
"Blaine County",16013,89.5,19093,"782 of 3140"
"Custer County",16037,89.5,3683,"759 of 3140"
"Caribou County",16029,90.1,6085,"611 of 3140"
"Butte County",16023,91.5,2378,"312 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:58 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Haven't moved (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
