------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=16&areatype=county&topic=ins&demo=00043&race=00&sex=0&age=006&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '16', 'areatype': 'county', 'topic': 'ins', 'demo': '00043', 'race': '00', 'sex': '0', 'age': '006', 'type': 'manyareacensus', 'file_name': 'demographics_006.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=16&areatype=county&topic=ins&demo=00043&race=00&sex=0&age=006&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Idaho by County
"Insurance: Percent uninsured in demographic group, people at or below 138% of poverty"
"Ages <65, All Races (includes Hispanic), Both Sexes"
2017 Small Area Health Insurance Estimates Data
Sorted by Value

County, FIPS,Value (Percent),People (Uninsured),Rank within US
"Idaho",16000,19.7,60747,"36 of 51"
"Madison County",16065,12.8,1835,"983 of 3139"
"Bonneville County",16019,15.6,3098,"1324 of 3139"
"Kootenai County",16055,15.9,3739,"1363 of 3139"
"Bannock County",16005,16.8,2963,"1464 of 3139"
"Latah County",16057,17.0,1368,"1483 of 3139"
"Nez Perce County",16069,17.2,1099,"1519 of 3139"
"Bear Lake County",16007,17.6,180,"1590 of 3139"
"Lewis County",16061,18.4,152,"1714 of 3139"
"Lemhi County",16059,18.8,280,"1765 of 3139"
"Ada County",16001,19.1,11164,"1804 of 3139"
"Benewah County",16009,19.1,342,"1804 of 3139"
"Caribou County",16029,19.3,183,"1840 of 3139"
"Franklin County",16041,19.3,488,"1840 of 3139"
"Clearwater County",16035,19.4,235,"1859 of 3139"
"Oneida County",16071,19.5,158,"1882 of 3139"
"Shoshone County",16079,19.5,498,"1882 of 3139"
"Butte County",16023,19.8,97,"1928 of 3139"
"Bonner County",16017,20.1,1499,"1976 of 3139"
"Jefferson County",16051,20.5,1014,"2037 of 3139"
"Elmore County",16039,20.6,1248,"2053 of 3139"
"Custer County",16037,20.7,154,"2073 of 3139"
"Canyon County",16027,20.8,10528,"2092 of 3139"
"Valley County",16085,20.9,295,"2105 of 3139"
"Gem County",16045,21.0,749,"2115 of 3139"
"Adams County",16003,21.1,152,"2120 of 3139"
"Fremont County",16043,21.3,569,"2143 of 3139"
"Bingham County",16011,21.5,1889,"2174 of 3139"
"Twin Falls County",16083,21.8,3755,"2202 of 3139"
"Idaho County",16049,21.9,639,"2217 of 3139"
"Payette County",16075,22.5,1043,"2296 of 3139"
"Cassia County",16031,22.7,1119,"2322 of 3139"
"Power County",16077,23.7,417,"2439 of 3139"
"Washington County",16087,23.9,490,"2457 of 3139"
"Boise County",16015,24.3,251,"2495 of 3139"
"Boundary County",16021,24.6,627,"2527 of 3139"
"Lincoln County",16063,26.0,328,"2632 of 3139"
"Minidoka County",16067,26.6,1159,"2683 of 3139"
"Gooding County",16047,26.9,958,"2708 of 3139"
"Jerome County",16053,28.1,1516,"2803 of 3139"
"Teton County",16081,28.8,536,"2830 of 3139"
"Camas County",16025,29.3,51,"2861 of 3139"
"Owyhee County",16073,29.8,881,"2885 of 3139"
"Blaine County",16013,34.5,916,"3049 of 3139"
"Clark County",16033,34.6,85,"3052 of 3139"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:58 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & Small Area Health Insurance Estimates (https://www.census.gov/programs-surveys/sahie.html).
"For more information about Insurance: Percent uninsured in demographic group, people at or below 138% of poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#insurance."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
