------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=16&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '16', 'areatype': 'county', 'topic': 'ed', 'demo': '00005', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_002.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=16&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Idaho by County
Education: Less than High School
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People(Education: Less Than High School),Rank within US
"Idaho",16000,9.8,103895,"20 of 52"
"United States",00000,12.7,27437114,"N/A"
"Latah County",16057,3.8,814,"27 of 3141"
"Madison County",16065,4.6,742,"66 of 3141"
"Ada County",16001,5.3,15350,"128 of 3141"
"Valley County",16085,5.6,434,"158 of 3141"
"Bear Lake County",16007,6.3,244,"233 of 3141"
"Boise County",16015,6.5,346,"271 of 3141"
"Kootenai County",16055,7.1,7341,"366 of 3141"
"Teton County",16081,7.3,518,"407 of 3141"
"Butte County",16023,7.9,150,"544 of 3141"
"Caribou County",16029,8.0,351,"563 of 3141"
"Nez Perce County",16069,8.0,2222,"580 of 3141"
"Bannock County",16005,8.0,4215,"583 of 3141"
"Bonneville County",16019,8.5,5646,"675 of 3141"
"Bonner County",16017,8.9,2736,"759 of 3141"
"Oneida County",16071,9.0,237,"781 of 3141"
"Franklin County",16041,9.3,706,"858 of 3141"
"Camas County",16025,9.5,58,"911 of 3141"
"Lemhi County",16059,10.0,593,"1020 of 3141"
"Idaho County",16049,10.1,1212,"1069 of 3141"
"Lewis County",16061,10.3,276,"1091 of 3141"
"Boundary County",16021,10.3,811,"1109 of 3141"
"Custer County",16037,10.3,334,"1114 of 3141"
"Clearwater County",16035,10.6,709,"1200 of 3141"
"Adams County",16003,10.9,330,"1235 of 3141"
"Blaine County",16013,11.3,1719,"1351 of 3141"
"Fremont County",16043,12.1,993,"1501 of 3141"
"Jefferson County",16051,12.2,1912,"1519 of 3141"
"Elmore County",16039,12.2,1960,"1527 of 3141"
"Gem County",16045,12.3,1433,"1534 of 3141"
"Twin Falls County",16083,12.3,6437,"1552 of 3141"
"Payette County",16075,13.1,1955,"1695 of 3141"
"Bingham County",16011,13.2,3573,"1699 of 3141"
"Benewah County",16009,13.7,882,"1783 of 3141"
"Shoshone County",16079,14.8,1347,"1951 of 3141"
"Canyon County",16027,15.4,19417,"2049 of 3141"
"Washington County",16087,16.1,1138,"2145 of 3141"
"Cassia County",16031,19.0,2608,"2484 of 3141"
"Lincoln County",16063,21.9,710,"2786 of 3141"
"Gooding County",16047,22.1,2127,"2795 of 3141"
"Minidoka County",16067,22.6,2877,"2832 of 3141"
"Power County",16077,23.4,1092,"2886 of 3141"
"Jerome County",16053,24.1,3341,"2924 of 3141"
"Owyhee County",16073,24.9,1827,"2964 of 3141"
"Clark County",16033,29.3,172,"3071 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:58 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: Less than High School, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
