------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=16&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '16', 'areatype': 'county', 'topic': 'crowd', 'demo': '00027', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_000.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=16&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Idaho by County
Crowding: Households with >1 person per room
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (with >1 Person Per Room),Rank within US
"Idaho",16000,2.7,16342,"18 of 52"
"United States",00000,3.3,3975282,"N/A"
"Boise County",16015,0.7,22,"2862 of 3141"
"Butte County",16023,0.8,8,"2845 of 3141"
"Blaine County",16013,1.0,81,"2636 of 3141"
"Clearwater County",16035,1.4,51,"2165 of 3141"
"Ada County",16001,1.4,2361,"2099 of 3141"
"Latah County",16057,1.8,271,"1752 of 3141"
"Bear Lake County",16007,1.9,43,"1639 of 3141"
"Teton County",16081,1.9,70,"1636 of 3141"
"Kootenai County",16055,1.9,1117,"1602 of 3141"
"Bonner County",16017,2.2,381,"1325 of 3141"
"Nez Perce County",16069,2.2,365,"1257 of 3141"
"Power County",16077,2.3,59,"1182 of 3141"
"Valley County",16085,2.3,82,"1179 of 3141"
"Shoshone County",16079,2.4,136,"1089 of 3141"
"Lewis County",16061,2.5,40,"1060 of 3141"
"Bannock County",16005,2.5,759,"1055 of 3141"
"Twin Falls County",16083,2.5,763,"993 of 3141"
"Gem County",16045,2.7,170,"921 of 3141"
"Washington County",16087,2.7,106,"915 of 3141"
"Elmore County",16039,2.7,270,"892 of 3141"
"Lemhi County",16059,2.8,104,"822 of 3141"
"Caribou County",16029,2.9,73,"790 of 3141"
"Adams County",16003,3.0,52,"745 of 3141"
"Boundary County",16021,3.0,136,"723 of 3141"
"Custer County",16037,3.1,57,"697 of 3141"
"Jefferson County",16051,3.1,264,"676 of 3141"
"Camas County",16025,3.2,12,"620 of 3141"
"Bonneville County",16019,3.3,1253,"610 of 3141"
"Oneida County",16071,3.5,55,"530 of 3141"
"Bingham County",16011,3.6,540,"485 of 3141"
"Minidoka County",16067,3.7,272,"461 of 3141"
"Franklin County",16041,3.8,164,"422 of 3141"
"Fremont County",16043,4.0,176,"379 of 3141"
"Idaho County",16049,4.0,261,"372 of 3141"
"Cassia County",16031,4.1,319,"363 of 3141"
"Canyon County",16027,4.1,2833,"360 of 3141"
"Owyhee County",16073,4.2,176,"333 of 3141"
"Payette County",16075,5.0,425,"228 of 3141"
"Benewah County",16009,5.0,177,"217 of 3141"
"Jerome County",16053,5.2,404,"202 of 3141"
"Lincoln County",16063,5.2,84,"201 of 3141"
"Gooding County",16047,6.1,338,"149 of 3141"
"Madison County",16065,9.2,978,"56 of 3141"
"Clark County",16033,10.9,34,"31 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:58 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Crowding: Households with >1 person per room, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#crowding."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
