------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=16&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '16', 'areatype': 'county', 'topic': 'pop', 'demo': '00104', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_027.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=16&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Idaho by County
Population: Sex - Male
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Male),Rank within US
"United States",00000,49.2,158018753,"N/A"
"Idaho",16000,50.1,830627,"43 of 52"
"Twin Falls County",16083,49.2,40454,"1074 of 3141"
"Bear Lake County",16007,49.3,2928,"1174 of 3141"
"Kootenai County",16055,49.4,74161,"1340 of 3141"
"Washington County",16087,49.4,4940,"1364 of 3141"
"Gem County",16045,49.4,8331,"1390 of 3141"
"Canyon County",16027,49.5,102480,"1460 of 3141"
"Nez Perce County",16069,49.5,19811,"1469 of 3141"
"Bannock County",16005,49.8,41867,"1747 of 3141"
"Oneida County",16071,49.9,2136,"1810 of 3141"
"Bonneville County",16019,49.9,55082,"1847 of 3141"
"Boundary County",16021,49.9,5655,"1895 of 3141"
"Camas County",16025,50.0,443,"1946 of 3141"
"Shoshone County",16079,50.0,6245,"1946 of 3141"
"Ada County",16001,50.1,217999,"2028 of 3141"
"Bingham County",16011,50.1,22732,"2033 of 3141"
"Bonner County",16017,50.1,20980,"2044 of 3141"
"Payette County",16075,50.1,11451,"2056 of 3141"
"Lewis County",16061,50.2,1918,"2073 of 3141"
"Lemhi County",16059,50.4,3906,"2250 of 3141"
"Minidoka County",16067,50.4,10304,"2265 of 3141"
"Madison County",16065,50.4,19272,"2268 of 3141"
"Jerome County",16053,50.4,11619,"2293 of 3141"
"Benewah County",16009,50.5,4568,"2309 of 3141"
"Jefferson County",16051,50.8,13911,"2456 of 3141"
"Caribou County",16029,50.8,3483,"2462 of 3141"
"Valley County",16085,51.0,5148,"2522 of 3141"
"Franklin County",16041,51.0,6686,"2527 of 3141"
"Cassia County",16031,51.0,11966,"2530 of 3141"
"Owyhee County",16073,51.1,5817,"2571 of 3141"
"Blaine County",16013,51.2,11040,"2589 of 3141"
"Latah County",16057,51.2,19813,"2605 of 3141"
"Gooding County",16047,51.2,7737,"2606 of 3141"
"Adams County",16003,51.2,2021,"2610 of 3141"
"Power County",16077,51.5,3951,"2692 of 3141"
"Lincoln County",16063,51.6,2735,"2709 of 3141"
"Butte County",16023,51.7,1350,"2716 of 3141"
"Fremont County",16043,51.9,6685,"2750 of 3141"
"Elmore County",16039,52.0,13651,"2786 of 3141"
"Custer County",16037,52.3,2164,"2827 of 3141"
"Idaho County",16049,52.3,8509,"2828 of 3141"
"Boise County",16015,52.8,3678,"2879 of 3141"
"Teton County",16081,52.8,5692,"2883 of 3141"
"Clark County",16033,53.6,566,"2959 of 3141"
"Clearwater County",16035,55.6,4742,"3045 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:59 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Sex - Male, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
