------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=16&areatype=county&topic=inc&demo=00011&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '16', 'areatype': 'county', 'topic': 'inc', 'demo': '00011', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_005.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=16&areatype=county&topic=inc&demo=00011&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Idaho by County
Income: Median household income
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Dollars),Rank within US
"Idaho",16000,50985.000000000,"38 of 52"
"United States",00000,57652.000000000,"N/A"
"Clark County",16033,31927.000000000,"3006 of 3141"
"Madison County",16065,33620.000000000,"2930 of 3141"
"Lemhi County",16059,36031.000000000,"2800 of 3141"
"Owyhee County",16073,36092.000000000,"2793 of 3141"
"Camas County",16025,36667.000000000,"2749 of 3141"
"Washington County",16087,37521.000000000,"2671 of 3141"
"Custer County",16037,37976.000000000,"2639 of 3141"
"Boundary County",16021,39512.000000000,"2506 of 3141"
"Shoshone County",16079,39835.000000000,"2481 of 3141"
"Idaho County",16049,40299.000000000,"2452 of 3141"
"Lewis County",16061,40313.000000000,"2448 of 3141"
"Clearwater County",16035,41122.000000000,"2355 of 3141"
"Gooding County",16047,42626.000000000,"2179 of 3141"
"Adams County",16003,42727.000000000,"2170 of 3141"
"Gem County",16045,42888.000000000,"2154 of 3141"
"Butte County",16023,43207.000000000,"2125 of 3141"
"Latah County",16057,43310.000000000,"2110 of 3141"
"Benewah County",16009,43472.000000000,"2091 of 3141"
"Oneida County",16071,43491.000000000,"2089 of 3141"
"Elmore County",16039,45154.000000000,"1908 of 3141"
"Bonner County",16017,45607.000000000,"1856 of 3141"
"Lincoln County",16063,46383.000000000,"1761 of 3141"
"Jerome County",16053,46421.000000000,"1756 of 3141"
"Canyon County",16027,46426.000000000,"1755 of 3141"
"Bannock County",16005,47390.000000000,"1639 of 3141"
"Power County",16077,47602.000000000,"1610 of 3141"
"Minidoka County",16067,48021.000000000,"1574 of 3141"
"Cassia County",16031,48162.000000000,"1560 of 3141"
"Payette County",16075,48447.000000000,"1516 of 3141"
"Twin Falls County",16083,49118.000000000,"1458 of 3141"
"Boise County",16015,49964.000000000,"1367 of 3141"
"Bear Lake County",16007,50603.000000000,"1287 of 3141"
"Bingham County",16011,51307.000000000,"1200 of 3141"
"Franklin County",16041,51583.000000000,"1164 of 3141"
"Nez Perce County",16069,51804.000000000,"1140 of 3141"
"Fremont County",16043,51806.000000000,"1138 of 3141"
"Kootenai County",16055,53189.000000000,"1000 of 3141"
"Valley County",16085,54015.000000000,"917 of 3141"
"Bonneville County",16019,54150.000000000,"910 of 3141"
"Teton County",16081,55986.000000000,"770 of 3141"
"Jefferson County",16051,58055.000000000,"626 of 3141"
"Caribou County",16029,58750.000000000,"585 of 3141"
"Blaine County",16013,58835.000000000,"579 of 3141"
"Ada County",16001,60151.000000000,"515 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:58 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Income: Median household income, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#income."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
"Median Incomes over 250,000 have been coded to 250,001 by the Census Bureau. [ http://www2.census.gov/acs2012_5yr/summaryfile/ACS_2008-2012_SF_Tech_Doc.pdf ]"
Data for United States does not include Puerto Rico.
