------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=16&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '16', 'areatype': 'county', 'topic': 'work', 'demo': '00012', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_031.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=16&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Idaho by County
Workforce: Unemployed
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Unemployed),Rank within US
"Idaho",16000,5.4,42328,"16 of 52"
"United States",00000,6.6,10560305,"N/A"
"Franklin County",16041,2.4,142,"201 of 3141"
"Caribou County",16029,2.7,81,"245 of 3141"
"Lincoln County",16063,3.1,77,"347 of 3141"
"Blaine County",16013,3.7,455,"514 of 3141"
"Bear Lake County",16007,3.7,97,"524 of 3141"
"Boundary County",16021,3.8,158,"539 of 3141"
"Bonneville County",16019,3.8,1910,"544 of 3141"
"Minidoka County",16067,3.9,376,"601 of 3141"
"Nez Perce County",16069,4.2,840,"709 of 3141"
"Twin Falls County",16083,4.3,1738,"724 of 3141"
"Valley County",16085,4.3,190,"725 of 3141"
"Cassia County",16031,4.3,443,"727 of 3141"
"Ada County",16001,4.3,9643,"729 of 3141"
"Camas County",16025,4.4,18,"764 of 3141"
"Bonner County",16017,4.4,790,"776 of 3141"
"Lemhi County",16059,4.4,144,"794 of 3141"
"Jefferson County",16051,4.6,574,"865 of 3141"
"Jerome County",16053,4.6,496,"886 of 3141"
"Custer County",16037,4.7,84,"893 of 3141"
"Clark County",16033,5.0,23,"1030 of 3141"
"Bingham County",16011,5.2,1065,"1142 of 3141"
"Oneida County",16071,5.4,96,"1219 of 3141"
"Idaho County",16049,5.4,359,"1222 of 3141"
"Gooding County",16047,5.5,401,"1286 of 3141"
"Fremont County",16043,5.9,322,"1467 of 3141"
"Lewis County",16061,5.9,96,"1507 of 3141"
"Gem County",16045,6.0,410,"1531 of 3141"
"Boise County",16015,6.0,177,"1568 of 3141"
"Payette County",16075,6.1,629,"1597 of 3141"
"Kootenai County",16055,6.1,4421,"1608 of 3141"
"Clearwater County",16035,6.2,184,"1630 of 3141"
"Teton County",16081,6.2,373,"1663 of 3141"
"Owyhee County",16073,6.2,312,"1666 of 3141"
"Bannock County",16005,6.3,2503,"1720 of 3141"
"Butte County",16023,6.7,70,"1914 of 3141"
"Latah County",16057,7.2,1493,"2126 of 3141"
"Elmore County",16039,7.3,766,"2146 of 3141"
"Canyon County",16027,7.3,6934,"2150 of 3141"
"Adams County",16003,8.7,146,"2596 of 3141"
"Shoshone County",16079,8.9,487,"2653 of 3141"
"Madison County",16065,9.2,1720,"2701 of 3141"
"Washington County",16087,9.3,378,"2729 of 3141"
"Benewah County",16009,9.6,367,"2797 of 3141"
"Power County",16077,10.2,340,"2881 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:59 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Workforce: Unemployed, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#workforce."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
