------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=16&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '16', 'areatype': 'county', 'topic': 'pop', 'demo': '00101', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_024.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=16&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Idaho by County
Population: Non-Hispanic (Origin Recode)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Non-Hispanic [Origin Recode]),Rank within US
"United States",00000,82.4,264493836,"N/A"
"Idaho",16000,87.8,1455397,"17 of 52"
"Clark County",16033,58.0,612,"140 of 3141"
"Jerome County",16053,65.5,15095,"189 of 3141"
"Minidoka County",16067,65.6,13419,"190 of 3141"
"Power County",16077,67.1,5144,"204 of 3141"
"Lincoln County",16063,70.2,3719,"230 of 3141"
"Gooding County",16047,71.2,10756,"240 of 3141"
"Cassia County",16031,73.0,17135,"262 of 3141"
"Owyhee County",16073,73.4,8361,"269 of 3141"
"Canyon County",16027,75.1,155540,"293 of 3141"
"Blaine County",16013,79.0,17048,"360 of 3141"
"Bingham County",16011,82.1,37248,"432 of 3141"
"Washington County",16087,82.8,8281,"452 of 3141"
"Payette County",16075,83.0,18954,"454 of 3141"
"Teton County",16081,83.0,8944,"455 of 3141"
"Elmore County",16039,83.6,21932,"468 of 3141"
"Twin Falls County",16083,84.4,69385,"491 of 3141"
"Bonneville County",16019,87.3,96417,"589 of 3141"
"Fremont County",16043,87.5,11284,"601 of 3141"
"Jefferson County",16051,89.6,24552,"707 of 3141"
"Camas County",16025,90.7,804,"788 of 3141"
"Gem County",16045,91.7,15452,"872 of 3141"
"Bannock County",16005,91.7,77159,"875 of 3141"
"Ada County",16001,92.1,400889,"899 of 3141"
"Madison County",16065,92.9,35519,"987 of 3141"
"Franklin County",16041,93.3,12239,"1028 of 3141"
"Caribou County",16029,94.6,6491,"1238 of 3141"
"Boundary County",16021,95.4,10797,"1394 of 3141"
"Valley County",16085,95.6,9656,"1444 of 3141"
"Kootenai County",16055,95.6,143568,"1458 of 3141"
"Lewis County",16061,95.7,3658,"1463 of 3141"
"Latah County",16057,95.8,37085,"1514 of 3141"
"Oneida County",16071,95.8,4106,"1518 of 3141"
"Bear Lake County",16007,95.9,5697,"1528 of 3141"
"Boise County",16015,95.9,6682,"1534 of 3141"
"Custer County",16037,96.0,3977,"1573 of 3141"
"Clearwater County",16035,96.1,8201,"1591 of 3141"
"Nez Perce County",16069,96.3,38528,"1635 of 3141"
"Shoshone County",16079,96.6,12060,"1718 of 3141"
"Benewah County",16009,96.6,8739,"1720 of 3141"
"Adams County",16003,96.7,3815,"1749 of 3141"
"Lemhi County",16059,96.8,7505,"1786 of 3141"
"Idaho County",16049,96.8,15752,"1792 of 3141"
"Bonner County",16017,97.1,40645,"1921 of 3141"
"Butte County",16023,97.5,2547,"2103 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:59 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Non-Hispanic (Origin Recode), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
