------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=16&areatype=county&topic=pop&demo=00028&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '16', 'areatype': 'county', 'topic': 'pop', 'demo': '00028', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_016.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=16&areatype=county&topic=pop&demo=00028&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Idaho by County
Population: Age 40 and over
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 40 And Over),Rank within US
"Idaho",16000,44.9,743465,"47 of 52"
"United States",00000,47.3,151838062,"N/A"
"Madison County",16065,22.6,8643,"3140 of 3141"
"Latah County",16057,36.3,14039,"3088 of 3141"
"Clark County",16033,36.9,389,"3076 of 3141"
"Jefferson County",16051,37.9,10391,"3053 of 3141"
"Bonneville County",16019,39.6,43667,"3006 of 3141"
"Elmore County",16039,39.6,10400,"3003 of 3141"
"Jerome County",16053,40.2,9256,"2974 of 3141"
"Cassia County",16031,40.5,9499,"2959 of 3141"
"Bannock County",16005,40.5,34061,"2958 of 3141"
"Franklin County",16041,40.7,5344,"2945 of 3141"
"Canyon County",16027,41.1,85173,"2931 of 3141"
"Bingham County",16011,41.7,18910,"2906 of 3141"
"Lincoln County",16063,43.2,2288,"2823 of 3141"
"Twin Falls County",16083,43.8,36003,"2777 of 3141"
"Power County",16077,43.9,3363,"2766 of 3141"
"Teton County",16081,44.1,4749,"2748 of 3141"
"Minidoka County",16067,44.1,9012,"2747 of 3141"
"Ada County",16001,44.8,194863,"2683 of 3141"
"Caribou County",16029,46.0,3155,"2561 of 3141"
"Fremont County",16043,46.1,5938,"2547 of 3141"
"Gooding County",16047,46.3,6996,"2518 of 3141"
"Owyhee County",16073,48.3,5493,"2226 of 3141"
"Bear Lake County",16007,48.9,2908,"2109 of 3141"
"Payette County",16075,49.2,11230,"2065 of 3141"
"Oneida County",16071,49.3,2111,"2049 of 3141"
"Kootenai County",16055,49.6,74526,"1980 of 3141"
"Nez Perce County",16069,51.2,20477,"1631 of 3141"
"Boundary County",16021,53.6,6066,"1043 of 3141"
"Blaine County",16013,53.7,11589,"1015 of 3141"
"Camas County",16025,55.5,492,"675 of 3141"
"Gem County",16045,55.6,9367,"663 of 3141"
"Butte County",16023,55.9,1461,"623 of 3141"
"Washington County",16087,56.3,5632,"561 of 3141"
"Lewis County",16061,57.0,2178,"497 of 3141"
"Benewah County",16009,57.6,5217,"400 of 3141"
"Shoshone County",16079,58.3,7276,"347 of 3141"
"Bonner County",16017,59.5,24913,"248 of 3141"
"Idaho County",16049,59.6,9704,"244 of 3141"
"Clearwater County",16035,62.9,5365,"106 of 3141"
"Lemhi County",16059,63.4,4918,"88 of 3141"
"Boise County",16015,64.5,4495,"65 of 3141"
"Adams County",16003,64.6,2549,"63 of 3141"
"Custer County",16037,64.8,2685,"55 of 3141"
"Valley County",16085,66.1,6674,"40 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:58 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age 40 and over, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
