------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=39&areatype=county&cancer=055&stage=211&race=00&sex=2&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '39', 'areatype': 'county', 'cancer': '055', 'stage': '211', 'race': '00', 'sex': '2', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_042.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=39&areatype=county&cancer=055&stage=211&race=00&sex=2&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Ohio by County

"Breast (Late Stage^), 2012-2016"

"All Races (includes Hispanic), Female, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of 42.1?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Percent of Cases with Late Stage
"Ohio(6)",39000,No,44.5 ,43.8, 45.2,3179,34.0
"US (SEER+NPCR)(1)",00000,No,42.3 ,42.1, 42.4,78906,33.0
"Clark County(6)",39023,No,58 ,50.7, 66.2,51,37.2
"Pike County(6)",39131,No,56.7 ,41.5, 76,10,38.9
"Putnam County(6)",39137,No,52.7 ,38.8, 70,11,36.8
"Pickaway County(6)",39129,No,49.8 ,39.1, 62.5,16,36.1
"Knox County(6)",39083,No,49.3 ,39.3, 61.1,19,37.7
"Montgomery County(6)",39113,No,48.9 ,45.5, 52.6,166,34.9
"Washington County(6)",39167,No,48.8 ,39.2, 60.2,20,34.4
"Hamilton County(6)",39061,No,48.6 ,45.8, 51.6,234,34.6
"Clinton County(6)",39027,No,48.5 ,36.8, 62.9,12,37.8
"Franklin County(6)",39049,No,48.5 ,46, 51,313,36.7
"Morgan County(6)",39115,No,48.4 ,28.4, 77.1,4,32.8
"Warren County(6)",39165,No,47.7 ,42.4, 53.5,61,34.1
"Muskingum County(6)",39119,No,47.3 ,39.2, 56.7,26,33.5
"Cuyahoga County(6)",39035,No,47.1 ,44.9, 49.3,396,34.8
"Fayette County(6)",39047,No,47 ,34.1, 63.4,9,37.4
"Crawford County(6)",39033,No,46.9 ,36.2, 60.1,14,40.3
"Auglaize County(6)",39011,No,46.8 ,35.7, 60.4,13,35.3
"Butler County(6)",39017,No,46.2 ,42.1, 50.6,97,35.5
"Lucas County(6)",39095,No,46.1 ,42.4, 50.2,119,35.2
"Champaign County(6)",39021,No,45.7 ,34.1, 60.3,11,32.2
"Richland County(6)",39139,No,45.5 ,38.7, 53.3,36,36.2
