------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=inc&demo=00011&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '51', 'areatype': 'county', 'topic': 'inc', 'demo': '00011', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_005.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=inc&demo=00011&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Virginia by County
Income: Median household income
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Dollars),Rank within US
"United States",00000,57652.000000000,"N/A"
"Virginia",51000,68766.000000000,"9 of 52"
"Norton City",51720,26971.000000000,"3098 of 3141"
"Emporia City",51595,27426.000000000,"3092 of 3141"
"Dickenson County",51051,29916.000000000,"3060 of 3141"
"Buchanan County",51027,30828.000000000,"3039 of 3141"
"Galax City",51640,31311.000000000,"3021 of 3141"
"Grayson County",51077,32048.000000000,"3000 of 3141"
"Lee County",51105,32590.000000000,"2971 of 3141"
"Martinsville City",51690,33545.000000000,"2939 of 3141"
"Buena Vista City",51530,33672.000000000,"2929 of 3141"
"Petersburg City",51730,33939.000000000,"2919 of 3141"
"Danville City",51590,34951.000000000,"2877 of 3141"
"Covington City",51580,35546.000000000,"2834 of 3141"
"Radford City",51750,36082.000000000,"2796 of 3141"
"Henry County",51089,36779.000000000,"2737 of 3141"
"Lexington City",51678,37309.000000000,"2692 of 3141"
"Patrick County",51141,37757.000000000,"2657 of 3141"
"Bristol City",51520,37844.000000000,"2649 of 3141"
"Wise County",51195,38255.000000000,"2614 of 3141"
"Charlotte County",51037,38350.000000000,"2609 of 3141"
"Nottoway County",51135,38410.000000000,"2607 of 3141"
"Scott County",51169,38725.000000000,"2591 of 3141"
"Franklin City",51620,38760.000000000,"2585 of 3141"
"Halifax County with South Boston City",51083,39233.000000000,"2542 of 3141"
"Lunenburg County",51111,39537.000000000,"2503 of 3141"
"Russell County",51167,40083.000000000,"2463 of 3141"
"Tazewell County",51185,40309.000000000,"2449 of 3141"
"Smyth County",51173,40544.000000000,"2424 of 3141"
"Hopewell City",51670,40712.000000000,"2399 of 3141"
"Brunswick County",51025,40871.000000000,"2385 of 3141"
"Mecklenburg County",51117,41126.000000000,"2353 of 3141"
"Carroll County",51035,41145.000000000,"2350 of 3141"
"Northampton County",51131,41468.000000000,"2311 of 3141"
"Roanoke City",51770,41483.000000000,"2306 of 3141"
"Lynchburg City",51680,41971.000000000,"2252 of 3141"
"Waynesboro City",51820,42112.000000000,"2234 of 3141"
"Greensville County",51081,42121.000000000,"2233 of 3141"
