------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=pop&demo=00022&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '51', 'areatype': 'county', 'topic': 'pop', 'demo': '00022', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_021.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=pop&demo=00022&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Virginia by County
Population: Black
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Black),Rank within US
"United States",00000,12.7,40610815,"N/A"
"Virginia",51000,19.2,1605447,"10 of 52"
"Highland County",51091,0.0,0,"3052 of 3141"
"Craig County",51045,0.1,7,"2924 of 3141"
"Carroll County",51035,0.3,97,"2721 of 3141"
"Dickenson County",51051,0.8,125,"2177 of 3141"
"Scott County",51169,0.8,185,"2172 of 3141"
"Russell County",51167,0.9,261,"2086 of 3141"
"Poquoson City",51735,1.0,124,"2024 of 3141"
"Washington County",51191,1.4,774,"1839 of 3141"
"Page County",51139,1.5,345,"1822 of 3141"
"Shenandoah County",51171,1.8,777,"1677 of 3141"
"Giles County",51071,2.4,402,"1539 of 3141"
"Smyth County",51173,2.4,747,"1536 of 3141"
"Buena Vista City",51530,2.5,165,"1499 of 3141"
"Rockingham County",51165,2.5,2005,"1493 of 3141"
"Floyd County",51063,2.6,402,"1485 of 3141"
"Bath County",51017,2.7,119,"1471 of 3141"
"Buchanan County",51027,2.8,638,"1443 of 3141"
"Tazewell County",51185,3.0,1285,"1410 of 3141"
"Rockbridge County",51163,3.0,684,"1403 of 3141"
"Botetourt County",51023,3.1,1029,"1394 of 3141"
"Wythe County",51197,3.2,924,"1381 of 3141"
"Warren County",51187,3.7,1435,"1306 of 3141"
"Grayson County",51077,3.8,595,"1284 of 3141"
"Rappahannock County",51157,3.8,280,"1282 of 3141"
"Norton City",51720,3.8,155,"1277 of 3141"
"Frederick County",51069,4.0,3358,"1254 of 3141"
"Augusta County",51015,4.0,3010,"1246 of 3141"
"Lee County",51105,4.5,1096,"1197 of 3141"
"Montgomery County",51121,4.5,4426,"1190 of 3141"
"Pulaski County",51155,4.7,1600,"1178 of 3141"
"Bland County",51021,4.8,312,"1168 of 3141"
"Falls Church City",51610,4.8,667,"1165 of 3141"
"Fairfax City",51600,4.9,1145,"1159 of 3141"
"Clarke County",51043,4.9,703,"1153 of 3141"
"Wise County",51195,5.4,2131,"1098 of 3141"
"Alleghany County and Clifton Forge City",51005,5.5,846,"1091 of 3141"
"Patrick County",51141,5.5,994,"1085 of 3141"
"Roanoke County",51161,5.8,5458,"1057 of 3141"
"Greene County",51079,6.1,1175,"1024 of 3141"
"Madison County",51113,6.7,880,"984 of 3141"
"Bedford City and County",51917,7.0,5408,"959 of 3141"
"Harrisonburg City",51660,7.0,3718,"958 of 3141"
