------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '51', 'areatype': 'county', 'topic': 'lang', 'demo': '00015', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_007.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Virginia by County
Non-English Language: Language isolation
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (language Isolation),Rank within US
"Virginia",51000,2.6,81608,"32 of 51"
"United States",00000,4.5,5305440,"N/A"
"Covington City",51580,0.0,0,"1 of 3140"
"Cumberland County",51049,0.0,0,"1 of 3140"
"Giles County",51071,0.0,0,"1 of 3140"
"Highland County",51091,0.0,0,"1 of 3140"
"Lexington City",51678,0.0,0,"1 of 3140"
"Mathews County",51115,0.0,0,"1 of 3140"
"Middlesex County",51119,0.0,0,"1 of 3140"
"New Kent County",51127,0.0,0,"1 of 3140"
"Northumberland County",51133,0.0,0,"1 of 3140"
"Norton City",51720,0.0,0,"1 of 3140"
"Powhatan County",51145,0.0,0,"1 of 3140"
"Prince Edward County",51147,0.0,0,"1 of 3140"
"Radford City",51750,0.0,0,"1 of 3140"
"Surry County",51181,0.0,0,"1 of 3140"
"Alleghany County and Clifton Forge City",51005,0.1,4,"343 of 3140"
"Rockbridge County",51163,0.1,6,"357 of 3140"
"Bristol City",51520,0.1,5,"361 of 3140"
"Craig County",51045,0.1,2,"384 of 3140"
"Lee County",51105,0.1,9,"399 of 3140"
"Bland County",51021,0.1,3,"427 of 3140"
"Wise County",51195,0.1,18,"432 of 3140"
"Washington County",51191,0.1,27,"436 of 3140"
"Mecklenburg County",51117,0.1,15,"449 of 3140"
"Dickenson County",51051,0.1,8,"461 of 3140"
"Brunswick County",51025,0.1,9,"487 of 3140"
"Scott County",51169,0.2,14,"507 of 3140"
"Page County",51139,0.2,15,"513 of 3140"
"Tazewell County",51185,0.2,28,"522 of 3140"
"King William County",51101,0.2,10,"530 of 3140"
"Southampton County",51175,0.2,11,"532 of 3140"
"Appomattox County",51011,0.2,10,"535 of 3140"
"Poquoson City",51735,0.2,8,"548 of 3140"
"Franklin County",51067,0.2,44,"572 of 3140"
"Gloucester County",51073,0.2,33,"637 of 3140"
"Charles City County",51036,0.2,7,"672 of 3140"
"Buchanan County",51027,0.2,22,"675 of 3140"
"Essex County",51057,0.2,11,"680 of 3140"
"King and Queen County",51097,0.2,7,"689 of 3140"
"Salem City",51775,0.3,25,"691 of 3140"
"Franklin City",51620,0.3,10,"760 of 3140"
"Sussex County",51183,0.3,10,"772 of 3140"
"Greensville County",51081,0.3,11,"787 of 3140"
"Madison County",51113,0.3,16,"802 of 3140"
"Amelia County",51007,0.3,15,"815 of 3140"
"Charlotte County",51037,0.3,15,"844 of 3140"
"Augusta County",51015,0.4,102,"892 of 3140"
"Lunenburg County",51111,0.4,16,"894 of 3140"
"Staunton City",51790,0.4,45,"1029 of 3140"
"Isle of Wight County",51093,0.4,62,"1048 of 3140"
"Patrick County",51141,0.4,34,"1052 of 3140"
"Smyth County",51173,0.5,58,"1069 of 3140"
"Danville City",51590,0.5,85,"1074 of 3140"
"Wythe County",51197,0.5,55,"1075 of 3140"
"Buckingham County",51029,0.5,27,"1088 of 3140"
"Russell County",51167,0.5,53,"1092 of 3140"
"King George County",51099,0.5,43,"1095 of 3140"
"Botetourt County",51023,0.5,66,"1126 of 3140"
"Suffolk City",51800,0.5,170,"1164 of 3140"
"Buena Vista City",51530,0.5,14,"1183 of 3140"
"Bedford City and County",51917,0.6,171,"1205 of 3140"
"Campbell County",51031,0.6,126,"1215 of 3140"
"Caroline County",51033,0.6,62,"1237 of 3140"
"Goochland County",51075,0.6,49,"1270 of 3140"
"Floyd County",51063,0.6,39,"1294 of 3140"
"Lancaster County",51103,0.6,33,"1345 of 3140"
"Bath County",51017,0.6,12,"1347 of 3140"
"Martinsville City",51690,0.7,38,"1365 of 3140"
"Pulaski County",51155,0.7,99,"1384 of 3140"
"Halifax County with South Boston City",51083,0.7,96,"1389 of 3140"
"Hampton City",51650,0.7,369,"1400 of 3140"
"Fluvanna County",51065,0.7,71,"1438 of 3140"
"Carroll County",51035,0.7,92,"1455 of 3140"
"Portsmouth City",51740,0.8,284,"1506 of 3140"
"Roanoke County",51161,0.8,299,"1510 of 3140"
"Nottoway County",51135,0.8,45,"1530 of 3140"
"Amherst County",51009,0.8,98,"1542 of 3140"
"Fauquier County",51061,0.8,200,"1571 of 3140"
"Hanover County",51085,0.9,339,"1614 of 3140"
"Chesapeake City",51550,0.9,756,"1641 of 3140"
"Louisa County",51109,0.9,126,"1665 of 3140"
"Pittsylvania County",51143,1.0,258,"1691 of 3140"
"Grayson County",51077,1.0,66,"1708 of 3140"
"Warren County",51187,1.0,141,"1710 of 3140"
"Orange County",51137,1.0,135,"1720 of 3140"
"Frederick County",51069,1.0,316,"1759 of 3140"
"Greene County",51079,1.1,79,"1796 of 3140"
"Northampton County",51131,1.1,58,"1820 of 3140"
"Lynchburg City",51680,1.1,319,"1828 of 3140"
"Emporia City",51595,1.2,25,"1868 of 3140"
"Charlottesville City",51540,1.3,232,"1928 of 3140"
"Rappahannock County",51157,1.3,41,"1960 of 3140"
"Clarke County",51043,1.3,73,"1963 of 3140"
"Nelson County",51125,1.3,86,"1970 of 3140"
"Petersburg City",51730,1.4,186,"2022 of 3140"
"Williamsburg City",51830,1.4,66,"2034 of 3140"
"Henry County",51089,1.4,317,"2039 of 3140"
"Colonial Heights City",51570,1.5,107,"2080 of 3140"
"Dinwiddie County",51053,1.5,158,"2091 of 3140"
"Shenandoah County",51171,1.6,284,"2181 of 3140"
"Montgomery County",51121,1.7,591,"2195 of 3140"
"Rockingham County",51165,1.7,514,"2207 of 3140"
"Hopewell City",51670,1.8,160,"2229 of 3140"
"Virginia Beach City",51810,1.8,3088,"2273 of 3140"
"Prince George County",51149,1.9,210,"2278 of 3140"
"Falls Church City",51610,1.9,99,"2281 of 3140"
"Albemarle County",51003,1.9,769,"2298 of 3140"
"Spotsylvania County",51177,2.0,849,"2311 of 3140"
"James City County",51095,2.0,558,"2312 of 3140"
"Richmond County",51159,2.0,65,"2324 of 3140"
"Waynesboro City",51820,2.1,190,"2355 of 3140"
"Westmoreland County",51193,2.1,155,"2359 of 3140"
"York County",51199,2.1,512,"2361 of 3140"
"Richmond City",51760,2.1,1898,"2368 of 3140"
"Fredericksburg City",51630,2.1,224,"2377 of 3140"
"Norfolk City",51710,2.2,1886,"2382 of 3140"
"Stafford County",51179,2.2,990,"2389 of 3140"
"Chesterfield County",51041,2.2,2699,"2410 of 3140"
"Culpeper County",51047,2.3,381,"2424 of 3140"
"Roanoke City",51770,2.4,1011,"2475 of 3140"
"Accomack County",51001,2.5,333,"2502 of 3140"
"Galax City",51640,2.6,75,"2550 of 3140"
"Henrico County",51087,2.7,3422,"2567 of 3140"
"Newport News City",51700,2.7,1880,"2573 of 3140"
"Loudoun County",51107,4.1,4996,"2784 of 3140"
"Arlington County",51013,4.3,4364,"2798 of 3140"
"Winchester City",51840,5.0,521,"2862 of 3140"
"Prince William County",51153,5.3,7380,"2879 of 3140"
"Alexandria City",51510,5.9,4080,"2910 of 3140"
"Fairfax County",51059,6.8,26585,"2953 of 3140"
"Fairfax City",51600,7.6,644,"2989 of 3140"
"Manassas Park City",51685,8.0,380,"3002 of 3140"
"Harrisonburg City",51660,8.4,1413,"3015 of 3140"
"Manassas City",51683,8.6,1077,"3025 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:03 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
