------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=mob&demo=00019&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '51', 'areatype': 'county', 'topic': 'mob', 'demo': '00019', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_010.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=mob&demo=00019&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Virginia by County
"Mobility: Moved, different county this state (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Different County In Same State),Rank within US
"United States",00000,3.2,10247779,"N/A"
"Virginia",51000,5.0,415462,"51 of 51"
"Accomack County",51001,0.6,179,"16 of 3140"
"Appomattox County",51011,0.7,108,"22 of 3140"
"Highland County",51091,1.3,28,"93 of 3140"
"Buchanan County",51027,1.3,292,"98 of 3140"
"Dickenson County",51051,1.5,221,"139 of 3140"
"Lee County",51105,1.9,455,"276 of 3140"
"Alleghany County and Clifton Forge City",51005,1.9,288,"277 of 3140"
"Bath County",51017,1.9,86,"311 of 3140"
"Cumberland County",51049,2.0,190,"320 of 3140"
"Tazewell County",51185,2.1,865,"354 of 3140"
"Halifax County with South Boston City",51083,2.1,733,"393 of 3140"
"Giles County",51071,2.4,398,"547 of 3140"
"Mecklenburg County",51117,2.5,769,"624 of 3140"
"Lunenburg County",51111,2.5,309,"637 of 3140"
"Northampton County",51131,2.5,300,"639 of 3140"
"Surry County",51181,2.6,171,"679 of 3140"
"Wythe County",51197,2.6,746,"686 of 3140"
"Amelia County",51007,2.7,343,"776 of 3140"
"Pittsylvania County",51143,2.8,1697,"812 of 3140"
"Carroll County",51035,2.8,814,"817 of 3140"
"Buena Vista City",51530,2.8,179,"848 of 3140"
"Fairfax County",51059,2.8,31742,"855 of 3140"
"Russell County",51167,2.8,782,"871 of 3140"
"Smyth County",51173,2.9,897,"918 of 3140"
"Scott County",51169,3.0,671,"989 of 3140"
"Rappahannock County",51157,3.0,221,"995 of 3140"
"Danville City",51590,3.1,1283,"1032 of 3140"
"Gloucester County",51073,3.1,1138,"1040 of 3140"
"Nelson County",51125,3.2,469,"1126 of 3140"
"Charlotte County",51037,3.3,400,"1205 of 3140"
"King and Queen County",51097,3.4,239,"1276 of 3140"
"Craig County",51045,3.5,176,"1343 of 3140"
"Page County",51139,3.6,833,"1389 of 3140"
"Floyd County",51063,3.6,553,"1439 of 3140"
"Wise County",51195,3.7,1432,"1470 of 3140"
"Lancaster County",51103,3.7,396,"1486 of 3140"
"Arlington County",51013,3.8,8535,"1548 of 3140"
"Virginia Beach City",51810,3.8,16738,"1549 of 3140"
"Rockingham County",51165,3.8,2944,"1564 of 3140"
"Botetourt County",51023,3.9,1276,"1620 of 3140"
"Loudoun County",51107,3.9,14370,"1634 of 3140"
"Henry County",51089,4.0,2069,"1719 of 3140"
"Prince William County",51153,4.0,17901,"1722 of 3140"
"Grayson County",51077,4.0,631,"1731 of 3140"
"Franklin County",51067,4.1,2260,"1740 of 3140"
"Charles City County",51036,4.2,290,"1807 of 3140"
