------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '51', 'areatype': 'county', 'topic': 'pop', 'demo': '00025', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_025.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Virginia by County
Population: White
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (White),Rank within US
"Virginia",51000,68.4,5720209,"40 of 52"
"United States",00000,73.0,234370202,"N/A"
"Petersburg City",51730,17.2,5512,"3125 of 3141"
"Emporia City",51595,32.8,1804,"3079 of 3141"
"Franklin City",51620,37.4,3121,"3055 of 3141"
"Sussex County",51183,38.3,4444,"3051 of 3141"
"Greensville County",51081,39.6,4597,"3046 of 3141"
"Portsmouth City",51740,40.4,38552,"3037 of 3141"
"Hampton City",51650,41.8,56973,"3026 of 3141"
"Brunswick County",51025,42.2,6935,"3021 of 3141"
"Charles City County",51036,42.9,3009,"3015 of 3141"
"Richmond City",51760,44.7,98724,"3004 of 3141"
"Danville City",51590,45.7,19162,"2991 of 3141"
"Norfolk City",51710,47.4,116463,"2975 of 3141"
"Newport News City",51700,49.0,88669,"2961 of 3141"
"Martinsville City",51690,49.3,6535,"2958 of 3141"
"Hopewell City",51670,51.5,11520,"2938 of 3141"
"Suffolk City",51800,52.1,45846,"2933 of 3141"
"Surry County",51181,52.5,3500,"2926 of 3141"
"Essex County",51057,55.6,6167,"2889 of 3141"
"Nottoway County",51135,56.9,8843,"2869 of 3141"
"Henrico County",51087,57.5,186351,"2861 of 3141"
"Prince George County",51149,58.5,22057,"2846 of 3141"
"Prince William County",51153,58.9,265523,"2837 of 3141"
"Halifax County with South Boston City",51083,60.7,21274,"2806 of 3141"
"Buckingham County",51029,61.2,10438,"2799 of 3141"
"Southampton County",51175,61.7,11154,"2788 of 3141"
"Mecklenburg County",51117,61.7,19103,"2787 of 3141"
"Chesapeake City",51550,61.8,145521,"2782 of 3141"
"Northampton County",51131,61.9,7428,"2779 of 3141"
"Lunenburg County",51111,62.3,7705,"2770 of 3141"
"Alexandria City",51510,62.3,96411,"2768 of 3141"
"Fairfax County",51059,62.5,713926,"2764 of 3141"
"Roanoke City",51770,63.0,62725,"2753 of 3141"
"Cumberland County",51049,63.3,6199,"2746 of 3141"
"Fredericksburg City",51630,64.4,18127,"2716 of 3141"
"Prince Edward County",51147,64.5,14764,"2715 of 3141"
"Manassas Park City",51685,64.6,10413,"2709 of 3141"
"Dinwiddie County",51053,64.7,18149,"2706 of 3141"
"Richmond County",51159,65.1,5774,"2700 of 3141"
"Lynchburg City",51680,65.1,51573,"2699 of 3141"
"Caroline County",51033,66.2,19775,"2677 of 3141"
"Loudoun County",51107,67.0,250975,"2657 of 3141"
"Virginia Beach City",51810,67.2,302383,"2649 of 3141"
"Manassas City",51683,67.9,28105,"2629 of 3141"
"King and Queen County",51097,68.2,4811,"2617 of 3141"
"Chesterfield County",51041,68.3,229110,"2611 of 3141"
"Fairfax City",51600,68.3,16104,"2610 of 3141"
"Accomack County",51001,68.4,22468,"2607 of 3141"
"Charlotte County",51037,68.6,8349,"2603 of 3141"
"Westmoreland County",51193,68.6,12078,"2600 of 3141"
"Stafford County",51179,69.0,97462,"2585 of 3141"
"Lancaster County",51103,70.0,7589,"2558 of 3141"
"Charlottesville City",51540,70.1,32565,"2552 of 3141"
"Northumberland County",51133,70.2,8607,"2545 of 3141"
"Arlington County",51013,71.5,164102,"2521 of 3141"
"Henry County",51089,72.0,37387,"2506 of 3141"
"Isle of Wight County",51093,72.5,26175,"2494 of 3141"
"Spotsylvania County",51177,73.0,94968,"2489 of 3141"
"Amelia County",51007,73.5,9407,"2467 of 3141"
"Williamsburg City",51830,73.9,10957,"2448 of 3141"
"Pittsylvania County",51143,74.9,46431,"2413 of 3141"
"York County",51199,76.3,51256,"2371 of 3141"
"King William County",51101,76.6,12503,"2366 of 3141"
"Culpeper County",51047,77.0,38337,"2347 of 3141"
"Amherst County",51009,77.0,24499,"2346 of 3141"
"Colonial Heights City",51570,77.4,13601,"2336 of 3141"
"King George County",51099,77.4,19784,"2334 of 3141"
"Appomattox County",51011,77.5,11990,"2330 of 3141"
"Middlesex County",51119,77.9,8348,"2313 of 3141"
"Louisa County",51109,78.5,27345,"2278 of 3141"
"Falls Church City",51610,79.0,10938,"2255 of 3141"
"Goochland County",51075,79.7,17656,"2232 of 3141"
"Winchester City",51840,80.2,22071,"2210 of 3141"
"James City County",51095,80.3,58644,"2206 of 3141"
"Fluvanna County",51065,81.2,21208,"2158 of 3141"
"Albemarle County",51003,81.5,85656,"2144 of 3141"
"Waynesboro City",51820,81.5,17627,"2142 of 3141"
"Campbell County",51031,81.6,45007,"2139 of 3141"
"New Kent County",51127,81.7,16768,"2137 of 3141"
"Covington City",51580,82.0,4656,"2125 of 3141"
"Orange County",51137,82.3,29030,"2109 of 3141"
"Harrisonburg City",51660,82.4,43715,"2106 of 3141"
"Staunton City",51790,83.6,20304,"2034 of 3141"
"Lexington City",51678,84.3,5994,"2005 of 3141"
"Nelson County",51125,84.4,12546,"1999 of 3141"
"Radford City",51750,84.8,14742,"1981 of 3141"
"Madison County",51113,85.1,11150,"1972 of 3141"
"Mathews County",51115,85.9,7585,"1922 of 3141"
"Montgomery County",51121,86.2,84163,"1904 of 3141"
"Powhatan County",51145,86.2,24440,"1902 of 3141"
