------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=pop&demo=00028&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '51', 'areatype': 'county', 'topic': 'pop', 'demo': '00028', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_016.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=pop&demo=00028&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Virginia by County
Population: Age 40 and over
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 40 And Over),Rank within US
"United States",00000,47.3,151838062,"N/A"
"Virginia",51000,47.4,3968435,"29 of 52"
"Radford City",51750,28.6,4976,"3135 of 3141"
"Harrisonburg City",51660,29.4,15600,"3133 of 3141"
"Lexington City",51678,31.2,2216,"3126 of 3141"
"Williamsburg City",51830,34.4,5096,"3112 of 3141"
"Fredericksburg City",51630,36.0,10127,"3096 of 3141"
"Charlottesville City",51540,36.4,16941,"3081 of 3141"
"Norfolk City",51710,36.6,89982,"3080 of 3141"
"Montgomery County",51121,37.0,36142,"3074 of 3141"
"Lynchburg City",51680,37.8,29956,"3057 of 3141"
"Arlington County",51013,39.7,91218,"2994 of 3141"
"Manassas Park City",51685,40.1,6458,"2981 of 3141"
"Manassas City",51683,40.3,16683,"2967 of 3141"
"Newport News City",51700,40.9,73985,"2936 of 3141"
"Richmond City",51760,41.3,91231,"2923 of 3141"
"Prince Edward County",51147,41.7,9556,"2904 of 3141"
"Prince William County",51153,41.7,188187,"2902 of 3141"
"Loudoun County",51107,42.8,160239,"2852 of 3141"
"Alexandria City",51510,43.1,66641,"2835 of 3141"
"Stafford County",51179,43.2,60948,"2827 of 3141"
"Portsmouth City",51740,43.9,41949,"2763 of 3141"
"Virginia Beach City",51810,44.1,198616,"2739 of 3141"
"Hampton City",51650,45.0,61307,"2667 of 3141"
"Prince George County",51149,45.4,17115,"2618 of 3141"
"Norton City",51720,45.8,1853,"2576 of 3141"
"Chesapeake City",51550,45.9,108039,"2571 of 3141"
"Hopewell City",51670,46.1,10312,"2540 of 3141"
"Emporia City",51595,46.5,2555,"2494 of 3141"
"King George County",51099,46.7,11933,"2479 of 3141"
"Fairfax County",51059,46.9,535435,"2449 of 3141"
"Spotsylvania County",51177,47.3,61519,"2406 of 3141"
"Suffolk City",51800,47.3,41691,"2400 of 3141"
"Buena Vista City",51530,47.4,3080,"2382 of 3141"
"Winchester City",51840,47.5,13079,"2352 of 3141"
"Henrico County",51087,47.8,154856,"2311 of 3141"
"Roanoke City",51770,47.9,47734,"2283 of 3141"
"Petersburg City",51730,48.1,15418,"2249 of 3141"
"Fairfax City",51600,48.3,11396,"2216 of 3141"
"Albemarle County",51003,48.4,50863,"2206 of 3141"
"Chesterfield County",51041,48.5,162838,"2181 of 3141"
"Franklin City",51620,48.8,4068,"2135 of 3141"
"Culpeper County",51047,48.9,24341,"2119 of 3141"
"York County",51199,49.4,33203,"2027 of 3141"
"Greene County",51079,49.5,9501,"2020 of 3141"
"Falls Church City",51610,49.5,6854,"2009 of 3141"
"Waynesboro City",51820,50.0,10817,"1904 of 3141"
"Colonial Heights City",51570,50.1,8806,"1892 of 3141"
"Caroline County",51033,50.4,15054,"1825 of 3141"
"Wise County",51195,50.4,19936,"1811 of 3141"
"Sussex County",51183,50.5,5850,"1805 of 3141"
"Danville City",51590,50.5,21181,"1784 of 3141"
"Frederick County",51069,50.7,42475,"1745 of 3141"
"Warren County",51187,50.7,19773,"1740 of 3141"
"Greensville County",51081,50.7,5888,"1729 of 3141"
"Staunton City",51790,51.5,12501,"1545 of 3141"
"Nottoway County",51135,51.6,8024,"1513 of 3141"
"Fauquier County",51061,51.8,35449,"1476 of 3141"
"Salem City",51775,52.0,13262,"1440 of 3141"
"Martinsville City",51690,52.0,6896,"1425 of 3141"
"Rockingham County",51165,52.1,40975,"1402 of 3141"
"King William County",51101,52.6,8581,"1284 of 3141"
"Orange County",51137,52.7,18576,"1250 of 3141"
"Poquoson City",51735,52.7,6340,"1239 of 3141"
"Campbell County",51031,52.8,29146,"1215 of 3141"
"Bristol City",51520,53.1,9075,"1143 of 3141"
"Hanover County",51085,53.1,54859,"1142 of 3141"
"Buckingham County",51029,53.7,9148,"1023 of 3141"
"Appomattox County",51011,53.8,8312,"1006 of 3141"
"Dinwiddie County",51053,53.8,15071,"1003 of 3141"
"Brunswick County",51025,54.0,8872,"965 of 3141"
"Fluvanna County",51065,54.1,14115,"946 of 3141"
"Amherst County",51009,54.6,17370,"837 of 3141"
"Roanoke County",51161,54.7,51110,"814 of 3141"
"Cumberland County",51049,54.8,5368,"807 of 3141"
"Shenandoah County",51171,54.8,23499,"799 of 3141"
"Madison County",51113,54.9,7199,"785 of 3141"
"Lee County",51105,54.9,13420,"782 of 3141"
"New Kent County",51127,55.4,11370,"696 of 3141"
"Charlotte County",51037,55.5,6758,"682 of 3141"
"Tazewell County",51185,55.5,23699,"679 of 3141"
"Isle of Wight County",51093,55.6,20051,"670 of 3141"
"Louisa County",51109,55.6,19364,"662 of 3141"
"Essex County",51057,55.6,6165,"661 of 3141"
"Covington City",51580,55.6,3158,"656 of 3141"
"Page County",51139,55.7,13201,"649 of 3141"
"Gloucester County",51073,55.7,20639,"646 of 3141"
"Amelia County",51007,55.9,7157,"624 of 3141"
"Lunenburg County",51111,56.0,6929,"610 of 3141"
"Accomack County",51001,56.1,18418,"604 of 3141"
"Dickenson County",51051,56.2,8526,"587 of 3141"
"Giles County",51071,56.2,9479,"578 of 3141"
"Augusta County",51015,56.2,41843,"575 of 3141"
"Smyth County",51173,56.4,17659,"554 of 3141"
"Wythe County",51197,56.8,16494,"517 of 3141"
"Halifax County with South Boston City",51083,56.9,19925,"507 of 3141"
"Franklin County",51067,56.9,32039,"502 of 3141"
"King and Queen County",51097,57.0,4018,"492 of 3141"
"Buchanan County",51027,57.1,12907,"472 of 3141"
"Washington County",51191,57.2,31123,"468 of 3141"
"Richmond County",51159,57.2,5072,"466 of 3141"
"Powhatan County",51145,57.2,16219,"459 of 3141"
"Floyd County",51063,57.2,8918,"457 of 3141"
"Clarke County",51043,57.2,8199,"455 of 3141"
"Westmoreland County",51193,57.2,10069,"453 of 3141"
"Bedford City and County",51917,57.2,44253,"450 of 3141"
"Russell County",51167,57.4,15902,"429 of 3141"
"Galax City",51640,57.4,3894,"427 of 3141"
"James City County",51095,57.5,41978,"414 of 3141"
"Pittsylvania County",51143,57.5,35625,"412 of 3141"
"Bland County",51021,57.9,3779,"378 of 3141"
"Southampton County",51175,58.1,10514,"361 of 3141"
"Alleghany County and Clifton Forge City",51005,58.3,9024,"346 of 3141"
"Scott County",51169,58.4,13008,"335 of 3141"
"Henry County",51089,58.4,30337,"334 of 3141"
"Bath County",51017,58.5,2606,"327 of 3141"
"Craig County",51045,58.6,3008,"310 of 3141"
"Carroll County",51035,58.8,17506,"296 of 3141"
"Pulaski County",51155,58.9,20221,"289 of 3141"
"Botetourt County",51023,59.1,19597,"277 of 3141"
"Mecklenburg County",51117,59.2,18313,"275 of 3141"
"Nelson County",51125,59.2,8800,"271 of 3141"
"Northampton County",51131,59.4,7121,"258 of 3141"
"Surry County",51181,59.9,3995,"227 of 3141"
"Grayson County",51077,60.0,9424,"223 of 3141"
"Rappahannock County",51157,60.6,4459,"197 of 3141"
"Goochland County",51075,61.0,13518,"181 of 3141"
"Patrick County",51141,61.1,10972,"180 of 3141"
"Rockbridge County",51163,61.2,13734,"172 of 3141"
"Charles City County",51036,62.5,4390,"117 of 3141"
"Middlesex County",51119,66.0,7066,"41 of 3141"
"Mathews County",51115,66.2,5846,"39 of 3141"
"Northumberland County",51133,67.2,8230,"27 of 3141"
"Lancaster County",51103,70.0,7595,"14 of 3141"
"Highland County",51091,73.9,1636,"4 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:03 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age 40 and over, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
