------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=19&areatype=county&topic=mob&demo=00021&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '19', 'areatype': 'county', 'topic': 'mob', 'demo': '00021', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_012.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=19&areatype=county&topic=mob&demo=00021&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Iowa by County
Mobility: Moved from outside US (in past year)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Outside US),Rank within US
"Iowa",19000,0.4,12686,"17 of 51"
"United States",00000,0.7,2074097,"N/A"
"Delaware County",19055,0.0,0,"1 of 3140"
"Howard County",19089,0.0,0,"1 of 3140"
"Mills County",19129,0.0,0,"1 of 3140"
"Monroe County",19135,0.0,0,"1 of 3140"
"Van Buren County",19177,0.0,0,"1 of 3140"
"Keokuk County",19107,0.0,1,"375 of 3140"
"Page County",19145,0.0,2,"384 of 3140"
"Ida County",19093,0.0,1,"390 of 3140"
"Appanoose County",19007,0.0,2,"397 of 3140"
"Clayton County",19043,0.0,3,"402 of 3140"
"Iowa County",19095,0.0,3,"414 of 3140"
"Hamilton County",19079,0.0,3,"418 of 3140"
"Cedar County",19031,0.0,6,"481 of 3140"
"Harrison County",19085,0.0,5,"498 of 3140"
"Crawford County",19047,0.0,6,"500 of 3140"
"Cass County",19029,0.0,5,"510 of 3140"
"Worth County",19195,0.0,3,"528 of 3140"
"Humboldt County",19091,0.1,5,"593 of 3140"
"Louisa County",19115,0.1,6,"599 of 3140"
"Jasper County",19099,0.1,20,"602 of 3140"
"Benton County",19011,0.1,14,"603 of 3140"
"Allamakee County",19005,0.1,8,"623 of 3140"
"Calhoun County",19025,0.1,6,"644 of 3140"
"Tama County",19171,0.1,11,"675 of 3140"
"Osceola County",19143,0.1,4,"685 of 3140"
"Palo Alto County",19147,0.1,6,"689 of 3140"
"Kossuth County",19109,0.1,10,"694 of 3140"
"Adair County",19001,0.1,5,"712 of 3140"
"Boone County",19015,0.1,21,"797 of 3140"
"Madison County",19121,0.1,13,"818 of 3140"
"Plymouth County",19149,0.1,22,"854 of 3140"
"Lyon County",19119,0.1,12,"943 of 3140"
"Franklin County",19069,0.1,11,"969 of 3140"
"Mitchell County",19131,0.1,12,"1014 of 3140"
"Henry County",19087,0.1,23,"1052 of 3140"
"Montgomery County",19137,0.1,12,"1061 of 3140"
"Monona County",19133,0.1,11,"1109 of 3140"
"Wayne County",19185,0.1,8,"1124 of 3140"
"Davis County",19051,0.1,11,"1132 of 3140"
"Washington County",19183,0.1,28,"1139 of 3140"
"Jackson County",19097,0.1,27,"1208 of 3140"
"Audubon County",19009,0.1,8,"1212 of 3140"
"Mahaska County",19123,0.1,32,"1229 of 3140"
"Pocahontas County",19151,0.1,10,"1231 of 3140"
"Lucas County",19117,0.2,13,"1283 of 3140"
"Clay County",19041,0.2,25,"1295 of 3140"
"Union County",19175,0.2,20,"1348 of 3140"
"Butler County",19023,0.2,24,"1355 of 3140"
"Cherokee County",19035,0.2,19,"1371 of 3140"
"Warren County",19181,0.2,84,"1430 of 3140"
"Shelby County",19165,0.2,21,"1463 of 3140"
"Lee County",19111,0.2,63,"1483 of 3140"
"Buchanan County",19019,0.2,41,"1559 of 3140"
"Floyd County",19067,0.2,31,"1559 of 3140"
"Ringgold County",19159,0.2,10,"1594 of 3140"
"Woodbury County",19193,0.2,207,"1602 of 3140"
"Cerro Gordo County",19033,0.2,96,"1695 of 3140"
"Adams County",19003,0.2,9,"1770 of 3140"
"Marion County",19125,0.2,79,"1777 of 3140"
"Guthrie County",19077,0.2,26,"1796 of 3140"
"Hardin County",19083,0.2,42,"1803 of 3140"
"Hancock County",19081,0.3,29,"1891 of 3140"
"Winnebago County",19189,0.3,28,"1899 of 3140"
"Sac County",19161,0.3,27,"1918 of 3140"
"Grundy County",19075,0.3,34,"1929 of 3140"
"Des Moines County",19057,0.3,117,"2004 of 3140"
"Carroll County",19027,0.3,62,"2036 of 3140"
"Linn County",19113,0.3,711,"2106 of 3140"
"Pottawattamie County",19155,0.3,309,"2136 of 3140"
"Dickinson County",19059,0.3,57,"2143 of 3140"
"Polk County",19153,0.4,1687,"2235 of 3140"
"Greene County",19073,0.4,33,"2240 of 3140"
"O'Brien County",19141,0.4,51,"2250 of 3140"
"Scott County",19163,0.4,629,"2250 of 3140"
"Dallas County",19049,0.4,299,"2259 of 3140"
"Muscatine County",19139,0.4,162,"2271 of 3140"
"Clinton County",19045,0.4,182,"2278 of 3140"
"Buena Vista County",19021,0.4,78,"2287 of 3140"
"Fremont County",19071,0.4,27,"2297 of 3140"
"Fayette County",19065,0.4,84,"2361 of 3140"
"Jones County",19105,0.5,94,"2440 of 3140"
"Chickasaw County",19037,0.5,57,"2465 of 3140"
"Winneshiek County",19191,0.5,100,"2483 of 3140"
"Dubuque County",19061,0.5,468,"2486 of 3140"
"Bremer County",19017,0.5,121,"2491 of 3140"
"Black Hawk County",19013,0.5,673,"2528 of 3140"
"Marshall County",19127,0.5,207,"2542 of 3140"
"Webster County",19187,0.5,199,"2586 of 3140"
