------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=19&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '19', 'areatype': 'county', 'topic': 'crowd', 'demo': '00027', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_000.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=19&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Iowa by County
Crowding: Households with >1 person per room
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (with >1 Person Per Room),Rank within US
"Iowa",19000,1.7,20859,"44 of 52"
"United States",00000,3.3,3975282,"N/A"
"Cherokee County",19035,0.0,1,"3096 of 3141"
"Audubon County",19009,0.1,2,"3094 of 3141"
"Lucas County",19117,0.1,4,"3090 of 3141"
"Ida County",19093,0.2,7,"3072 of 3141"
"Humboldt County",19091,0.3,14,"3048 of 3141"
"Cass County",19029,0.3,21,"3045 of 3141"
"Clinton County",19045,0.4,79,"3031 of 3141"
"Plymouth County",19149,0.4,41,"3029 of 3141"
"Howard County",19089,0.4,16,"3028 of 3141"
"Winneshiek County",19191,0.4,34,"3024 of 3141"
"Bremer County",19017,0.4,42,"3016 of 3141"
"Cedar County",19031,0.5,40,"2977 of 3141"
"Sac County",19161,0.5,24,"2970 of 3141"
"Jackson County",19097,0.6,48,"2959 of 3141"
"Hancock County",19081,0.6,28,"2951 of 3141"
"Poweshiek County",19157,0.6,46,"2937 of 3141"
"Carroll County",19027,0.6,54,"2928 of 3141"
"Adair County",19001,0.7,21,"2912 of 3141"
"Adams County",19003,0.7,11,"2910 of 3141"
"Chickasaw County",19037,0.7,36,"2900 of 3141"
"Dickinson County",19059,0.7,56,"2892 of 3141"
"Webster County",19187,0.7,108,"2878 of 3141"
"Madison County",19121,0.7,47,"2859 of 3141"
"Fayette County",19065,0.8,64,"2839 of 3141"
"Harrison County",19085,0.8,47,"2835 of 3141"
"Iowa County",19095,0.8,53,"2825 of 3141"
"Cerro Gordo County",19033,0.8,154,"2809 of 3141"
"Greene County",19073,0.8,32,"2799 of 3141"
"Pocahontas County",19151,0.8,27,"2779 of 3141"
"Worth County",19195,0.8,27,"2771 of 3141"
"Mitchell County",19131,0.9,37,"2760 of 3141"
"Ringgold County",19159,0.9,18,"2749 of 3141"
"Kossuth County",19109,0.9,59,"2727 of 3141"
"Monona County",19133,0.9,36,"2721 of 3141"
"O'Brien County",19141,0.9,57,"2677 of 3141"
"Lee County",19111,1.0,138,"2648 of 3141"
"Lyon County",19119,1.0,44,"2634 of 3141"
"Shelby County",19165,1.0,50,"2624 of 3141"
"Taylor County",19173,1.0,27,"2612 of 3141"
"Benton County",19011,1.0,103,"2600 of 3141"
"Winnebago County",19189,1.0,47,"2586 of 3141"
"Hamilton County",19079,1.0,66,"2573 of 3141"
"Delaware County",19055,1.0,72,"2570 of 3141"
"Dubuque County",19061,1.0,398,"2566 of 3141"
"Grundy County",19075,1.1,55,"2544 of 3141"
"Marion County",19125,1.1,140,"2541 of 3141"
"Wright County",19197,1.1,60,"2535 of 3141"
"Butler County",19023,1.1,70,"2488 of 3141"
"Hardin County",19083,1.1,82,"2449 of 3141"
"Washington County",19183,1.1,99,"2448 of 3141"
"Buchanan County",19019,1.1,94,"2443 of 3141"
"Warren County",19181,1.1,214,"2440 of 3141"
"Monroe County",19135,1.2,40,"2382 of 3141"
"Henry County",19087,1.2,93,"2380 of 3141"
"Mills County",19129,1.2,68,"2362 of 3141"
"Guthrie County",19077,1.2,54,"2348 of 3141"
"Palo Alto County",19147,1.2,47,"2347 of 3141"
"Scott County",19163,1.3,856,"2294 of 3141"
"Des Moines County",19057,1.3,215,"2283 of 3141"
"Jones County",19105,1.3,108,"2249 of 3141"
"Linn County",19113,1.3,1178,"2224 of 3141"
"Union County",19175,1.3,71,"2209 of 3141"
"Mahaska County",19123,1.3,120,"2204 of 3141"
"Pottawattamie County",19155,1.4,524,"2117 of 3141"
"Story County",19169,1.4,535,"2090 of 3141"
"Fremont County",19071,1.5,45,"2023 of 3141"
"Calhoun County",19025,1.5,64,"2010 of 3141"
