------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=19&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '19', 'areatype': 'county', 'topic': 'ed', 'demo': '00006', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_003.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=19&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Iowa by County
Education: At least bachelors degree
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: At Least Bachelors Degree),Rank within US
"Iowa",19000,27.7,572425,"36 of 52"
"United States",00000,30.9,66887603,"N/A"
"Crawford County",19047,13.0,1451,"2656 of 3141"
"Audubon County",19009,13.7,568,"2549 of 3141"
"Wayne County",19185,13.8,604,"2532 of 3141"
"Van Buren County",19177,13.8,702,"2523 of 3141"
"Taylor County",19173,14.3,623,"2442 of 3141"
"Howard County",19089,14.6,930,"2378 of 3141"
"Louisa County",19115,14.9,1148,"2320 of 3141"
"Worth County",19195,15.2,799,"2263 of 3141"
"Chickasaw County",19037,15.5,1298,"2204 of 3141"
"Adair County",19001,15.7,809,"2190 of 3141"
"Lee County",19111,15.7,3834,"2189 of 3141"
"Clayton County",19043,15.7,1982,"2177 of 3141"
"Pocahontas County",19151,15.7,784,"2170 of 3141"
"Monroe County",19135,15.8,851,"2146 of 3141"
"Union County",19175,16.1,1368,"2096 of 3141"
"Montgomery County",19137,16.1,1148,"2094 of 3141"
"Franklin County",19069,16.1,1161,"2085 of 3141"
"Monona County",19133,16.2,1050,"2075 of 3141"
"Tama County",19171,16.5,1934,"2021 of 3141"
"Lucas County",19117,16.9,1007,"1953 of 3141"
"Butler County",19023,16.9,1764,"1952 of 3141"
"Delaware County",19055,16.9,2000,"1946 of 3141"
"Mitchell County",19131,17.1,1244,"1914 of 3141"
"Clarke County",19039,17.2,1093,"1905 of 3141"
"Jones County",19105,17.2,2509,"1895 of 3141"
"Adams County",19003,17.3,475,"1877 of 3141"
"Allamakee County",19005,17.5,1712,"1835 of 3141"
"Wright County",19197,17.5,1571,"1834 of 3141"
"Osceola County",19143,17.7,758,"1807 of 3141"
"Davis County",19051,17.8,992,"1797 of 3141"
"Harrison County",19085,17.8,1764,"1794 of 3141"
"Jasper County",19099,18.1,4688,"1734 of 3141"
"Keokuk County",19107,18.1,1301,"1730 of 3141"
"Appanoose County",19007,18.2,1628,"1723 of 3141"
"Wapello County",19179,18.4,4430,"1690 of 3141"
"Jackson County",19097,18.6,2532,"1657 of 3141"
"Buchanan County",19019,19.0,2656,"1578 of 3141"
"Calhoun County",19025,19.0,1329,"1570 of 3141"
"Clinton County",19045,19.2,6311,"1536 of 3141"
"Cherokee County",19035,19.5,1619,"1494 of 3141"
"Marshall County",19127,19.6,5233,"1477 of 3141"
"Cass County",19029,19.6,1847,"1463 of 3141"
"Kossuth County",19109,19.7,2107,"1452 of 3141"
"Ida County",19093,19.7,961,"1449 of 3141"
"Sac County",19161,19.8,1390,"1444 of 3141"
"Des Moines County",19057,19.8,5485,"1431 of 3141"
"Fayette County",19065,19.8,2754,"1426 of 3141"
"O'Brien County",19141,19.8,1920,"1424 of 3141"
"Henry County",19087,19.9,2707,"1414 of 3141"
"Ringgold County",19159,20.1,702,"1395 of 3141"
"Buena Vista County",19021,20.1,2571,"1386 of 3141"
"Humboldt County",19091,20.2,1349,"1374 of 3141"
"Iowa County",19095,20.2,2265,"1373 of 3141"
