------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=19&areatype=county&topic=mob&demo=00017&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '19', 'areatype': 'county', 'topic': 'mob', 'demo': '00017', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_008.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=19&areatype=county&topic=mob&demo=00017&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Iowa by County
Mobility: Haven't moved (in past year)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Haven't Moved),Rank within US
"Iowa",19000,84.7,2606996,"28 of 51"
"United States",00000,85.4,270854872,"N/A"
"Story County",19169,67.2,63827,"3133 of 3140"
"Johnson County",19103,75.1,107057,"3084 of 3140"
"Poweshiek County",19157,79.5,14524,"2966 of 3140"
"Decatur County",19053,80.9,6515,"2864 of 3140"
"Polk County",19153,81.0,372626,"2858 of 3140"
"Black Hawk County",19013,81.5,106852,"2808 of 3140"
"Emmet County",19063,81.5,7811,"2806 of 3140"
"Calhoun County",19025,81.8,7929,"2786 of 3140"
"Des Moines County",19057,82.7,32586,"2664 of 3140"
"Page County",19145,82.7,12548,"2656 of 3140"
"Clay County",19041,83.0,13394,"2625 of 3140"
"Webster County",19187,83.5,30520,"2544 of 3140"
"Buena Vista County",19021,83.6,16799,"2524 of 3140"
"Marion County",19125,83.6,27392,"2522 of 3140"
"Jasper County",19099,83.8,30531,"2465 of 3140"
"Jefferson County",19101,84.1,14938,"2425 of 3140"
"Union County",19175,84.4,10360,"2369 of 3140"
"Dubuque County",19061,84.7,80770,"2294 of 3140"
"Dallas County",19049,84.7,67498,"2281 of 3140"
"Osceola County",19143,84.8,5139,"2275 of 3140"
"Mahaska County",19123,84.9,18811,"2240 of 3140"
"Greene County",19073,84.9,7608,"2232 of 3140"
"Taylor County",19173,85.3,5252,"2148 of 3140"
"Wapello County",19179,85.4,29720,"2122 of 3140"
"Warren County",19181,85.5,41143,"2078 of 3140"
"Linn County",19113,85.8,186475,"2020 of 3140"
"Woodbury County",19193,85.8,86636,"2018 of 3140"
"Pottawattamie County",19155,85.8,79073,"2007 of 3140"
"Boone County",19015,85.9,22435,"1992 of 3140"
"Henry County",19087,85.9,16845,"1987 of 3140"
"Marshall County",19127,86.1,34369,"1923 of 3140"
"Montgomery County",19137,86.2,8737,"1895 of 3140"
"Cass County",19029,86.2,11356,"1877 of 3140"
"Winneshiek County",19191,86.4,17645,"1828 of 3140"
"O'Brien County",19141,86.5,11851,"1809 of 3140"
"Winnebago County",19189,86.5,8985,"1801 of 3140"
"Monroe County",19135,86.5,6770,"1792 of 3140"
"Clarke County",19039,86.6,7914,"1753 of 3140"
"Humboldt County",19091,86.7,8215,"1712 of 3140"
"Crawford County",19047,86.7,14601,"1699 of 3140"
"Adair County",19001,87.0,6231,"1609 of 3140"
"Palo Alto County",19147,87.1,7846,"1581 of 3140"
"Dickinson County",19059,87.2,14681,"1533 of 3140"
"Fayette County",19065,87.4,17311,"1471 of 3140"
"Bremer County",19017,87.4,21440,"1466 of 3140"
"Clinton County",19045,87.5,41234,"1442 of 3140"
"Ida County",19093,87.7,6023,"1393 of 3140"
"Cerro Gordo County",19033,87.7,37406,"1386 of 3140"
"Washington County",19183,87.7,19041,"1374 of 3140"
"Jones County",19105,87.8,17811,"1362 of 3140"
"Hardin County",19083,87.8,14953,"1343 of 3140"
"Buchanan County",19019,87.9,18308,"1312 of 3140"
"Sioux County",19167,87.9,30088,"1297 of 3140"
"Fremont County",19071,88.0,6075,"1287 of 3140"
"Floyd County",19067,88.0,13867,"1251 of 3140"
"Monona County",19133,88.0,7747,"1248 of 3140"
"Appanoose County",19007,88.1,10956,"1209 of 3140"
"Lee County",19111,88.2,30266,"1194 of 3140"
"Scott County",19163,88.3,149281,"1168 of 3140"
"Benton County",19011,88.4,22384,"1130 of 3140"
"Audubon County",19009,88.5,5012,"1093 of 3140"
"Howard County",19089,88.7,8149,"1042 of 3140"
"Wright County",19197,88.8,11261,"1003 of 3140"
"Cherokee County",19035,88.8,10185,"998 of 3140"
"Mills County",19129,88.9,13182,"976 of 3140"
"Sac County",19161,88.9,8731,"954 of 3140"
"Tama County",19171,88.9,15107,"951 of 3140"
"Guthrie County",19077,89.0,9431,"945 of 3140"
"Harrison County",19085,89.0,12533,"911 of 3140"
"Lucas County",19117,89.0,7573,"909 of 3140"
"Kossuth County",19109,89.2,13332,"871 of 3140"
"Iowa County",19095,89.2,14378,"863 of 3140"
"Wayne County",19185,89.3,5650,"828 of 3140"
"Ringgold County",19159,89.5,4396,"773 of 3140"
"Carroll County",19027,89.5,18139,"757 of 3140"
"Madison County",19121,89.8,13979,"701 of 3140"
"Plymouth County",19149,89.9,22250,"667 of 3140"
"Louisa County",19115,89.9,9972,"655 of 3140"
"Pocahontas County",19151,90.1,6225,"615 of 3140"
"Franklin County",19069,90.2,9245,"592 of 3140"
"Hamilton County",19079,90.2,13574,"573 of 3140"
"Hancock County",19081,90.2,9818,"569 of 3140"
"Allamakee County",19005,90.3,12442,"565 of 3140"
"Clayton County",19043,90.4,15886,"525 of 3140"
"Keokuk County",19107,90.6,9200,"498 of 3140"
"Jackson County",19097,90.7,17364,"478 of 3140"
"Worth County",19195,90.7,6728,"472 of 3140"
"Shelby County",19165,90.8,10581,"441 of 3140"
"Davis County",19051,91.4,7893,"344 of 3140"
