------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=19&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '19', 'areatype': 'county', 'topic': 'work', 'demo': '00012', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_031.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=19&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Iowa by County
Workforce: Unemployed
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Unemployed),Rank within US
"Iowa",19000,4.1,69018,"4 of 52"
"United States",00000,6.6,10560305,"N/A"
"Palo Alto County",19147,1.3,63,"58 of 3141"
"Hancock County",19081,1.7,95,"94 of 3141"
"Osceola County",19143,1.7,54,"96 of 3141"
"Harrison County",19085,1.7,128,"105 of 3141"
"Winneshiek County",19191,2.0,240,"141 of 3141"
"Kossuth County",19109,2.1,162,"156 of 3141"
"Iowa County",19095,2.1,184,"158 of 3141"
"Sioux County",19167,2.2,413,"164 of 3141"
"O'Brien County",19141,2.3,175,"177 of 3141"
"Hamilton County",19079,2.3,185,"183 of 3141"
"Calhoun County",19025,2.3,105,"184 of 3141"
"Lyon County",19119,2.4,145,"190 of 3141"
"Dallas County",19049,2.4,1072,"191 of 3141"
"Hardin County",19083,2.5,217,"207 of 3141"
"Cass County",19029,2.5,167,"210 of 3141"
"Carroll County",19027,2.5,275,"219 of 3141"
"Delaware County",19055,2.5,244,"221 of 3141"
"Chickasaw County",19037,2.5,164,"223 of 3141"
"Wayne County",19185,2.6,75,"233 of 3141"
"Audubon County",19009,2.7,80,"251 of 3141"
"Floyd County",19067,2.7,230,"257 of 3141"
"Taylor County",19173,2.8,88,"278 of 3141"
"Grundy County",19075,2.9,185,"282 of 3141"
"Plymouth County",19149,2.9,389,"289 of 3141"
"Howard County",19089,2.9,140,"294 of 3141"
"Dickinson County",19059,3.0,280,"307 of 3141"
"Adair County",19001,3.0,114,"320 of 3141"
"Cedar County",19031,3.0,306,"322 of 3141"
"Clayton County",19043,3.0,282,"327 of 3141"
"Fremont County",19071,3.1,109,"349 of 3141"
