------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=19&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '19', 'areatype': 'county', 'topic': 'pop', 'demo': '00025', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_025.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=19&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Iowa by County
Population: White
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (White),Rank within US
"United States",00000,73.0,234370202,"N/A"
"Iowa",19000,90.6,2824197,"7 of 52"
"Buena Vista County",19021,78.1,15899,"2305 of 3141"
"Johnson County",19103,83.0,119818,"2072 of 3141"
"Jefferson County",19101,83.2,14939,"2051 of 3141"
"Marshall County",19127,84.2,34069,"2012 of 3141"
"Polk County",19153,84.6,395365,"1992 of 3141"
"Black Hawk County",19013,84.7,112631,"1986 of 3141"
"Scott County",19163,85.9,147392,"1920 of 3141"
"Woodbury County",19193,86.3,88402,"1889 of 3141"
"Story County",19169,87.1,83487,"1834 of 3141"
"Wapello County",19179,88.1,31131,"1742 of 3141"
"Tama County",19171,88.2,15198,"1734 of 3141"
"Crawford County",19047,88.5,15166,"1690 of 3141"
"Linn County",19113,88.8,195466,"1660 of 3141"
"Des Moines County",19057,90.5,36099,"1510 of 3141"
"Muscatine County",19139,91.0,39055,"1452 of 3141"
"Dallas County",19049,91.3,73860,"1410 of 3141"
"Louisa County",19115,91.6,10289,"1385 of 3141"
"Webster County",19187,91.9,33959,"1335 of 3141"
"Henry County",19087,92.0,18275,"1320 of 3141"
"Franklin County",19069,92.4,9546,"1264 of 3141"
"Dubuque County",19061,93.2,90019,"1151 of 3141"
"Sioux County",19167,93.3,32377,"1126 of 3141"
"Pottawattamie County",19155,93.4,87106,"1118 of 3141"
"Wright County",19197,93.5,12032,"1097 of 3141"
"Lee County",19111,93.6,32551,"1086 of 3141"
"Clinton County",19045,93.7,44594,"1060 of 3141"
"Hamilton County",19079,93.8,14262,"1042 of 3141"
"Page County",19145,93.9,14454,"1032 of 3141"
"Clarke County",19039,94.2,8734,"977 of 3141"
"Poweshiek County",19157,94.3,17381,"964 of 3141"
"Cerro Gordo County",19033,94.5,40743,"937 of 3141"
"Floyd County",19067,94.5,15036,"914 of 3141"
"O'Brien County",19141,94.6,13191,"903 of 3141"
"Osceola County",19143,94.6,5819,"895 of 3141"
"Winnebago County",19189,95.3,10046,"779 of 3141"
"Montgomery County",19137,95.3,9756,"777 of 3141"
