------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=19&areatype=county&topic=pop&demo=00002&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '19', 'areatype': 'county', 'topic': 'pop', 'demo': '00002', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_013.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=19&areatype=county&topic=pop&demo=00002&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Iowa by County
Population: Age under 18
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age Under 18),Rank within US
"United States",00000,22.9,73601279,"N/A"
"Iowa",19000,23.4,728704,"19 of 52"
"Story County",19169,16.9,16194,"2994 of 3141"
"Winneshiek County",19191,18.7,3855,"2787 of 3141"
"Dickinson County",19059,19.2,3258,"2709 of 3141"
"Jefferson County",19101,19.3,3463,"2676 of 3141"
"Poweshiek County",19157,19.7,3632,"2564 of 3141"
"Monona County",19133,20.0,1777,"2476 of 3141"
"Audubon County",19009,20.2,1155,"2424 of 3141"
"Johnson County",19103,20.2,29238,"2416 of 3141"
"Page County",19145,20.3,3118,"2410 of 3141"
"Cerro Gordo County",19033,20.7,8932,"2272 of 3141"
"Adams County",19003,20.8,787,"2234 of 3141"
"Calhoun County",19025,20.9,2055,"2186 of 3141"
"Fayette County",19065,21.2,4276,"2076 of 3141"
"Decatur County",19053,21.3,1726,"2045 of 3141"
"Cherokee County",19035,21.3,2467,"2038 of 3141"
"Winnebago County",19189,21.4,2252,"2022 of 3141"
"Adair County",19001,21.5,1549,"1966 of 3141"
"Webster County",19187,21.5,7961,"1961 of 3141"
"Emmet County",19063,21.6,2087,"1947 of 3141"
"Lee County",19111,21.6,7524,"1940 of 3141"
"Black Hawk County",19013,21.6,28764,"1938 of 3141"
"Jones County",19105,21.7,4447,"1902 of 3141"
"Hardin County",19083,21.8,3758,"1860 of 3141"
"Clayton County",19043,21.8,3867,"1848 of 3141"
"Kossuth County",19109,21.9,3320,"1824 of 3141"
"Worth County",19195,21.9,1643,"1818 of 3141"
"Appanoose County",19007,21.9,2752,"1803 of 3141"
"Pocahontas County",19151,22.0,1533,"1779 of 3141"
"Bremer County",19017,22.1,5460,"1742 of 3141"
"Fremont County",19071,22.2,1548,"1697 of 3141"
"Sac County",19161,22.2,2207,"1672 of 3141"
"Jackson County",19097,22.3,4323,"1641 of 3141"
"Greene County",19073,22.3,2015,"1639 of 3141"
"Henry County",19087,22.3,4425,"1638 of 3141"
"Cass County",19029,22.3,2969,"1635 of 3141"
"Jasper County",19099,22.3,8202,"1624 of 3141"
"Palo Alto County",19147,22.4,2041,"1575 of 3141"
"Guthrie County",19077,22.4,2394,"1559 of 3141"
"Hancock County",19081,22.5,2464,"1557 of 3141"
"Keokuk County",19107,22.5,2304,"1527 of 3141"
"Shelby County",19165,22.6,2656,"1521 of 3141"
"Wapello County",19179,22.6,7970,"1520 of 3141"
"Floyd County",19067,22.6,3591,"1515 of 3141"
"Cedar County",19031,22.7,4176,"1444 of 3141"
"Boone County",19015,22.7,6000,"1437 of 3141"
"Allamakee County",19005,22.8,3174,"1429 of 3141"
"Harrison County",19085,22.8,3236,"1415 of 3141"
"Des Moines County",19057,22.8,9108,"1389 of 3141"
"Hamilton County",19079,22.9,3476,"1381 of 3141"
"Union County",19175,22.9,2860,"1371 of 3141"
"Clay County",19041,22.9,3753,"1365 of 3141"
"Clinton County",19045,22.9,10915,"1350 of 3141"
"Montgomery County",19137,22.9,2349,"1348 of 3141"
"Butler County",19023,23.0,3411,"1309 of 3141"
"Franklin County",19069,23.0,2379,"1295 of 3141"
"Lucas County",19117,23.0,1982,"1292 of 3141"
"Dubuque County",19061,23.1,22336,"1259 of 3141"
"Louisa County",19115,23.2,2608,"1223 of 3141"
"Wright County",19197,23.2,2990,"1214 of 3141"
"Taylor County",19173,23.3,1447,"1184 of 3141"
"O'Brien County",19141,23.3,3254,"1164 of 3141"
"Ida County",19093,23.4,1628,"1154 of 3141"
"Humboldt County",19091,23.4,2242,"1150 of 3141"
"Iowa County",19095,23.5,3812,"1108 of 3141"
"Osceola County",19143,23.5,1446,"1096 of 3141"
"Chickasaw County",19037,23.5,2857,"1088 of 3141"
"Ringgold County",19159,23.6,1175,"1070 of 3141"
"Grundy County",19075,23.6,2915,"1058 of 3141"
"Linn County",19113,23.7,52151,"1012 of 3141"
"Pottawattamie County",19155,23.7,22122,"1007 of 3141"
"Mills County",19129,23.8,3554,"970 of 3141"
"Marion County",19125,24.0,7941,"890 of 3141"
"Delaware County",19055,24.0,4160,"873 of 3141"
"Mahaska County",19123,24.0,5356,"872 of 3141"
"Scott County",19163,24.0,41211,"864 of 3141"
"Benton County",19011,24.0,6166,"861 of 3141"
"Van Buren County",19177,24.1,1759,"853 of 3141"
"Clarke County",19039,24.1,2231,"850 of 3141"
"Mitchell County",19131,24.1,2574,"815 of 3141"
"Tama County",19171,24.2,4172,"781 of 3141"
"Monroe County",19135,24.4,1928,"732 of 3141"
"Carroll County",19027,24.6,5020,"671 of 3141"
"Wayne County",19185,24.6,1574,"670 of 3141"
"Howard County",19089,24.9,2317,"582 of 3141"
"Washington County",19183,24.9,5502,"568 of 3141"
"Warren County",19181,25.0,12181,"529 of 3141"
"Crawford County",19047,25.1,4298,"523 of 3141"
"Marshall County",19127,25.1,10171,"512 of 3141"
"Polk County",19153,25.2,117560,"505 of 3141"
"Plymouth County",19149,25.2,6307,"495 of 3141"
"Muscatine County",19139,25.3,10852,"480 of 3141"
"Buena Vista County",19021,25.6,5212,"425 of 3141"
"Madison County",19121,25.9,4074,"375 of 3141"
"Woodbury County",19193,26.2,26878,"337 of 3141"
