------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=19&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '19', 'areatype': 'county', 'topic': 'ed', 'demo': '00004', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_001.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=19&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Iowa by County
Education: Less than 9th grade
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: Less Than 9th Grade),Rank within US
"Iowa",19000,3.2,66190,"12 of 52"
"United States",00000,5.4,11759554,"N/A"
"Story County",19169,0.9,439,"34 of 3141"
"Greene County",19073,0.9,60,"36 of 3141"
"Warren County",19181,1.1,351,"56 of 3141"
"Jefferson County",19101,1.2,147,"65 of 3141"
"Dickinson County",19059,1.2,154,"72 of 3141"
"Palo Alto County",19147,1.3,79,"83 of 3141"
"Ringgold County",19159,1.5,52,"129 of 3141"
"Lucas County",19117,1.5,89,"135 of 3141"
"Linn County",19113,1.6,2381,"175 of 3141"
"Benton County",19011,1.7,298,"207 of 3141"
"Bremer County",19017,1.7,278,"212 of 3141"
"Boone County",19015,1.8,321,"224 of 3141"
"Kossuth County",19109,1.8,189,"229 of 3141"
"Adair County",19001,1.9,96,"263 of 3141"
"Lee County",19111,1.9,469,"285 of 3141"
"Clay County",19041,1.9,222,"292 of 3141"
"Mills County",19129,2.0,202,"305 of 3141"
"Harrison County",19085,2.0,195,"306 of 3141"
"Adams County",19003,2.0,54,"310 of 3141"
"Keokuk County",19107,2.0,142,"315 of 3141"
"Cerro Gordo County",19033,2.0,621,"330 of 3141"
"Grundy County",19075,2.0,174,"333 of 3141"
"Cedar County",19031,2.1,270,"369 of 3141"
"Des Moines County",19057,2.1,578,"371 of 3141"
"Ida County",19093,2.1,102,"376 of 3141"
"Sac County",19161,2.1,149,"385 of 3141"
"Cherokee County",19035,2.1,177,"388 of 3141"
"Madison County",19121,2.2,232,"425 of 3141"
"Dallas County",19049,2.2,1164,"439 of 3141"
"Henry County",19087,2.2,302,"441 of 3141"
"Fremont County",19071,2.3,113,"466 of 3141"
"Jasper County",19099,2.3,595,"476 of 3141"
"Winnebago County",19189,2.4,172,"499 of 3141"
"Page County",19145,2.4,263,"504 of 3141"
"Scott County",19163,2.4,2765,"515 of 3141"
"Poweshiek County",19157,2.4,293,"540 of 3141"
"Webster County",19187,2.4,605,"543 of 3141"
"Dubuque County",19061,2.5,1609,"578 of 3141"
"Pocahontas County",19151,2.5,126,"588 of 3141"
"Johnson County",19103,2.6,2211,"641 of 3141"
