------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=19&areatype=county&topic=inc&demo=00011&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '19', 'areatype': 'county', 'topic': 'inc', 'demo': '00011', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_005.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=19&areatype=county&topic=inc&demo=00011&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Iowa by County
Income: Median household income
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Dollars),Rank within US
"Iowa",19000,56570.000000000,"26 of 52"
"United States",00000,57652.000000000,"N/A"
"Appanoose County",19007,40377.000000000,"2442 of 3141"
"Decatur County",19053,41042.000000000,"2371 of 3141"
"Monona County",19133,41598.000000000,"2292 of 3141"
"Webster County",19187,42148.000000000,"2230 of 3141"
"Wayne County",19185,42434.000000000,"2201 of 3141"
"Wapello County",19179,43329.000000000,"2107 of 3141"
"Montgomery County",19137,43674.000000000,"2069 of 3141"
"Jefferson County",19101,44516.000000000,"1986 of 3141"
"Cass County",19029,45637.000000000,"1855 of 3141"
"Pocahontas County",19151,45969.000000000,"1819 of 3141"
"Calhoun County",19025,46302.000000000,"1773 of 3141"
"Page County",19145,46708.000000000,"1712 of 3141"
"Taylor County",19173,46825.000000000,"1701 of 3141"
"Van Buren County",19177,47197.000000000,"1661 of 3141"
"Lucas County",19117,47325.000000000,"1648 of 3141"
"Emmet County",19063,47419.000000000,"1636 of 3141"
"Des Moines County",19057,47524.000000000,"1622 of 3141"
"Union County",19175,47597.000000000,"1612 of 3141"
"Allamakee County",19005,47895.000000000,"1588 of 3141"
"Franklin County",19069,48172.000000000,"1559 of 3141"
"Lee County",19111,48266.000000000,"1548 of 3141"
"Keokuk County",19107,48399.000000000,"1527 of 3141"
"Fayette County",19065,48412.000000000,"1521 of 3141"
"Floyd County",19067,48607.000000000,"1502 of 3141"
"Audubon County",19009,48750.000000000,"1486 of 3141"
"Humboldt County",19091,48847.000000000,"1479 of 3141"
"Wright County",19197,48935.000000000,"1472 of 3141"
"Clay County",19041,48978.000000000,"1470 of 3141"
"Adair County",19001,49477.000000000,"1422 of 3141"
"Clarke County",19039,49718.000000000,"1391 of 3141"
"Adams County",19003,49745.000000000,"1385 of 3141"
"Winnebago County",19189,50072.000000000,"1350 of 3141"
"Monroe County",19135,50179.000000000,"1337 of 3141"
"Clinton County",19045,50295.000000000,"1320 of 3141"
"Palo Alto County",19147,50470.000000000,"1304 of 3141"
"Mahaska County",19123,50568.000000000,"1291 of 3141"
"Cerro Gordo County",19033,50569.000000000,"1290 of 3141"
"Ringgold County",19159,50642.000000000,"1283 of 3141"
"Chickasaw County",19037,50688.000000000,"1275 of 3141"
"Worth County",19195,50880.000000000,"1248 of 3141"
"Black Hawk County",19013,50916.000000000,"1242 of 3141"
"Crawford County",19047,51091.000000000,"1222 of 3141"
"Clayton County",19043,51114.000000000,"1217 of 3141"
"Woodbury County",19193,51350.000000000,"1195 of 3141"
"Howard County",19089,51422.000000000,"1187 of 3141"
"Poweshiek County",19157,51456.000000000,"1181 of 3141"
"Jackson County",19097,51806.000000000,"1138 of 3141"
"Ida County",19093,51978.000000000,"1124 of 3141"
"Hardin County",19083,52207.000000000,"1095 of 3141"
"Henry County",19087,52275.000000000,"1086 of 3141"
"Davis County",19051,52390.000000000,"1074 of 3141"
"Greene County",19073,52529.000000000,"1057 of 3141"
"Story County",19169,52671.000000000,"1044 of 3141"
"Marshall County",19127,52752.000000000,"1038 of 3141"
"Buena Vista County",19021,52784.000000000,"1033 of 3141"
"Sac County",19161,53254.000000000,"996 of 3141"
"Osceola County",19143,53604.000000000,"972 of 3141"
"Mitchell County",19131,53675.000000000,"962 of 3141"
"Butler County",19023,53937.000000000,"927 of 3141"
"Cherokee County",19035,53998.000000000,"921 of 3141"
"Louisa County",19115,54393.000000000,"889 of 3141"
"Fremont County",19071,54430.000000000,"888 of 3141"
"Carroll County",19027,54563.000000000,"877 of 3141"
"Kossuth County",19109,54868.000000000,"851 of 3141"
"Shelby County",19165,55638.000000000,"796 of 3141"
"Hamilton County",19079,55836.000000000,"781 of 3141"
"Tama County",19171,56110.000000000,"765 of 3141"
"Pottawattamie County",19155,56291.000000000,"746 of 3141"
"Guthrie County",19077,56306.000000000,"744 of 3141"
"O'Brien County",19141,56314.000000000,"743 of 3141"
"Jasper County",19099,56363.000000000,"738 of 3141"
"Muscatine County",19139,56398.000000000,"735 of 3141"
"Harrison County",19085,57558.000000000,"657 of 3141"
"Scott County",19163,57681.000000000,"646 of 3141"
"Hancock County",19081,57840.000000000,"640 of 3141"
"Boone County",19015,57906.000000000,"636 of 3141"
"Marion County",19125,57917.000000000,"635 of 3141"
"Iowa County",19095,58077.000000000,"624 of 3141"
"Jones County",19105,58391.000000000,"606 of 3141"
"Dubuque County",19061,59150.000000000,"569 of 3141"
"Washington County",19183,59157.000000000,"567 of 3141"
"Buchanan County",19019,59348.000000000,"555 of 3141"
"Dickinson County",19059,59889.000000000,"527 of 3141"
"Johnson County",19103,59965.000000000,"524 of 3141"
"Madison County",19121,60077.000000000,"519 of 3141"
"Delaware County",19055,60534.000000000,"496 of 3141"
"Winneshiek County",19191,60788.000000000,"480 of 3141"
"Plymouth County",19149,61316.000000000,"454 of 3141"
"Lyon County",19119,62012.000000000,"422 of 3141"
"Cedar County",19031,62555.000000000,"396 of 3141"
"Linn County",19113,62702.000000000,"387 of 3141"
"Polk County",19153,63530.000000000,"358 of 3141"
"Benton County",19011,64061.000000000,"344 of 3141"
"Grundy County",19075,65170.000000000,"318 of 3141"
"Bremer County",19017,65440.000000000,"307 of 3141"
"Sioux County",19167,66022.000000000,"291 of 3141"
"Mills County",19129,67949.000000000,"249 of 3141"
"Warren County",19181,71514.000000000,"200 of 3141"
"Dallas County",19049,82719.000000000,"82 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:14 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Income: Median household income, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#income."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
"Median Incomes over 250,000 have been coded to 250,001 by the Census Bureau. [ http://www2.census.gov/acs2012_5yr/summaryfile/ACS_2008-2012_SF_Tech_Doc.pdf ]"
Data for United States does not include Puerto Rico.
