------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=19&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '19', 'areatype': 'county', 'topic': 'pop', 'demo': '00105', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_026.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=19&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Iowa by County
Population: Sex - Female
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Female),Rank within US
"Iowa",19000,50.4,1570067,"19 of 52"
"United States",00000,50.8,162985654,"N/A"
"Jefferson County",19101,47.0,8434,"244 of 3141"
"Story County",19169,47.9,45903,"341 of 3141"
"Page County",19145,48.1,7397,"375 of 3141"
"Crawford County",19047,48.2,8253,"401 of 3141"
"Calhoun County",19025,48.2,4734,"408 of 3141"
"Jones County",19105,48.6,9940,"472 of 3141"
"Webster County",19187,48.6,17961,"483 of 3141"
"Lyon County",19119,48.8,5734,"546 of 3141"
"Louisa County",19115,48.9,5495,"566 of 3141"
"Jasper County",19099,48.9,17992,"572 of 3141"
"Van Buren County",19177,49.0,3580,"603 of 3141"
"Monroe County",19135,49.1,3883,"628 of 3141"
"Allamakee County",19005,49.1,6842,"631 of 3141"
"Henry County",19087,49.2,9766,"656 of 3141"
"Keokuk County",19107,49.2,5027,"658 of 3141"
"Taylor County",19173,49.3,3062,"697 of 3141"
"Franklin County",19069,49.3,5091,"710 of 3141"
"Mahaska County",19123,49.4,11008,"750 of 3141"
"Lucas County",19117,49.5,4257,"814 of 3141"
"Lee County",19111,49.5,17232,"835 of 3141"
"Fayette County",19065,49.5,9977,"837 of 3141"
"Marshall County",19127,49.6,20076,"871 of 3141"
"Osceola County",19143,49.6,3050,"872 of 3141"
"Clayton County",19043,49.7,8795,"917 of 3141"
"Buena Vista County",19021,49.7,10115,"918 of 3141"
"Boone County",19015,49.7,13101,"919 of 3141"
"Hancock County",19081,49.7,5452,"942 of 3141"
"Dickinson County",19059,49.7,8453,"966 of 3141"
"Decatur County",19053,49.7,4031,"971 of 3141"
"Howard County",19089,49.8,4644,"1047 of 3141"
"Sioux County",19167,49.8,17285,"1049 of 3141"
"Mills County",19129,49.9,7446,"1087 of 3141"
