------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=19&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '19', 'areatype': 'county', 'topic': 'pov', 'demo': '00007', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_028.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=19&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Iowa by County
Poverty: Families below poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Families (Below Poverty),Rank within US
"Iowa",19000,7.6,60823,"10 of 52"
"United States",00000,10.5,8253388,"N/A"
"Cedar County",19031,2.2,109,"24 of 3141"
"Dallas County",19049,3.4,744,"74 of 3141"
"Palo Alto County",19147,3.4,83,"77 of 3141"
"Madison County",19121,3.9,177,"113 of 3141"
"Bremer County",19017,4.0,261,"120 of 3141"
"Grundy County",19075,4.0,143,"130 of 3141"
"Lyon County",19119,4.3,143,"155 of 3141"
"Warren County",19181,4.3,574,"157 of 3141"
"Adair County",19001,4.4,92,"172 of 3141"
"Winneshiek County",19191,4.4,235,"174 of 3141"
"Mitchell County",19131,4.5,126,"180 of 3141"
"Story County",19169,4.5,858,"183 of 3141"
"Chickasaw County",19037,4.7,160,"211 of 3141"
"Sioux County",19167,4.8,436,"218 of 3141"
"Hardin County",19083,4.9,219,"227 of 3141"
"Dickinson County",19059,5.0,254,"243 of 3141"
"Jones County",19105,5.0,282,"248 of 3141"
"Boone County",19015,5.2,366,"273 of 3141"
"Adams County",19003,5.4,59,"314 of 3141"
"Clayton County",19043,5.6,274,"348 of 3141"
"Hamilton County",19079,5.7,240,"350 of 3141"
"Sac County",19161,5.7,166,"360 of 3141"
"Guthrie County",19077,5.8,171,"372 of 3141"
"Mills County",19129,5.9,233,"388 of 3141"
"Kossuth County",19109,5.9,260,"397 of 3141"
"Jasper County",19099,5.9,583,"403 of 3141"
"Butler County",19023,5.9,252,"404 of 3141"
"Shelby County",19165,6.1,195,"432 of 3141"
"Benton County",19011,6.1,433,"440 of 3141"
"Delaware County",19055,6.3,306,"471 of 3141"
"Buchanan County",19019,6.3,346,"477 of 3141"
"Plymouth County",19149,6.3,455,"488 of 3141"
"Johnson County",19103,6.4,2005,"498 of 3141"
"Linn County",19113,6.4,3622,"508 of 3141"
"Hancock County",19081,6.6,209,"535 of 3141"
