------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=19&areatype=county&topic=pop&demo=00022&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '19', 'areatype': 'county', 'topic': 'pop', 'demo': '00022', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_021.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=19&areatype=county&topic=pop&demo=00022&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Iowa by County
Population: Black
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Black),Rank within US
"Iowa",19000,3.4,106762,"39 of 52"
"United States",00000,12.7,40610815,"N/A"
"Montgomery County",19137,0.0,0,"3052 of 3141"
"Lyon County",19119,0.1,8,"2999 of 3141"
"Monroe County",19135,0.1,6,"2992 of 3141"
"Ida County",19093,0.1,6,"2979 of 3141"
"Lucas County",19117,0.1,9,"2960 of 3141"
"Clarke County",19039,0.1,10,"2957 of 3141"
"Monona County",19133,0.1,10,"2953 of 3141"
"Ringgold County",19159,0.1,6,"2946 of 3141"
"Greene County",19073,0.1,11,"2944 of 3141"
"Davis County",19051,0.1,11,"2938 of 3141"
"Mitchell County",19131,0.1,14,"2930 of 3141"
"Keokuk County",19107,0.1,14,"2923 of 3141"
"Humboldt County",19091,0.2,18,"2873 of 3141"
"Harrison County",19085,0.2,28,"2863 of 3141"
"Butler County",19023,0.2,36,"2815 of 3141"
"Delaware County",19055,0.3,48,"2791 of 3141"
"Cass County",19029,0.3,38,"2785 of 3141"
"Warren County",19181,0.3,145,"2763 of 3141"
"Madison County",19121,0.3,48,"2754 of 3141"
"Taylor County",19173,0.3,20,"2729 of 3141"
"Buchanan County",19019,0.3,70,"2709 of 3141"
"Adair County",19001,0.3,24,"2705 of 3141"
"Guthrie County",19077,0.3,36,"2703 of 3141"
"Sioux County",19167,0.4,127,"2687 of 3141"
"Boone County",19015,0.4,108,"2636 of 3141"
"Adams County",19003,0.4,16,"2626 of 3141"
"Plymouth County",19149,0.4,110,"2607 of 3141"
"Shelby County",19165,0.5,54,"2583 of 3141"
"Clay County",19041,0.5,77,"2564 of 3141"
"Wright County",19197,0.5,61,"2557 of 3141"
"Chickasaw County",19037,0.5,63,"2505 of 3141"
"Dickinson County",19059,0.5,91,"2486 of 3141"
"Jackson County",19097,0.6,108,"2461 of 3141"
"Van Buren County",19177,0.6,42,"2441 of 3141"
"Appanoose County",19007,0.6,74,"2421 of 3141"
"Audubon County",19009,0.6,34,"2414 of 3141"
"Marion County",19125,0.6,198,"2407 of 3141"
"Tama County",19171,0.6,105,"2395 of 3141"
"Hancock County",19081,0.6,69,"2371 of 3141"
"Wayne County",19185,0.7,43,"2318 of 3141"
"Benton County",19011,0.7,174,"2309 of 3141"
"Grundy County",19075,0.7,84,"2306 of 3141"
"Howard County",19089,0.7,66,"2274 of 3141"
"Fremont County",19071,0.7,50,"2266 of 3141"
"Cedar County",19031,0.7,133,"2254 of 3141"
"Mills County",19129,0.8,118,"2207 of 3141"
"Iowa County",19095,0.8,131,"2191 of 3141"
"Kossuth County",19109,0.8,124,"2182 of 3141"
"Sac County",19161,0.9,86,"2138 of 3141"
"O'Brien County",19141,0.9,129,"2095 of 3141"
"Bremer County",19017,0.9,234,"2080 of 3141"
"Allamakee County",19005,0.9,132,"2079 of 3141"
"Cherokee County",19035,1.0,110,"2074 of 3141"
"Washington County",19183,1.0,210,"2073 of 3141"
"Clayton County",19043,1.0,184,"2018 of 3141"
"Winneshiek County",19191,1.0,214,"2016 of 3141"
"Louisa County",19115,1.0,117,"2015 of 3141"
"Marshall County",19127,1.1,432,"2001 of 3141"
"Winnebago County",19189,1.1,115,"1992 of 3141"
"Worth County",19195,1.1,84,"1978 of 3141"
"Hamilton County",19079,1.1,174,"1969 of 3141"
"Union County",19175,1.2,149,"1944 of 3141"
"Osceola County",19143,1.3,79,"1906 of 3141"
"Dallas County",19049,1.3,1077,"1884 of 3141"
"Fayette County",19065,1.3,269,"1880 of 3141"
"Pottawattamie County",19155,1.5,1358,"1823 of 3141"
"Carroll County",19027,1.5,301,"1812 of 3141"
"Crawford County",19047,1.5,254,"1808 of 3141"
"Franklin County",19069,1.5,154,"1803 of 3141"
"Hardin County",19083,1.5,263,"1784 of 3141"
"Mahaska County",19123,1.5,343,"1778 of 3141"
"Jasper County",19099,1.6,590,"1752 of 3141"
"Decatur County",19053,1.7,135,"1730 of 3141"
"Cerro Gordo County",19033,1.7,730,"1720 of 3141"
"Emmet County",19063,1.7,164,"1717 of 3141"
"Calhoun County",19025,1.8,175,"1693 of 3141"
"Pocahontas County",19151,1.8,126,"1680 of 3141"
"Floyd County",19067,1.9,301,"1660 of 3141"
"Story County",19169,1.9,1835,"1655 of 3141"
"Palo Alto County",19147,2.0,183,"1627 of 3141"
"Page County",19145,2.0,315,"1617 of 3141"
"Muscatine County",19139,2.0,879,"1615 of 3141"
"Poweshiek County",19157,2.1,380,"1610 of 3141"
"Henry County",19087,2.1,415,"1602 of 3141"
"Lee County",19111,2.5,872,"1511 of 3141"
"Jones County",19105,2.5,520,"1497 of 3141"
"Clinton County",19045,2.6,1223,"1489 of 3141"
"Buena Vista County",19021,2.7,543,"1472 of 3141"
"Dubuque County",19061,2.9,2791,"1428 of 3141"
"Wapello County",19179,3.0,1061,"1411 of 3141"
"Woodbury County",19193,3.2,3311,"1371 of 3141"
"Webster County",19187,4.7,1727,"1176 of 3141"
"Linn County",19113,4.9,10863,"1146 of 3141"
"Jefferson County",19101,5.9,1052,"1053 of 3141"
"Des Moines County",19057,6.1,2414,"1032 of 3141"
"Johnson County",19103,6.4,9220,"1004 of 3141"
"Polk County",19153,6.5,30229,"999 of 3141"
"Scott County",19163,7.9,13553,"905 of 3141"
"Black Hawk County",19013,8.9,11811,"847 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:14 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Black, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
