------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=55&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '55', 'areatype': 'county', 'topic': 'pop', 'demo': '00105', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_026.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=55&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Wisconsin by County
Population: Sex - Female
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Female),Rank within US
"Wisconsin",55000,50.3,2899102,"16 of 52"
"United States",00000,50.8,162985654,"N/A"
"Adams County",55001,46.4,9341,"194 of 3141"
"Jackson County",55053,46.7,9579,"213 of 3141"
"Juneau County",55057,47.0,12419,"242 of 3141"
"Waushara County",55137,47.5,11491,"289 of 3141"
"Dodge County",55027,47.6,41801,"297 of 3141"
"Chippewa County",55017,48.0,30430,"357 of 3141"
"Grant County",55043,48.0,24827,"360 of 3141"
"Crawford County",55023,48.1,7844,"383 of 3141"
"Florence County",55037,48.1,2094,"386 of 3141"
"Burnett County",55013,48.8,7441,"549 of 3141"
"Taylor County",55119,48.9,9942,"556 of 3141"
"Oconto County",55083,48.9,18320,"568 of 3141"
"Columbia County",55021,48.9,27783,"577 of 3141"
"Bayfield County",55007,49.1,7362,"622 of 3141"
"Waupaca County",55135,49.1,25346,"625 of 3141"
"Buffalo County",55011,49.1,6503,"635 of 3141"
"Iron County",55051,49.1,2825,"651 of 3141"
"Price County",55099,49.2,6668,"653 of 3141"
"Pepin County",55091,49.2,3581,"660 of 3141"
"Marquette County",55077,49.2,7465,"675 of 3141"
"Sawyer County",55113,49.2,8069,"687 of 3141"
"Clark County",55019,49.3,17006,"696 of 3141"
"Kewaunee County",55061,49.3,10047,"711 of 3141"
"Lafayette County",55065,49.4,8270,"748 of 3141"
"Forest County",55041,49.4,4461,"759 of 3141"
"Langlade County",55067,49.4,9481,"778 of 3141"
"Monroe County",55081,49.5,22410,"804 of 3141"
"Trempealeau County",55121,49.5,14608,"815 of 3141"
"Richland County",55103,49.5,8729,"831 of 3141"
"Ashland County",55003,49.6,7825,"860 of 3141"
"Rusk County",55107,49.6,7051,"881 of 3141"
"Dunn County",55033,49.6,21964,"887 of 3141"
"Winnebago County",55139,49.6,84156,"899 of 3141"
"Iowa County",55049,49.7,11706,"915 of 3141"
"Polk County",55095,49.7,21519,"921 of 3141"
"Oneida County",55085,49.7,17562,"927 of 3141"
"Sheboygan County",55117,49.7,57219,"956 of 3141"
"Marathon County",55073,49.7,67292,"974 of 3141"
"Marinette County",55075,49.7,20253,"980 of 3141"
"Portage County",55097,49.8,35038,"1019 of 3141"
"Lincoln County",55069,49.8,13941,"1028 of 3141"
"Barron County",55005,49.8,22599,"1048 of 3141"
"Green Lake County",55047,49.8,9340,"1052 of 3141"
"Vernon County",55123,49.8,15138,"1057 of 3141"
"Shawano County",55115,49.8,20504,"1071 of 3141"
"Menominee County",55078,49.9,2248,"1105 of 3141"
"Vilas County",55125,50.0,10731,"1188 of 3141"
"Jefferson County",55055,50.0,42304,"1209 of 3141"
"Douglas County",55031,50.0,21769,"1234 of 3141"
"Calumet County",55015,50.1,24925,"1300 of 3141"
"St. Croix County",55109,50.1,43674,"1306 of 3141"
"Outagamie County",55087,50.1,91870,"1312 of 3141"
"Walworth County",55127,50.1,51587,"1314 of 3141"
"Sauk County",55111,50.2,31785,"1361 of 3141"
"Pierce County",55093,50.3,20725,"1445 of 3141"
"Manitowoc County",55071,50.3,40068,"1451 of 3141"
"Washington County",55131,50.3,67409,"1494 of 3141"
"Dane County",55025,50.3,263151,"1507 of 3141"
"Brown County",55009,50.4,129984,"1554 of 3141"
"Door County",55029,50.4,13841,"1611 of 3141"
"Green County",55045,50.5,18604,"1632 of 3141"
"Kenosha County",55059,50.5,84853,"1731 of 3141"
"Racine County",55101,50.5,98621,"1738 of 3141"
"Wood County",55141,50.6,37162,"1816 of 3141"
"Washburn County",55129,50.7,7922,"1899 of 3141"
"Eau Claire County",55035,50.8,52017,"2059 of 3141"
"Rock County",55105,50.8,81933,"2074 of 3141"
"Waukesha County",55133,50.9,201852,"2136 of 3141"
"Ozaukee County",55089,50.9,44686,"2141 of 3141"
"Fond du Lac County",55039,51.1,52120,"2301 of 3141"
"La Crosse County",55063,51.2,60209,"2451 of 3141"
"Milwaukee County",55079,51.6,493802,"2725 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:03 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Sex - Female, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
