------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=55&areatype=county&topic=pop&demo=00022&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '55', 'areatype': 'county', 'topic': 'pop', 'demo': '00022', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_021.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=55&areatype=county&topic=pop&demo=00022&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Wisconsin by County
Population: Black
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Black),Rank within US
"Wisconsin",55000,6.3,365884,"30 of 52"
"United States",00000,12.7,40610815,"N/A"
"Vilas County",55125,0.3,54,"2810 of 3141"
"Florence County",55037,0.3,12,"2792 of 3141"
"Shawano County",55115,0.3,119,"2777 of 3141"
"Polk County",55095,0.3,133,"2752 of 3141"
"Green County",55045,0.4,146,"2655 of 3141"
"Pepin County",55091,0.4,30,"2633 of 3141"
"Lafayette County",55065,0.4,70,"2631 of 3141"
"Oconto County",55083,0.4,160,"2620 of 3141"
"Ashland County",55003,0.4,69,"2610 of 3141"
"Vernon County",55123,0.4,135,"2596 of 3141"
"Kewaunee County",55061,0.5,93,"2587 of 3141"
"Taylor County",55119,0.5,94,"2579 of 3141"
"Waupaca County",55135,0.5,240,"2572 of 3141"
"Trempealeau County",55121,0.5,143,"2542 of 3141"
"Menominee County",55078,0.5,22,"2535 of 3141"
"Buffalo County",55011,0.5,65,"2532 of 3141"
"Washburn County",55129,0.5,82,"2501 of 3141"
"Burnett County",55013,0.5,80,"2500 of 3141"
"Lincoln County",55069,0.5,150,"2485 of 3141"
"Pierce County",55093,0.6,233,"2454 of 3141"
"Dunn County",55033,0.6,270,"2394 of 3141"
"Marquette County",55077,0.6,93,"2392 of 3141"
"Iron County",55051,0.6,36,"2377 of 3141"
"Clark County",55019,0.6,220,"2365 of 3141"
"Marinette County",55075,0.6,263,"2356 of 3141"
"Wood County",55141,0.7,484,"2339 of 3141"
"Sawyer County",55113,0.7,109,"2328 of 3141"
"Bayfield County",55007,0.7,100,"2326 of 3141"
"Green Lake County",55047,0.7,125,"2325 of 3141"
"Marathon County",55073,0.7,936,"2293 of 3141"
"Door County",55029,0.7,191,"2288 of 3141"
"Iowa County",55049,0.7,165,"2284 of 3141"
"Sauk County",55111,0.7,444,"2283 of 3141"
"Price County",55099,0.7,97,"2267 of 3141"
"Portage County",55097,0.7,504,"2265 of 3141"
"Manitowoc County",55071,0.7,571,"2264 of 3141"
"Oneida County",55085,0.8,296,"2164 of 3141"
"Eau Claire County",55035,0.8,869,"2153 of 3141"
"Calumet County",55015,0.9,423,"2151 of 3141"
"Jefferson County",55055,0.9,735,"2134 of 3141"
"St. Croix County",55109,0.9,758,"2132 of 3141"
"Forest County",55041,0.9,80,"2119 of 3141"
"Richland County",55103,0.9,158,"2115 of 3141"
"Langlade County",55067,1.0,184,"2064 of 3141"
"Rusk County",55107,1.0,148,"2014 of 3141"
"Washington County",55131,1.1,1514,"1973 of 3141"
"Walworth County",55127,1.1,1172,"1971 of 3141"
"Barron County",55005,1.2,540,"1945 of 3141"
"Fond du Lac County",55039,1.2,1247,"1928 of 3141"
"Douglas County",55031,1.2,533,"1926 of 3141"
"Outagamie County",55087,1.3,2294,"1915 of 3141"
"Grant County",55043,1.3,678,"1896 of 3141"
"Chippewa County",55017,1.3,839,"1890 of 3141"
"La Crosse County",55063,1.3,1578,"1875 of 3141"
"Columbia County",55021,1.4,770,"1865 of 3141"
"Ozaukee County",55089,1.4,1203,"1857 of 3141"
"Waukesha County",55133,1.5,6000,"1795 of 3141"
"Monroe County",55081,1.5,695,"1781 of 3141"
"Sheboygan County",55117,1.6,1880,"1744 of 3141"
"Waushara County",55137,1.7,404,"1725 of 3141"
"Crawford County",55023,1.8,292,"1691 of 3141"
"Winnebago County",55139,2.1,3602,"1599 of 3141"
"Jackson County",55053,2.2,460,"1571 of 3141"
"Brown County",55009,2.3,5873,"1560 of 3141"
"Juneau County",55057,2.3,620,"1550 of 3141"
"Dodge County",55027,2.4,2144,"1521 of 3141"
"Adams County",55001,2.7,549,"1462 of 3141"
"Rock County",55105,4.4,7120,"1201 of 3141"
"Dane County",55025,5.1,26715,"1126 of 3141"
"Kenosha County",55059,7.5,12611,"927 of 3141"
"Racine County",55101,11.0,21450,"756 of 3141"
"Milwaukee County",55079,26.4,252712,"382 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:02 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Black, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
