------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=55&areatype=county&topic=pop&demo=00024&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '55', 'areatype': 'county', 'topic': 'pop', 'demo': '00024', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_020.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=55&areatype=county&topic=pop&demo=00024&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Wisconsin by County
Population: Asian / Pacific Islander
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (API),Rank within US
"Wisconsin",55000,2.7,154136,"28 of 52"
"United States",00000,5.5,17756436,"N/A"
"Florence County",55037,0.0,0,"2927 of 3141"
"Buffalo County",55011,0.0,4,"2900 of 3141"
"Rusk County",55107,0.1,15,"2765 of 3141"
"Iron County",55051,0.2,9,"2674 of 3141"
"Taylor County",55119,0.2,33,"2662 of 3141"
"Langlade County",55067,0.3,55,"2418 of 3141"
"Lafayette County",55065,0.3,51,"2386 of 3141"
"Green Lake County",55047,0.3,61,"2334 of 3141"
"Burnett County",55013,0.3,51,"2314 of 3141"
"Pepin County",55091,0.3,25,"2288 of 3141"
"Clark County",55019,0.4,125,"2254 of 3141"
"Jackson County",55053,0.4,75,"2242 of 3141"
"Lincoln County",55069,0.4,104,"2221 of 3141"
"Kewaunee County",55061,0.4,77,"2209 of 3141"
"Waupaca County",55135,0.4,199,"2192 of 3141"
"Shawano County",55115,0.4,161,"2168 of 3141"
"Waushara County",55137,0.4,95,"2165 of 3141"
"Polk County",55095,0.4,173,"2152 of 3141"
"Ashland County",55003,0.4,67,"2085 of 3141"
"Marquette County",55077,0.4,66,"2054 of 3141"
"Menominee County",55078,0.4,20,"2031 of 3141"
"Oconto County",55083,0.4,168,"2017 of 3141"
"Washburn County",55129,0.5,71,"1999 of 3141"
"Forest County",55041,0.5,44,"1914 of 3141"
"Vernon County",55123,0.5,148,"1913 of 3141"
"Juneau County",55057,0.5,132,"1882 of 3141"
"Crawford County",55023,0.5,82,"1870 of 3141"
"Sawyer County",55113,0.5,87,"1808 of 3141"
"Door County",55029,0.5,147,"1792 of 3141"
"Oneida County",55085,0.5,190,"1791 of 3141"
"Richland County",55103,0.5,95,"1784 of 3141"
"Bayfield County",55007,0.5,81,"1780 of 3141"
"Dodge County",55027,0.6,489,"1748 of 3141"
"Adams County",55001,0.6,117,"1700 of 3141"
"Marinette County",55075,0.6,244,"1670 of 3141"
"Trempealeau County",55121,0.6,178,"1661 of 3141"
"Vilas County",55125,0.6,136,"1591 of 3141"
"Columbia County",55021,0.7,382,"1518 of 3141"
"Iowa County",55049,0.7,164,"1476 of 3141"
"Sauk County",55111,0.7,448,"1451 of 3141"
"Jefferson County",55055,0.7,605,"1433 of 3141"
"Barron County",55005,0.7,326,"1427 of 3141"
"Green County",55045,0.7,269,"1403 of 3141"
"Monroe County",55081,0.8,372,"1271 of 3141"
"Grant County",55043,0.8,425,"1269 of 3141"
"St. Croix County",55109,1.0,909,"1028 of 3141"
"Walworth County",55127,1.0,1078,"1023 of 3141"
"Douglas County",55031,1.1,458,"1018 of 3141"
"Washington County",55131,1.2,1587,"909 of 3141"
"Rock County",55105,1.2,1925,"899 of 3141"
"Pierce County",55093,1.2,511,"860 of 3141"
"Racine County",55101,1.2,2425,"856 of 3141"
"Chippewa County",55017,1.3,831,"811 of 3141"
"Kenosha County",55059,1.4,2301,"787 of 3141"
"Fond du Lac County",55039,1.4,1436,"763 of 3141"
"Price County",55099,1.4,196,"741 of 3141"
"Wood County",55141,2.0,1494,"524 of 3141"
"Ozaukee County",55089,2.1,1831,"512 of 3141"
"Calumet County",55015,2.3,1140,"464 of 3141"
"Winnebago County",55139,2.6,4477,"394 of 3141"
"Dunn County",55033,2.7,1176,"388 of 3141"
"Manitowoc County",55071,2.7,2124,"386 of 3141"
"Portage County",55097,2.7,1880,"383 of 3141"
"Brown County",55009,3.1,7990,"315 of 3141"
"Waukesha County",55133,3.3,13018,"294 of 3141"
"Outagamie County",55087,3.4,6200,"282 of 3141"
"Eau Claire County",55035,3.9,4007,"235 of 3141"
"Milwaukee County",55079,4.1,39344,"216 of 3141"
"La Crosse County",55063,4.4,5229,"190 of 3141"
"Sheboygan County",55117,5.4,6183,"144 of 3141"
"Dane County",55025,5.7,29786,"131 of 3141"
"Marathon County",55073,5.7,7734,"130 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:02 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Asian / Pacific Islander, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
