------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=55&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '55', 'areatype': 'county', 'topic': 'ed', 'demo': '00006', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_003.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=55&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Wisconsin by County
Education: At least bachelors degree
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: At Least Bachelors Degree),Rank within US
"Wisconsin",55000,29.0,1134481,"27 of 52"
"United States",00000,30.9,66887603,"N/A"
"Clark County",55019,11.4,2477,"2900 of 3141"
"Adams County",55001,12.5,2004,"2745 of 3141"
"Juneau County",55057,13.3,2562,"2613 of 3141"
"Marquette County",55077,13.6,1540,"2564 of 3141"
"Jackson County",55053,13.8,2005,"2521 of 3141"
"Taylor County",55119,14.4,2030,"2413 of 3141"
"Forest County",55041,14.6,936,"2389 of 3141"
"Rusk County",55107,14.8,1517,"2350 of 3141"
"Marinette County",55075,14.8,4426,"2348 of 3141"
"Waushara County",55137,15.2,2748,"2281 of 3141"
"Shawano County",55115,15.8,4629,"2155 of 3141"
"Menominee County",55078,15.9,407,"2130 of 3141"
"Florence County",55037,16.1,549,"2091 of 3141"
"Dodge County",55027,16.1,10152,"2086 of 3141"
"Langlade County",55067,16.6,2343,"2002 of 3141"
"Crawford County",55023,16.8,1955,"1969 of 3141"
"Oconto County",55083,16.8,4613,"1961 of 3141"
"Price County",55099,17.0,1767,"1939 of 3141"
"Lincoln County",55069,17.3,3560,"1885 of 3141"
"Lafayette County",55065,17.9,2034,"1773 of 3141"
"Buffalo County",55011,17.9,1710,"1770 of 3141"
"Kewaunee County",55061,18.2,2631,"1716 of 3141"
"Waupaca County",55135,18.5,6866,"1669 of 3141"
"Green Lake County",55047,18.5,2460,"1666 of 3141"
"Burnett County",55013,18.5,2157,"1663 of 3141"
"Richland County",55103,18.8,2311,"1616 of 3141"
"Pepin County",55091,19.1,992,"1553 of 3141"
"Iron County",55051,19.3,891,"1525 of 3141"
"Barron County",55005,19.5,6267,"1496 of 3141"
"Monroe County",55081,19.5,5935,"1492 of 3141"
"Trempealeau County",55121,19.7,3947,"1460 of 3141"
"Manitowoc County",55071,19.7,11188,"1459 of 3141"
"Polk County",55095,19.8,6128,"1422 of 3141"
"Chippewa County",55017,20.2,8986,"1363 of 3141"
"Wood County",55141,21.1,10973,"1218 of 3141"
"Rock County",55105,21.4,23310,"1188 of 3141"
"Grant County",55043,21.5,6827,"1169 of 3141"
"Vernon County",55123,21.6,4410,"1157 of 3141"
"Ashland County",55003,21.7,2317,"1145 of 3141"
"Washburn County",55129,22.0,2581,"1113 of 3141"
"Sawyer County",55113,22.0,2665,"1109 of 3141"
"Columbia County",55021,22.6,9039,"1036 of 3141"
"Fond du Lac County",55039,22.9,16222,"989 of 3141"
"Green County",55045,23.2,5976,"964 of 3141"
"Sauk County",55111,23.4,10321,"938 of 3141"
"Sheboygan County",55117,23.8,18936,"894 of 3141"
"Jefferson County",55055,23.9,13726,"892 of 3141"
"Douglas County",55031,23.9,7341,"888 of 3141"
"Racine County",55101,24.4,32388,"841 of 3141"
"Iowa County",55049,24.5,4030,"838 of 3141"
"Marathon County",55073,24.5,22775,"835 of 3141"
"Kenosha County",55059,25.1,27925,"796 of 3141"
"Vilas County",55125,27.1,4524,"641 of 3141"
"Winnebago County",55139,27.3,31051,"627 of 3141"
"Oneida County",55085,27.5,7438,"612 of 3141"
"Dunn County",55033,27.7,7436,"606 of 3141"
"Pierce County",55093,27.7,7170,"605 of 3141"
"Outagamie County",55087,28.3,34835,"572 of 3141"
"Walworth County",55127,28.5,19210,"560 of 3141"
"Calumet County",55015,28.6,9554,"558 of 3141"
"Brown County",55009,29.5,50587,"515 of 3141"
"Washington County",55131,29.7,27842,"504 of 3141"
"Milwaukee County",55079,30.1,189107,"476 of 3141"
"Eau Claire County",55035,30.3,19436,"466 of 3141"
"Bayfield County",55007,31.0,3550,"422 of 3141"
"Portage County",55097,31.5,14080,"399 of 3141"
"Door County",55029,32.7,7001,"346 of 3141"
"La Crosse County",55063,33.0,24600,"336 of 3141"
"St. Croix County",55109,34.0,19797,"299 of 3141"
"Waukesha County",55133,42.9,119204,"113 of 3141"
"Ozaukee County",55089,47.7,29000,"67 of 3141"
"Dane County",55025,50.0,170574,"48 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:02 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: At least bachelors degree, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
