------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=55&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '55', 'areatype': 'county', 'topic': 'pop', 'demo': '00025', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_025.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=55&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Wisconsin by County
Population: White
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (White),Rank within US
"United States",00000,73.0,234370202,"N/A"
"Wisconsin",55000,85.9,4950577,"13 of 52"
"Menominee County",55078,9.3,421,"3138 of 3141"
"Milwaukee County",55079,60.6,579582,"2809 of 3141"
"Sawyer County",55113,77.3,12658,"2338 of 3141"
"Racine County",55101,80.2,156503,"2209 of 3141"
"Forest County",55041,80.9,7313,"2170 of 3141"
"Dane County",55025,84.0,438930,"2024 of 3141"
"Ashland County",55003,84.3,13295,"2006 of 3141"
"Brown County",55009,85.2,219827,"1963 of 3141"
"Kenosha County",55059,85.8,144109,"1930 of 3141"
"Bayfield County",55007,86.2,12940,"1896 of 3141"
"Vilas County",55125,86.6,18593,"1863 of 3141"
"Jackson County",55053,88.2,18112,"1729 of 3141"
"Rock County",55105,88.9,143279,"1659 of 3141"
"Sheboygan County",55117,89.4,102914,"1610 of 3141"
"Shawano County",55115,89.5,36806,"1605 of 3141"
"Outagamie County",55087,89.9,164765,"1566 of 3141"
"La Crosse County",55063,91.2,107183,"1433 of 3141"
"Marathon County",55073,91.2,123418,"1427 of 3141"
"Burnett County",55013,91.5,13943,"1394 of 3141"
"Winnebago County",55139,92.4,156698,"1265 of 3141"
"Eau Claire County",55035,92.5,94715,"1258 of 3141"
"Waukesha County",55133,92.6,367228,"1250 of 3141"
"Trempealeau County",55121,92.6,27328,"1246 of 3141"
"Adams County",55001,93.0,18697,"1200 of 3141"
"Douglas County",55031,93.0,40475,"1186 of 3141"
"Fond du Lac County",55039,93.1,95044,"1171 of 3141"
"Waushara County",55137,93.3,22545,"1140 of 3141"
"Monroe County",55081,93.3,42287,"1125 of 3141"
"Portage County",55097,93.6,65850,"1087 of 3141"
"Walworth County",55127,93.6,96362,"1072 of 3141"
"Dodge County",55027,93.7,82283,"1063 of 3141"
"Juneau County",55057,94.0,24843,"1014 of 3141"
"Dunn County",55033,94.0,41618,"1007 of 3141"
"Ozaukee County",55089,94.2,82705,"989 of 3141"
"Sauk County",55111,94.3,59704,"975 of 3141"
"Jefferson County",55055,94.3,79739,"972 of 3141"
"Wood County",55141,94.5,69364,"934 of 3141"
"Manitowoc County",55071,94.5,75329,"916 of 3141"
"Calumet County",55015,94.8,47144,"866 of 3141"
"Chippewa County",55017,94.9,60211,"845 of 3141"
"Columbia County",55021,95.2,54055,"789 of 3141"
"Washington County",55131,95.5,127937,"733 of 3141"
"Crawford County",55023,95.5,15585,"723 of 3141"
"Barron County",55005,95.7,43402,"687 of 3141"
"Langlade County",55067,95.7,18373,"671 of 3141"
"Price County",55099,95.8,12990,"668 of 3141"
"Washburn County",55129,95.9,14995,"636 of 3141"
"Marquette County",55077,95.9,14544,"630 of 3141"
"Richland County",55103,96.0,16925,"599 of 3141"
"Green Lake County",55047,96.1,18019,"580 of 3141"
"St. Croix County",55109,96.2,83819,"557 of 3141"
"Oneida County",55085,96.2,34008,"553 of 3141"
"Pierce County",55093,96.2,39671,"546 of 3141"
"Rusk County",55107,96.4,13694,"510 of 3141"
"Polk County",55095,96.4,41758,"504 of 3141"
"Oconto County",55083,96.5,36135,"489 of 3141"
"Grant County",55043,96.5,49909,"488 of 3141"
"Clark County",55019,96.5,33301,"484 of 3141"
"Door County",55029,96.5,26488,"475 of 3141"
"Waupaca County",55135,96.6,49870,"463 of 3141"
"Iowa County",55049,96.6,22784,"432 of 3141"
"Green County",55045,96.7,35652,"413 of 3141"
"Iron County",55051,96.8,5562,"391 of 3141"
"Marinette County",55075,96.8,39428,"366 of 3141"
"Kewaunee County",55061,96.9,19744,"353 of 3141"
"Lafayette County",55065,97.0,16246,"336 of 3141"
"Lincoln County",55069,97.0,27150,"330 of 3141"
"Vernon County",55123,97.2,29527,"269 of 3141"
"Buffalo County",55011,97.4,12894,"228 of 3141"
"Taylor County",55119,97.8,19889,"141 of 3141"
"Pepin County",55091,98.0,7136,"92 of 3141"
"Florence County",55037,99.4,4327,"14 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:03 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: White, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
