------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=55&areatype=county&topic=pop&demo=00002&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '55', 'areatype': 'county', 'topic': 'pop', 'demo': '00002', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_013.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=55&areatype=county&topic=pop&demo=00002&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Wisconsin by County
Population: Age under 18
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age Under 18),Rank within US
"Wisconsin",55000,22.5,1293950,"32 of 52"
"United States",00000,22.9,73601279,"N/A"
"Iron County",55051,14.4,825,"3112 of 3141"
"Adams County",55001,14.9,3000,"3101 of 3141"
"Florence County",55037,16.3,708,"3046 of 3141"
"Door County",55029,16.3,4479,"3042 of 3141"
"Vilas County",55125,16.8,3596,"3008 of 3141"
"Oneida County",55085,17.1,6060,"2978 of 3141"
"Price County",55099,17.3,2344,"2968 of 3141"
"Bayfield County",55007,17.7,2655,"2929 of 3141"
"Burnett County",55013,18.1,2759,"2882 of 3141"
"Waushara County",55137,18.7,4530,"2784 of 3141"
"Washburn County",55129,19.3,3025,"2665 of 3141"
"Marinette County",55075,19.4,7908,"2640 of 3141"
"Lincoln County",55069,19.4,5444,"2636 of 3141"
"Langlade County",55067,19.5,3745,"2610 of 3141"
"Marquette County",55077,19.7,2980,"2578 of 3141"
"Portage County",55097,19.7,13856,"2571 of 3141"
"Sawyer County",55113,20.0,3269,"2504 of 3141"
"Dunn County",55033,20.0,8871,"2477 of 3141"
"Juneau County",55057,20.2,5342,"2430 of 3141"
"La Crosse County",55063,20.2,23776,"2427 of 3141"
"Oconto County",55083,20.3,7611,"2393 of 3141"
"Douglas County",55031,20.3,8849,"2386 of 3141"
"Forest County",55041,20.4,1839,"2382 of 3141"
"Eau Claire County",55035,20.5,20946,"2342 of 3141"
"Grant County",55043,20.5,10596,"2332 of 3141"
"Dodge County",55027,20.6,18132,"2289 of 3141"
"Winnebago County",55139,20.8,35283,"2224 of 3141"
"Rusk County",55107,20.9,2968,"2211 of 3141"
"Dane County",55025,21.0,109628,"2175 of 3141"
"Waupaca County",55135,21.0,10839,"2163 of 3141"
"Crawford County",55023,21.0,3432,"2143 of 3141"
"Buffalo County",55011,21.1,2790,"2133 of 3141"
"Manitowoc County",55071,21.1,16789,"2132 of 3141"
"Pierce County",55093,21.1,8707,"2114 of 3141"
"Pepin County",55091,21.6,1575,"1941 of 3141"
"Barron County",55005,21.7,9842,"1911 of 3141"
"Walworth County",55127,21.7,22354,"1905 of 3141"
"Polk County",55095,21.7,9415,"1900 of 3141"
"Wood County",55141,21.8,15975,"1883 of 3141"
"Shawano County",55115,21.8,8953,"1878 of 3141"
"Ozaukee County",55089,21.8,19168,"1852 of 3141"
"Fond du Lac County",55039,21.9,22343,"1826 of 3141"
"Jackson County",55053,22.0,4513,"1782 of 3141"
"Jefferson County",55055,22.0,18618,"1767 of 3141"
"Kewaunee County",55061,22.0,4486,"1765 of 3141"
"Richland County",55103,22.1,3897,"1723 of 3141"
"Columbia County",55021,22.2,12582,"1699 of 3141"
"Waukesha County",55133,22.2,87941,"1695 of 3141"
"Ashland County",55003,22.5,3546,"1550 of 3141"
"Chippewa County",55017,22.6,14361,"1489 of 3141"
"Sheboygan County",55117,22.7,26166,"1446 of 3141"
"Green Lake County",55047,22.8,4269,"1426 of 3141"
"Washington County",55131,22.8,30531,"1417 of 3141"
"Green County",55045,22.8,8406,"1412 of 3141"
"Sauk County",55111,23.0,14586,"1300 of 3141"
"Marathon County",55073,23.3,31512,"1180 of 3141"
"Iowa County",55049,23.4,5513,"1151 of 3141"
"Racine County",55101,23.7,46211,"1019 of 3141"
"Rock County",55105,23.7,38276,"999 of 3141"
"Kenosha County",55059,23.9,40114,"929 of 3141"
"Taylor County",55119,24.0,4881,"882 of 3141"
"Outagamie County",55087,24.0,44036,"866 of 3141"
"Brown County",55009,24.2,62543,"771 of 3141"
"Milwaukee County",55079,24.3,232303,"755 of 3141"
"Trempealeau County",55121,24.6,7256,"664 of 3141"
"Lafayette County",55065,24.8,4161,"588 of 3141"
"Calumet County",55015,25.0,12448,"535 of 3141"
"Monroe County",55081,25.5,11559,"437 of 3141"
"St. Croix County",55109,25.8,22522,"382 of 3141"
"Vernon County",55123,26.0,7903,"361 of 3141"
"Clark County",55019,29.4,10142,"103 of 3141"
"Menominee County",55078,32.4,1462,"42 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:02 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age under 18, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
