------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=55&areatype=county&topic=pov&demo=00008&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '55', 'areatype': 'county', 'topic': 'pov', 'demo': '00008', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_029.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=55&areatype=county&topic=pov&demo=00008&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Wisconsin by County
Poverty: Persons below poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Below Poverty),Rank within US
"Wisconsin",55000,12.3,692719,"19 of 52"
"United States",00000,14.6,45650345,"N/A"
"St. Croix County",55109,4.8,4103,"26 of 3141"
"Waukesha County",55133,5.0,19634,"39 of 3141"
"Washington County",55131,5.5,7320,"60 of 3141"
"Ozaukee County",55089,5.9,5087,"85 of 3141"
"Calumet County",55015,5.9,2917,"87 of 3141"
"Sheboygan County",55117,8.2,9153,"257 of 3141"
"Columbia County",55021,8.3,4585,"269 of 3141"
"Door County",55029,8.4,2282,"287 of 3141"
"Florence County",55037,8.4,362,"289 of 3141"
"Fond du Lac County",55039,8.5,8387,"294 of 3141"
"Outagamie County",55087,8.6,15502,"305 of 3141"
"Dodge County",55027,8.8,7293,"316 of 3141"
"Green County",55045,8.9,3232,"337 of 3141"
"Oneida County",55085,9.0,3113,"352 of 3141"
"Trempealeau County",55121,9.0,2605,"355 of 3141"
"Iowa County",55049,9.0,2100,"360 of 3141"
"Oconto County",55083,9.1,3356,"367 of 3141"
"Kewaunee County",55061,9.2,1851,"388 of 3141"
"Lincoln County",55069,9.2,2510,"392 of 3141"
"Jefferson County",55055,9.8,7977,"503 of 3141"
"Polk County",55095,9.9,4215,"512 of 3141"
"Manitowoc County",55071,10.2,8036,"571 of 3141"
"Marathon County",55073,10.3,13754,"591 of 3141"
"Lafayette County",55065,10.4,1730,"607 of 3141"
"Buffalo County",55011,10.7,1406,"664 of 3141"
"Pierce County",55093,10.7,4132,"665 of 3141"
"Chippewa County",55017,10.7,6525,"666 of 3141"
"Taylor County",55119,10.9,2190,"702 of 3141"
"Bayfield County",55007,11.0,1629,"708 of 3141"
"Waupaca County",55135,11.0,5506,"717 of 3141"
"Waushara County",55137,11.1,2538,"729 of 3141"
"Wood County",55141,11.1,8037,"731 of 3141"
"Brown County",55009,11.3,28320,"770 of 3141"
"Sauk County",55111,11.3,7062,"777 of 3141"
"Green Lake County",55047,11.4,2113,"801 of 3141"
"Shawano County",55115,11.5,4618,"813 of 3141"
"Barron County",55005,11.5,5138,"827 of 3141"
"Marquette County",55077,11.8,1752,"884 of 3141"
"Price County",55099,11.9,1582,"898 of 3141"
"Racine County",55101,11.9,22623,"900 of 3141"
"Winnebago County",55139,12.2,19750,"958 of 3141"
"Dane County",55025,12.4,63003,"987 of 3141"
"Walworth County",55127,12.4,12405,"993 of 3141"
"Monroe County",55081,12.6,5606,"1035 of 3141"
"Dunn County",55033,12.8,5209,"1072 of 3141"
"Adams County",55001,13.0,2457,"1097 of 3141"
"Washburn County",55129,13.0,2000,"1112 of 3141"
"Jackson County",55053,13.0,2502,"1116 of 3141"
"Crawford County",55023,13.0,2031,"1122 of 3141"
"Portage County",55097,13.1,8757,"1135 of 3141"
"Pepin County",55091,13.1,938,"1144 of 3141"
"Marinette County",55075,13.2,5224,"1159 of 3141"
"Clark County",55019,13.2,4485,"1176 of 3141"
"Richland County",55103,13.6,2349,"1254 of 3141"
"Douglas County",55031,14.2,5983,"1367 of 3141"
"Rock County",55105,14.3,22550,"1396 of 3141"
"Juneau County",55057,14.3,3545,"1401 of 3141"
"La Crosse County",55063,14.4,16246,"1427 of 3141"
"Eau Claire County",55035,14.5,14197,"1432 of 3141"
"Kenosha County",55059,14.5,23594,"1433 of 3141"
"Burnett County",55013,14.6,2192,"1448 of 3141"
"Ashland County",55003,14.6,2215,"1458 of 3141"
"Langlade County",55067,14.8,2779,"1484 of 3141"
"Iron County",55051,15.2,851,"1567 of 3141"
"Rusk County",55107,15.2,2118,"1571 of 3141"
"Vilas County",55125,15.3,3240,"1588 of 3141"
"Grant County",55043,15.3,7323,"1593 of 3141"
"Vernon County",55123,16.6,4966,"1846 of 3141"
"Forest County",55041,17.5,1541,"2048 of 3141"
"Sawyer County",55113,17.7,2825,"2090 of 3141"
"Milwaukee County",55079,20.5,191973,"2489 of 3141"
"Menominee County",55078,35.8,1590,"3100 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:03 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Persons below poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
