------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=55&areatype=county&topic=mob&demo=00017&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '55', 'areatype': 'county', 'topic': 'mob', 'demo': '00017', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_008.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=55&areatype=county&topic=mob&demo=00017&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Wisconsin by County
Mobility: Haven't moved (in past year)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Haven't Moved),Rank within US
"United States",00000,85.4,270854872,"N/A"
"Wisconsin",55000,85.7,4883320,"20 of 51"
"Dunn County",55033,78.4,34283,"3015 of 3140"
"Eau Claire County",55035,79.9,80961,"2938 of 3140"
"Dane County",55025,80.0,413161,"2936 of 3140"
"Pierce County",55093,80.3,32768,"2915 of 3140"
"La Crosse County",55063,80.7,93783,"2881 of 3140"
"Portage County",55097,82.1,57240,"2744 of 3140"
"Grant County",55043,82.8,42452,"2644 of 3140"
"Milwaukee County",55079,83.1,784516,"2610 of 3140"
"Winnebago County",55139,83.6,140268,"2515 of 3140"
"Walworth County",55127,83.7,85246,"2504 of 3140"
"Iron County",55051,84.3,4826,"2380 of 3140"
"Brown County",55009,84.7,215877,"2287 of 3140"
"Douglas County",55031,84.9,36448,"2255 of 3140"
"Price County",55099,85.1,11491,"2183 of 3140"
"Langlade County",55067,85.4,16194,"2119 of 3140"
"Rock County",55105,85.5,136318,"2079 of 3140"
"Kenosha County",55059,85.5,142048,"2075 of 3140"
"Jefferson County",55055,86.2,72173,"1900 of 3140"
"Menominee County",55078,86.3,3837,"1853 of 3140"
"Dodge County",55027,86.4,75258,"1826 of 3140"
"Jackson County",55053,86.5,17555,"1812 of 3140"
"Chippewa County",55017,86.6,54230,"1748 of 3140"
"Lincoln County",55069,86.7,24095,"1720 of 3140"
"Sawyer County",55113,86.7,14112,"1705 of 3140"
"Sauk County",55111,86.8,54389,"1690 of 3140"
"Sheboygan County",55117,87.0,99087,"1626 of 3140"
"Monroe County",55081,87.1,38726,"1576 of 3140"
"Ashland County",55003,87.2,13595,"1530 of 3140"
"Columbia County",55021,87.3,49179,"1523 of 3140"
"Waupaca County",55135,87.5,44709,"1448 of 3140"
"Green County",55045,87.5,31949,"1438 of 3140"
"Door County",55029,87.5,23791,"1427 of 3140"
"Richland County",55103,87.6,15261,"1419 of 3140"
"Wood County",55141,87.6,63690,"1411 of 3140"
"St. Croix County",55109,87.8,75532,"1363 of 3140"
"Juneau County",55057,87.8,22969,"1345 of 3140"
"Crawford County",55023,87.9,14209,"1321 of 3140"
"Fond du Lac County",55039,88.0,89128,"1250 of 3140"
"Marathon County",55073,88.1,117739,"1220 of 3140"
"Marinette County",55075,88.1,35623,"1210 of 3140"
"Racine County",55101,88.2,169702,"1205 of 3140"
"Polk County",55095,88.4,37861,"1148 of 3140"
"Rusk County",55107,88.4,12452,"1124 of 3140"
"Adams County",55001,88.5,17700,"1085 of 3140"
"Outagamie County",55087,88.7,160708,"1014 of 3140"
"Forest County",55041,88.8,7935,"1000 of 3140"
"Trempealeau County",55121,88.8,25908,"992 of 3140"
"Vilas County",55125,88.9,18954,"973 of 3140"
"Waukesha County",55133,88.9,349424,"961 of 3140"
"Barron County",55005,88.9,39836,"959 of 3140"
"Ozaukee County",55089,88.9,77444,"952 of 3140"
"Washburn County",55129,89.0,13769,"923 of 3140"
"Buffalo County",55011,89.0,11628,"914 of 3140"
"Shawano County",55115,89.1,36249,"874 of 3140"
"Iowa County",55049,89.2,20834,"852 of 3140"
"Waushara County",55137,89.4,21437,"807 of 3140"
"Taylor County",55119,89.5,17999,"776 of 3140"
"Burnett County",55013,89.9,13610,"649 of 3140"
"Washington County",55131,90.1,119450,"614 of 3140"
"Florence County",55037,90.2,3903,"589 of 3140"
"Marquette County",55077,90.4,13570,"542 of 3140"
"Clark County",55019,90.8,30802,"457 of 3140"
"Lafayette County",55065,90.9,15026,"422 of 3140"
"Pepin County",55091,91.1,6562,"390 of 3140"
"Oconto County",55083,91.4,33950,"329 of 3140"
"Green Lake County",55047,91.6,17026,"285 of 3140"
"Kewaunee County",55061,91.7,18489,"277 of 3140"
"Oneida County",55085,91.8,32115,"255 of 3140"
"Calumet County",55015,92.3,45353,"200 of 3140"
"Vernon County",55123,92.4,27759,"194 of 3140"
"Manitowoc County",55071,92.8,73319,"158 of 3140"
"Bayfield County",55007,92.8,13830,"157 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:02 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Haven't moved (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
