------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=55&areatype=county&topic=pop&demo=00103&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '55', 'areatype': 'county', 'topic': 'pop', 'demo': '00103', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_015.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=55&areatype=county&topic=pop&demo=00103&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Wisconsin by County
Population: Age 40-64
"Age N/A, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 40-64),Rank within US
"United States",00000,32.4,104105673,"N/A"
"Wisconsin",55000,33.5,1930999,"41 of 52"
"Menominee County",55078,27.5,1237,"143 of 3141"
"Eau Claire County",55035,28.6,29312,"243 of 3141"
"Grant County",55043,29.1,15066,"288 of 3141"
"Dunn County",55033,29.1,12897,"293 of 3141"
"La Crosse County",55063,30.1,35372,"411 of 3141"
"Milwaukee County",55079,30.2,289224,"436 of 3141"
"Dane County",55025,30.3,158658,"459 of 3141"
"Clark County",55019,31.1,10726,"617 of 3141"
"Portage County",55097,31.9,22428,"864 of 3141"
"Brown County",55009,32.5,83806,"1108 of 3141"
"Winnebago County",55139,32.5,55107,"1116 of 3141"
"Walworth County",55127,33.3,34243,"1467 of 3141"
"Pierce County",55093,33.4,13779,"1546 of 3141"
"Monroe County",55081,33.6,15230,"1650 of 3141"
"Trempealeau County",55121,33.7,9933,"1681 of 3141"
"Barron County",55005,33.7,15297,"1714 of 3141"
"Vernon County",55123,33.8,10271,"1766 of 3141"
"Rock County",55105,33.9,54620,"1810 of 3141"
"Outagamie County",55087,33.9,62112,"1816 of 3141"
"Ashland County",55003,34.2,5393,"1958 of 3141"
"Jackson County",55053,34.3,7033,"1994 of 3141"
"Lafayette County",55065,34.4,5756,"2042 of 3141"
"Douglas County",55031,34.4,14946,"2043 of 3141"
"Sauk County",55111,34.4,21762,"2044 of 3141"
"Kenosha County",55059,34.4,57804,"2089 of 3141"
"Fond du Lac County",55039,34.4,35158,"2095 of 3141"
"Richland County",55103,34.5,6077,"2116 of 3141"
"Forest County",55041,34.7,3132,"2191 of 3141"
"Jefferson County",55055,34.7,29337,"2199 of 3141"
"Crawford County",55023,34.7,5662,"2215 of 3141"
"Marathon County",55073,34.8,47058,"2260 of 3141"
"Racine County",55101,34.9,68152,"2336 of 3141"
"Chippewa County",55017,35.0,22213,"2372 of 3141"
"Sheboygan County",55117,35.1,40426,"2419 of 3141"
"St. Croix County",55109,35.3,30721,"2457 of 3141"
"Pepin County",55091,35.4,2579,"2515 of 3141"
"Wood County",55141,35.4,26014,"2518 of 3141"
"Iowa County",55049,35.5,8372,"2549 of 3141"
"Green Lake County",55047,35.7,6692,"2608 of 3141"
"Taylor County",55119,35.7,7266,"2615 of 3141"
"Waupaca County",55135,35.8,18482,"2634 of 3141"
"Buffalo County",55011,35.9,4752,"2669 of 3141"
"Langlade County",55067,35.9,6886,"2670 of 3141"
"Shawano County",55115,35.9,14781,"2680 of 3141"
"Calumet County",55015,36.2,17988,"2752 of 3141"
"Green County",55045,36.2,13343,"2758 of 3141"
"Marinette County",55075,36.3,14771,"2780 of 3141"
"Ozaukee County",55089,36.3,31895,"2790 of 3141"
"Manitowoc County",55071,36.4,28976,"2801 of 3141"
"Washburn County",55129,36.5,5712,"2825 of 3141"
"Columbia County",55021,36.6,20761,"2833 of 3141"
"Juneau County",55057,36.7,9690,"2855 of 3141"
"Sawyer County",55113,36.7,6008,"2856 of 3141"
"Waukesha County",55133,36.7,145537,"2858 of 3141"
"Burnett County",55013,36.7,5596,"2862 of 3141"
"Dodge County",55027,36.7,32254,"2863 of 3141"
"Marquette County",55077,36.8,5582,"2885 of 3141"
"Vilas County",55125,36.9,7910,"2894 of 3141"
"Washington County",55131,36.9,49387,"2898 of 3141"
"Rusk County",55107,36.9,5244,"2904 of 3141"
"Door County",55029,36.9,10138,"2910 of 3141"
"Polk County",55095,37.0,16017,"2917 of 3141"
"Kewaunee County",55061,37.0,7544,"2926 of 3141"
"Waushara County",55137,37.5,9066,"2991 of 3141"
"Adams County",55001,38.0,7633,"3027 of 3141"
"Bayfield County",55007,38.1,5719,"3043 of 3141"
"Oneida County",55085,38.2,13516,"3048 of 3141"
"Lincoln County",55069,38.2,10703,"3049 of 3141"
"Oconto County",55083,39.1,14649,"3080 of 3141"
"Iron County",55051,39.7,2284,"3096 of 3141"
"Price County",55099,40.5,5491,"3103 of 3141"
"Florence County",55037,41.6,1813,"3121 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:02 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age 40-64, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
