------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=55&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '55', 'areatype': 'county', 'topic': 'crowd', 'demo': '00027', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_000.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=55&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Wisconsin by County
Crowding: Households with >1 person per room
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (with >1 Person Per Room),Rank within US
"Wisconsin",55000,1.7,39648,"42 of 52"
"United States",00000,3.3,3975282,"N/A"
"Oneida County",55085,0.5,75,"2993 of 3141"
"Pepin County",55091,0.6,19,"2925 of 3141"
"Wood County",55141,0.8,260,"2807 of 3141"
"Washington County",55131,0.8,434,"2806 of 3141"
"Ozaukee County",55089,0.9,305,"2754 of 3141"
"Door County",55029,0.9,115,"2745 of 3141"
"Waupaca County",55135,0.9,205,"2669 of 3141"
"Manitowoc County",55071,1.0,333,"2641 of 3141"
"Waukesha County",55133,1.0,1547,"2629 of 3141"
"Pierce County",55093,1.1,168,"2512 of 3141"
"Green County",55045,1.1,168,"2478 of 3141"
"Winnebago County",55139,1.1,784,"2474 of 3141"
"Polk County",55095,1.1,207,"2455 of 3141"
"Langlade County",55067,1.2,101,"2418 of 3141"
"Calumet County",55015,1.2,226,"2417 of 3141"
"Dodge County",55027,1.2,399,"2415 of 3141"
"Adams County",55001,1.2,96,"2410 of 3141"
"Washburn County",55129,1.2,85,"2388 of 3141"
"Douglas County",55031,1.2,229,"2355 of 3141"
"Marinette County",55075,1.2,227,"2354 of 3141"
"Racine County",55101,1.2,938,"2334 of 3141"
"Lincoln County",55069,1.3,160,"2298 of 3141"
"Iowa County",55049,1.3,128,"2250 of 3141"
"Columbia County",55021,1.3,310,"2217 of 3141"
"Richland County",55103,1.3,102,"2198 of 3141"
"Ashland County",55003,1.4,89,"2175 of 3141"
"Price County",55099,1.4,90,"2171 of 3141"
"Crawford County",55023,1.4,93,"2135 of 3141"
"Buffalo County",55011,1.4,81,"2123 of 3141"
"Shawano County",55115,1.4,245,"2095 of 3141"
"Burnett County",55013,1.4,105,"2092 of 3141"
"Eau Claire County",55035,1.5,601,"2045 of 3141"
"La Crosse County",55063,1.5,704,"2027 of 3141"
"Portage County",55097,1.5,421,"2026 of 3141"
"Waushara County",55137,1.5,149,"2013 of 3141"
"Kewaunee County",55061,1.5,127,"1977 of 3141"
"Fond du Lac County",55039,1.6,642,"1967 of 3141"
"Outagamie County",55087,1.6,1122,"1965 of 3141"
"St. Croix County",55109,1.6,521,"1960 of 3141"
"Vilas County",55125,1.6,168,"1958 of 3141"
"Oconto County",55083,1.6,248,"1933 of 3141"
"Green Lake County",55047,1.6,128,"1902 of 3141"
"Monroe County",55081,1.6,288,"1898 of 3141"
"Jefferson County",55055,1.6,538,"1867 of 3141"
"Dunn County",55033,1.7,275,"1861 of 3141"
"Trempealeau County",55121,1.7,200,"1827 of 3141"
"Barron County",55005,1.8,339,"1738 of 3141"
"Grant County",55043,1.8,348,"1724 of 3141"
"Taylor County",55119,1.8,157,"1723 of 3141"
"Chippewa County",55017,1.8,453,"1720 of 3141"
"Rock County",55105,1.8,1168,"1696 of 3141"
"Sheboygan County",55117,1.8,865,"1685 of 3141"
"Marathon County",55073,1.8,1000,"1680 of 3141"
"Kenosha County",55059,1.8,1162,"1665 of 3141"
"Bayfield County",55007,1.9,132,"1571 of 3141"
"Sauk County",55111,1.9,500,"1551 of 3141"
"Juneau County",55057,2.0,198,"1547 of 3141"
"Walworth County",55127,2.0,787,"1543 of 3141"
"Rusk County",55107,2.0,124,"1531 of 3141"
"Dane County",55025,2.0,4283,"1525 of 3141"
"Marquette County",55077,2.0,128,"1495 of 3141"
"Brown County",55009,2.2,2319,"1247 of 3141"
"Iron County",55051,2.3,68,"1193 of 3141"
"Lafayette County",55065,2.4,159,"1135 of 3141"
"Florence County",55037,2.4,47,"1127 of 3141"
"Jackson County",55053,2.5,202,"1041 of 3141"
"Milwaukee County",55079,2.5,9480,"1036 of 3141"
"Forest County",55041,2.6,106,"941 of 3141"
"Sawyer County",55113,2.7,207,"856 of 3141"
"Vernon County",55123,3.0,362,"746 of 3141"
"Clark County",55019,3.7,469,"470 of 3141"
"Menominee County",55078,9.5,129,"50 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:02 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Crowding: Households with >1 person per room, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#crowding."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
