------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=55&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '55', 'areatype': 'county', 'topic': 'pop', 'demo': '00104', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_027.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=55&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Wisconsin by County
Population: Sex - Male
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Male),Rank within US
"United States",00000,49.2,158018753,"N/A"
"Wisconsin",55000,49.7,2864115,"37 of 52"
"Milwaukee County",55079,48.4,462784,"416 of 3141"
"La Crosse County",55063,48.8,57373,"691 of 3141"
"Fond du Lac County",55039,48.9,49962,"841 of 3141"
"Ozaukee County",55089,49.1,43131,"1001 of 3141"
"Waukesha County",55133,49.1,194879,"1006 of 3141"
"Rock County",55105,49.2,79293,"1067 of 3141"
"Eau Claire County",55035,49.2,50371,"1083 of 3141"
"Washburn County",55129,49.3,7716,"1243 of 3141"
"Wood County",55141,49.4,36265,"1326 of 3141"
"Racine County",55101,49.5,96480,"1404 of 3141"
"Kenosha County",55059,49.5,83033,"1411 of 3141"
"Green County",55045,49.5,18265,"1509 of 3141"
"Door County",55029,49.6,13602,"1531 of 3141"
"Brown County",55009,49.6,128020,"1588 of 3141"
"Dane County",55025,49.7,259686,"1635 of 3141"
"Washington County",55131,49.7,66558,"1648 of 3141"
"Manitowoc County",55071,49.7,39612,"1691 of 3141"
"Pierce County",55093,49.7,20501,"1697 of 3141"
"Sauk County",55111,49.8,31555,"1780 of 3141"
"Walworth County",55127,49.9,51330,"1828 of 3141"
"Outagamie County",55087,49.9,91418,"1830 of 3141"
"St. Croix County",55109,49.9,43468,"1836 of 3141"
"Calumet County",55015,49.9,24812,"1842 of 3141"
"Douglas County",55031,50.0,21734,"1908 of 3141"
"Jefferson County",55055,50.0,42282,"1933 of 3141"
"Vilas County",55125,50.0,10734,"1954 of 3141"
"Menominee County",55078,50.1,2258,"2037 of 3141"
"Shawano County",55115,50.2,20632,"2071 of 3141"
"Vernon County",55123,50.2,15240,"2085 of 3141"
"Green Lake County",55047,50.2,9405,"2089 of 3141"
"Barron County",55005,50.2,22759,"2094 of 3141"
"Lincoln County",55069,50.2,14053,"2114 of 3141"
"Portage County",55097,50.2,35333,"2123 of 3141"
"Marinette County",55075,50.3,20459,"2162 of 3141"
"Marathon County",55073,50.3,68001,"2168 of 3141"
"Sheboygan County",55117,50.3,57875,"2186 of 3141"
"Oneida County",55085,50.3,17790,"2215 of 3141"
"Polk County",55095,50.3,21809,"2221 of 3141"
"Iowa County",55049,50.3,11870,"2227 of 3141"
"Winnebago County",55139,50.4,85384,"2243 of 3141"
"Dunn County",55033,50.4,22296,"2255 of 3141"
"Rusk County",55107,50.4,7160,"2261 of 3141"
"Ashland County",55003,50.4,7954,"2282 of 3141"
"Richland County",55103,50.5,8897,"2311 of 3141"
"Trempealeau County",55121,50.5,14902,"2327 of 3141"
"Monroe County",55081,50.5,22893,"2338 of 3141"
"Langlade County",55067,50.6,9709,"2364 of 3141"
"Forest County",55041,50.6,4574,"2383 of 3141"
"Lafayette County",55065,50.6,8485,"2394 of 3141"
"Kewaunee County",55061,50.7,10331,"2431 of 3141"
"Clark County",55019,50.7,17507,"2446 of 3141"
"Sawyer County",55113,50.8,8315,"2455 of 3141"
"Marquette County",55077,50.8,7699,"2467 of 3141"
"Pepin County",55091,50.8,3701,"2482 of 3141"
"Price County",55099,50.8,6898,"2489 of 3141"
"Iron County",55051,50.9,2923,"2491 of 3141"
"Buffalo County",55011,50.9,6740,"2507 of 3141"
"Waupaca County",55135,50.9,26305,"2517 of 3141"
"Bayfield County",55007,50.9,7642,"2520 of 3141"
"Columbia County",55021,51.1,29007,"2565 of 3141"
"Oconto County",55083,51.1,19145,"2574 of 3141"
"Taylor County",55119,51.1,10402,"2586 of 3141"
"Burnett County",55013,51.2,7798,"2593 of 3141"
"Florence County",55037,51.9,2260,"2756 of 3141"
"Crawford County",55023,51.9,8469,"2759 of 3141"
"Grant County",55043,52.0,26915,"2782 of 3141"
"Chippewa County",55017,52.0,33015,"2785 of 3141"
"Dodge County",55027,52.4,46032,"2845 of 3141"
"Waushara County",55137,52.5,12679,"2853 of 3141"
"Juneau County",55057,53.0,14008,"2900 of 3141"
"Jackson County",55053,53.3,10952,"2929 of 3141"
"Adams County",55001,53.6,10770,"2948 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:03 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Sex - Male, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
