------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=55&areatype=county&topic=pop&demo=00023&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '55', 'areatype': 'county', 'topic': 'pop', 'demo': '00023', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_019.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=55&areatype=county&topic=pop&demo=00023&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Wisconsin by County
Population: American Indian/Alaska Native
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (AI/AN),Rank within US
"United States",00000,0.8,2632102,"N/A"
"Wisconsin",55000,0.9,50094,"17 of 52"
"Florence County",55037,0.0,1,"2916 of 3141"
"Jefferson County",55055,0.1,97,"2569 of 3141"
"Rock County",55105,0.1,221,"2465 of 3141"
"Washington County",55131,0.2,234,"2299 of 3141"
"Grant County",55043,0.2,91,"2294 of 3141"
"Chippewa County",55017,0.2,112,"2291 of 3141"
"Taylor County",55119,0.2,36,"2287 of 3141"
"Green County",55045,0.2,68,"2247 of 3141"
"Pepin County",55091,0.2,15,"2127 of 3141"
"Waukesha County",55133,0.2,870,"2073 of 3141"
"Pierce County",55093,0.2,93,"2042 of 3141"
"Sheboygan County",55117,0.2,269,"2013 of 3141"
"Clark County",55019,0.2,82,"1995 of 3141"
"Iowa County",55049,0.3,63,"1862 of 3141"
"Dane County",55025,0.3,1420,"1842 of 3141"
"Vernon County",55123,0.3,85,"1812 of 3141"
"Dunn County",55033,0.3,125,"1800 of 3141"
"Buffalo County",55011,0.3,39,"1754 of 3141"
"Trempealeau County",55121,0.3,89,"1721 of 3141"
"La Crosse County",55063,0.3,355,"1720 of 3141"
"Kewaunee County",55061,0.3,62,"1709 of 3141"
"Green Lake County",55047,0.3,58,"1685 of 3141"
"Ozaukee County",55089,0.3,277,"1653 of 3141"
"Marathon County",55073,0.3,429,"1647 of 3141"
"Rusk County",55107,0.3,46,"1625 of 3141"
"Richland County",55103,0.3,60,"1561 of 3141"
"Lincoln County",55069,0.4,98,"1521 of 3141"
"Walworth County",55127,0.4,361,"1518 of 3141"
"St. Croix County",55109,0.4,316,"1485 of 3141"
"Lafayette County",55065,0.4,64,"1431 of 3141"
"Kenosha County",55059,0.4,645,"1421 of 3141"
"Waushara County",55137,0.4,93,"1420 of 3141"
"Crawford County",55023,0.4,64,"1400 of 3141"
"Columbia County",55021,0.4,236,"1340 of 3141"
"Manitowoc County",55071,0.4,339,"1318 of 3141"
"Eau Claire County",55035,0.5,487,"1213 of 3141"
"Marinette County",55075,0.5,194,"1210 of 3141"
"Waupaca County",55135,0.5,247,"1205 of 3141"
"Fond du Lac County",55039,0.5,496,"1185 of 3141"
"Marquette County",55077,0.5,74,"1179 of 3141"
"Racine County",55101,0.5,999,"1137 of 3141"
"Door County",55029,0.5,148,"1099 of 3141"
"Milwaukee County",55079,0.6,5291,"1086 of 3141"
"Wood County",55141,0.6,409,"1078 of 3141"
"Winnebago County",55139,0.6,961,"1061 of 3141"
"Calumet County",55015,0.6,287,"1050 of 3141"
"Portage County",55097,0.6,409,"1045 of 3141"
"Dodge County",55027,0.6,514,"1039 of 3141"
"Adams County",55001,0.7,139,"902 of 3141"
"Barron County",55005,0.8,354,"817 of 3141"
"Iron County",55051,0.8,46,"800 of 3141"
"Oconto County",55083,0.8,315,"772 of 3141"
"Price County",55099,1.0,129,"696 of 3141"
"Langlade County",55067,1.0,185,"686 of 3141"
"Monroe County",55081,1.0,450,"669 of 3141"
"Polk County",55095,1.1,458,"630 of 3141"
"Oneida County",55085,1.1,378,"619 of 3141"
"Sauk County",55111,1.1,717,"586 of 3141"
"Washburn County",55129,1.5,227,"482 of 3141"
"Juneau County",55057,1.5,397,"464 of 3141"
"Outagamie County",55087,1.7,3026,"439 of 3141"
"Douglas County",55031,1.7,758,"424 of 3141"
"Brown County",55009,2.4,6217,"331 of 3141"
"Burnett County",55013,4.2,641,"228 of 3141"
"Jackson County",55053,5.9,1204,"180 of 3141"
"Shawano County",55115,7.4,3048,"157 of 3141"
"Vilas County",55125,9.0,1933,"129 of 3141"
"Bayfield County",55007,10.2,1523,"120 of 3141"
"Ashland County",55003,11.3,1782,"109 of 3141"
"Forest County",55041,14.7,1327,"76 of 3141"
"Sawyer County",55113,17.6,2890,"64 of 3141"
"Menominee County",55078,87.0,3921,"3 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:02 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: American Indian/Alaska Native, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
