------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=55&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '55', 'areatype': 'county', 'topic': 'ed', 'demo': '00005', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_002.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=55&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Wisconsin by County
Education: Less than High School
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People(Education: Less Than High School),Rank within US
"Wisconsin",55000,8.3,323799,"11 of 52"
"United States",00000,12.7,27437114,"N/A"
"Ozaukee County",55089,3.8,2320,"29 of 3141"
"St. Croix County",55109,3.9,2259,"35 of 3141"
"Waukesha County",55133,4.0,11104,"41 of 3141"
"Dane County",55025,4.4,15145,"62 of 3141"
"Pierce County",55093,5.5,1421,"145 of 3141"
"Bayfield County",55007,5.6,636,"154 of 3141"
"Washington County",55131,5.6,5231,"157 of 3141"
"La Crosse County",55063,5.8,4296,"173 of 3141"
"Iowa County",55049,6.1,1001,"203 of 3141"
"Door County",55029,6.2,1318,"218 of 3141"
"Outagamie County",55087,6.2,7651,"225 of 3141"
"Iron County",55051,6.3,292,"245 of 3141"
"Douglas County",55031,6.4,1954,"253 of 3141"
"Calumet County",55015,6.4,2151,"260 of 3141"
"Portage County",55097,6.5,2906,"275 of 3141"
"Dunn County",55033,6.7,1811,"310 of 3141"
"Eau Claire County",55035,6.8,4368,"322 of 3141"
"Polk County",55095,6.9,2115,"328 of 3141"
"Columbia County",55021,7.2,2878,"376 of 3141"
"Florence County",55037,7.4,251,"412 of 3141"
"Vilas County",55125,7.4,1232,"416 of 3141"
"Wood County",55141,7.4,3849,"424 of 3141"
"Burnett County",55013,7.4,863,"430 of 3141"
"Chippewa County",55017,7.5,3337,"453 of 3141"
"Green County",55045,7.5,1942,"456 of 3141"
"Kewaunee County",55061,7.6,1096,"480 of 3141"
"Sheboygan County",55117,7.6,6052,"485 of 3141"
"Winnebago County",55139,7.6,8679,"491 of 3141"
"Oneida County",55085,7.7,2073,"495 of 3141"
"Washburn County",55129,7.9,923,"538 of 3141"
"Fond du Lac County",55039,8.2,5779,"616 of 3141"
"Ashland County",55003,8.2,877,"622 of 3141"
"Marathon County",55073,8.2,7642,"625 of 3141"
"Pepin County",55091,8.3,431,"639 of 3141"
"Buffalo County",55011,8.3,793,"646 of 3141"
"Grant County",55043,8.3,2644,"647 of 3141"
"Brown County",55009,8.6,14660,"688 of 3141"
"Manitowoc County",55071,8.6,4904,"702 of 3141"
"Jefferson County",55055,8.6,4960,"703 of 3141"
"Sawyer County",55113,8.6,1042,"705 of 3141"
"Menominee County",55078,8.7,224,"730 of 3141"
"Marinette County",55075,8.8,2624,"735 of 3141"
"Waupaca County",55135,8.8,3252,"738 of 3141"
"Lincoln County",55069,9.0,1846,"783 of 3141"
"Shawano County",55115,9.0,2638,"792 of 3141"
"Walworth County",55127,9.0,6078,"797 of 3141"
"Sauk County",55111,9.0,3982,"803 of 3141"
"Monroe County",55081,9.2,2818,"849 of 3141"
"Langlade County",55067,9.3,1306,"856 of 3141"
"Barron County",55005,9.4,3022,"884 of 3141"
"Oconto County",55083,9.5,2596,"904 of 3141"
"Kenosha County",55059,9.6,10625,"929 of 3141"
"Price County",55099,9.6,1002,"940 of 3141"
"Crawford County",55023,9.7,1127,"955 of 3141"
"Rock County",55105,9.8,10703,"987 of 3141"
"Richland County",55103,9.9,1221,"1011 of 3141"
"Dodge County",55027,10.1,6361,"1050 of 3141"
"Lafayette County",55065,10.1,1147,"1053 of 3141"
"Trempealeau County",55121,10.4,2081,"1127 of 3141"
"Racine County",55101,10.4,13840,"1152 of 3141"
"Vernon County",55123,11.3,2303,"1341 of 3141"
"Marquette County",55077,11.3,1280,"1346 of 3141"
"Green Lake County",55047,11.5,1521,"1374 of 3141"
"Taylor County",55119,11.5,1621,"1387 of 3141"
"Jackson County",55053,11.5,1672,"1391 of 3141"
"Forest County",55041,12.4,799,"1572 of 3141"
"Milwaukee County",55079,12.6,78959,"1607 of 3141"
"Adams County",55001,12.8,2040,"1635 of 3141"
"Juneau County",55057,12.9,2492,"1658 of 3141"
"Rusk County",55107,13.0,1330,"1661 of 3141"
"Waushara County",55137,13.8,2495,"1786 of 3141"
"Clark County",55019,18.0,3908,"2383 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:02 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: Less than High School, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
