------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=55&areatype=county&topic=ins&demo=00043&race=00&sex=0&age=006&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '55', 'areatype': 'county', 'topic': 'ins', 'demo': '00043', 'race': '00', 'sex': '0', 'age': '006', 'type': 'manyareacensus', 'file_name': 'demographics_006.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=55&areatype=county&topic=ins&demo=00043&race=00&sex=0&age=006&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Wisconsin by County
"Insurance: Percent uninsured in demographic group, people at or below 138% of poverty"
"Ages <65, All Races (includes Hispanic), Both Sexes"
2017 Small Area Health Insurance Estimates Data
Sorted by Value

County, FIPS,Value (Percent),People (Uninsured),Rank within US
"Wisconsin",55000,12.0,99011,"16 of 51"
"La Crosse County",55063,9.7,1689,"392 of 3139"
"Ashland County",55003,9.9,299,"446 of 3139"
"Dodge County",55027,9.9,937,"446 of 3139"
"Wood County",55141,9.9,1001,"446 of 3139"
"Chippewa County",55017,10.2,860,"519 of 3139"
"Winnebago County",55139,10.4,2339,"561 of 3139"
"Marinette County",55075,10.5,647,"580 of 3139"
"Menominee County",55078,10.6,178,"596 of 3139"
"Racine County",55101,10.8,3059,"631 of 3139"
"Washburn County",55129,10.8,260,"631 of 3139"
"Washington County",55131,10.8,942,"631 of 3139"
"Dunn County",55033,10.9,732,"657 of 3139"
"Langlade County",55067,10.9,347,"657 of 3139"
"Lincoln County",55069,10.9,364,"657 of 3139"
"Oneida County",55085,10.9,446,"657 of 3139"
"Crawford County",55023,11.1,267,"697 of 3139"
"Douglas County",55031,11.1,757,"697 of 3139"
"Outagamie County",55087,11.3,2216,"736 of 3139"
"Pierce County",55093,11.3,489,"736 of 3139"
"Portage County",55097,11.3,1116,"736 of 3139"
"Milwaukee County",55079,11.4,25121,"756 of 3139"
"Juneau County",55057,11.6,515,"789 of 3139"
"Fond du Lac County",55039,11.7,1343,"806 of 3139"
"Oconto County",55083,11.7,489,"806 of 3139"
"Polk County",55095,11.7,652,"806 of 3139"
"Iowa County",55049,11.8,327,"825 of 3139"
"Kewaunee County",55061,11.8,248,"825 of 3139"
"Adams County",55001,11.9,355,"840 of 3139"
"Calumet County",55015,11.9,473,"840 of 3139"
"Columbia County",55021,12.0,697,"859 of 3139"
"Dane County",55025,12.0,8341,"859 of 3139"
"Eau Claire County",55035,12.0,1979,"859 of 3139"
"Manitowoc County",55071,12.0,1138,"859 of 3139"
"Price County",55099,12.0,246,"859 of 3139"
"Rock County",55105,12.0,3221,"859 of 3139"
"Green County",55045,12.1,504,"878 of 3139"
"Iron County",55051,12.1,99,"878 of 3139"
"Kenosha County",55059,12.1,3195,"878 of 3139"
"Shawano County",55115,12.1,726,"878 of 3139"
"Monroe County",55081,12.3,887,"907 of 3139"
"Waupaca County",55135,12.3,778,"907 of 3139"
"Jefferson County",55055,12.4,1206,"922 of 3139"
"Sauk County",55111,12.4,1073,"922 of 3139"
"Burnett County",55013,12.5,311,"933 of 3139"
"Buffalo County",55011,12.6,217,"954 of 3139"
"Sheboygan County",55117,12.6,1643,"954 of 3139"
"St. Croix County",55109,12.6,815,"954 of 3139"
"Barron County",55005,12.8,883,"983 of 3139"
"Richland County",55103,12.8,361,"983 of 3139"
"Waukesha County",55133,12.8,2893,"983 of 3139"
"Sawyer County",55113,12.9,391,"996 of 3139"
"Marathon County",55073,13.1,2302,"1014 of 3139"
"Florence County",55037,13.2,75,"1030 of 3139"
"Brown County",55009,13.4,4752,"1067 of 3139"
"Door County",55029,13.4,374,"1067 of 3139"
"Rusk County",55107,13.4,358,"1067 of 3139"
"Bayfield County",55007,13.6,301,"1094 of 3139"
"Grant County",55043,13.7,1094,"1101 of 3139"
"Vilas County",55125,13.7,460,"1101 of 3139"
"Waushara County",55137,13.7,463,"1101 of 3139"
"Ozaukee County",55089,13.9,689,"1126 of 3139"
"Forest County",55041,14.5,223,"1195 of 3139"
"Taylor County",55119,14.6,462,"1209 of 3139"
"Green Lake County",55047,14.7,417,"1221 of 3139"
"Marquette County",55077,14.8,342,"1230 of 3139"
"Pepin County",55091,15.1,145,"1259 of 3139"
"Trempealeau County",55121,15.1,561,"1259 of 3139"
"Jackson County",55053,15.3,492,"1286 of 3139"
"Walworth County",55127,16.5,2336,"1433 of 3139"
"Vernon County",55123,16.8,977,"1464 of 3139"
"Lafayette County",55065,20.2,521,"1997 of 3139"
"Clark County",55019,23.8,1595,"2449 of 3139"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:02 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & Small Area Health Insurance Estimates (https://www.census.gov/programs-surveys/sahie.html).
"For more information about Insurance: Percent uninsured in demographic group, people at or below 138% of poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#insurance."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
