------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=55&areatype=county&topic=mob&demo=00019&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '55', 'areatype': 'county', 'topic': 'mob', 'demo': '00019', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_010.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=55&areatype=county&topic=mob&demo=00019&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Wisconsin by County
"Mobility: Moved, different county this state (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Different County In Same State),Rank within US
"United States",00000,3.2,10247779,"N/A"
"Wisconsin",55000,3.5,200677,"34 of 51"
"Douglas County",55031,1.5,627,"137 of 3140"
"Manitowoc County",55071,1.8,1404,"243 of 3140"
"Rock County",55105,1.9,3106,"312 of 3140"
"Milwaukee County",55079,2.1,19431,"361 of 3140"
"Vernon County",55123,2.2,662,"452 of 3140"
"St. Croix County",55109,2.2,1933,"471 of 3140"
"Bayfield County",55007,2.3,337,"479 of 3140"
"Kenosha County",55059,2.4,3944,"542 of 3140"
"Oneida County",55085,2.5,878,"627 of 3140"
"Sheboygan County",55117,2.6,2944,"685 of 3140"
"Marinette County",55075,2.7,1075,"743 of 3140"
"Kewaunee County",55061,2.7,545,"772 of 3140"
"Polk County",55095,2.7,1168,"791 of 3140"
"Taylor County",55119,2.8,554,"808 of 3140"
"Burnett County",55013,2.8,423,"843 of 3140"
"Clark County",55019,2.9,968,"878 of 3140"
"Door County",55029,2.9,794,"923 of 3140"
"Vilas County",55125,2.9,629,"944 of 3140"
"Racine County",55101,3.0,5722,"961 of 3140"
"Dane County",55025,3.1,15785,"1013 of 3140"
"Washburn County",55129,3.1,479,"1037 of 3140"
"Marathon County",55073,3.1,4149,"1043 of 3140"
"Brown County",55009,3.1,7926,"1048 of 3140"
"Monroe County",55081,3.2,1425,"1129 of 3140"
"Barron County",55005,3.2,1456,"1168 of 3140"
"Green Lake County",55047,3.5,641,"1303 of 3140"
"Forest County",55041,3.5,313,"1352 of 3140"
"Marquette County",55077,3.5,532,"1380 of 3140"
"Oconto County",55083,3.6,1324,"1403 of 3140"
"Fond du Lac County",55039,3.6,3614,"1407 of 3140"
"Trempealeau County",55121,3.6,1052,"1433 of 3140"
"Wood County",55141,3.6,2630,"1438 of 3140"
"Menominee County",55078,3.6,162,"1458 of 3140"
"Iowa County",55049,3.7,860,"1494 of 3140"
"Sawyer County",55113,3.7,603,"1508 of 3140"
"Buffalo County",55011,3.7,486,"1519 of 3140"
"Pepin County",55091,3.8,272,"1556 of 3140"
"Rusk County",55107,3.8,533,"1563 of 3140"
"Sauk County",55111,3.8,2380,"1570 of 3140"
"Waukesha County",55133,3.8,15090,"1602 of 3140"
"Washington County",55131,3.8,5104,"1608 of 3140"
"Lafayette County",55065,4.0,662,"1708 of 3140"
"Calumet County",55015,4.0,1981,"1724 of 3140"
"Ashland County",55003,4.1,637,"1754 of 3140"
"Florence County",55037,4.1,177,"1755 of 3140"
"Outagamie County",55087,4.2,7677,"1847 of 3140"
"Green County",55045,4.3,1566,"1864 of 3140"
"Richland County",55103,4.3,755,"1890 of 3140"
"Shawano County",55115,4.3,1763,"1893 of 3140"
"Walworth County",55127,4.4,4491,"1932 of 3140"
"Ozaukee County",55089,4.5,3906,"1984 of 3140"
"Adams County",55001,4.5,900,"1994 of 3140"
"Columbia County",55021,4.6,2582,"2032 of 3140"
"Lincoln County",55069,4.6,1280,"2044 of 3140"
"Crawford County",55023,4.9,796,"2213 of 3140"
"Waupaca County",55135,5.1,2593,"2294 of 3140"
"Iron County",55051,5.1,294,"2322 of 3140"
"La Crosse County",55063,5.2,6086,"2372 of 3140"
"Langlade County",55067,5.3,1002,"2389 of 3140"
"Juneau County",55057,5.3,1390,"2403 of 3140"
"Waushara County",55137,5.3,1280,"2412 of 3140"
"Eau Claire County",55035,5.5,5599,"2498 of 3140"
"Chippewa County",55017,5.6,3498,"2514 of 3140"
"Price County",55099,5.7,775,"2570 of 3140"
"Jefferson County",55055,5.8,4825,"2578 of 3140"
"Dodge County",55027,5.8,5067,"2593 of 3140"
"Jackson County",55053,5.8,1187,"2600 of 3140"
"Grant County",55043,5.9,3014,"2605 of 3140"
"Winnebago County",55139,5.9,9980,"2620 of 3140"
"Pierce County",55093,6.0,2456,"2634 of 3140"
"Portage County",55097,7.4,5132,"2882 of 3140"
"Dunn County",55033,7.7,3366,"2922 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:02 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, different county this state (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
