------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=55&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '55', 'areatype': 'county', 'topic': 'pop', 'demo': '00101', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_024.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=55&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Wisconsin by County
Population: Non-Hispanic (Origin Recode)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Non-Hispanic [Origin Recode]),Rank within US
"United States",00000,82.4,264493836,"N/A"
"Wisconsin",55000,93.4,5382627,"34 of 52"
"Milwaukee County",55079,85.4,817117,"527 of 3141"
"Kenosha County",55059,87.3,146532,"584 of 3141"
"Racine County",55101,87.3,170338,"586 of 3141"
"Walworth County",55127,88.9,91544,"674 of 3141"
"Rock County",55105,91.6,147653,"859 of 3141"
"Brown County",55009,91.7,236532,"868 of 3141"
"Trempealeau County",55121,92.4,27263,"922 of 3141"
"Jefferson County",55055,93.0,78695,"996 of 3141"
"Waushara County",55137,93.6,22622,"1073 of 3141"
"Dane County",55025,93.7,489852,"1082 of 3141"
"Sheboygan County",55117,93.8,108009,"1102 of 3141"
"Menominee County",55078,94.0,4236,"1132 of 3141"
"Fond du Lac County",55039,95.0,97010,"1326 of 3141"
"Sauk County",55111,95.2,60280,"1353 of 3141"
"Green Lake County",55047,95.4,17879,"1398 of 3141"
"Dodge County",55027,95.4,83784,"1400 of 3141"
"Waukesha County",55133,95.4,378537,"1406 of 3141"
"Clark County",55019,95.6,32999,"1456 of 3141"
"Outagamie County",55087,95.8,175625,"1508 of 3141"
"Monroe County",55081,95.8,43422,"1519 of 3141"
"Calumet County",55015,95.9,47715,"1550 of 3141"
"Winnebago County",55139,96.1,162886,"1580 of 3141"
"Adams County",55001,96.2,19339,"1602 of 3141"
"Manitowoc County",55071,96.3,76735,"1640 of 3141"
"Lafayette County",55065,96.4,16150,"1668 of 3141"
"Jackson County",55053,96.8,19869,"1785 of 3141"
"Marquette County",55077,96.8,14686,"1823 of 3141"
"Columbia County",55021,96.9,55019,"1831 of 3141"
"Washington County",55131,96.9,129840,"1844 of 3141"
"Portage County",55097,97.0,68229,"1861 of 3141"
"Green County",55045,97.0,35757,"1877 of 3141"
"Waupaca County",55135,97.0,50103,"1886 of 3141"
"Juneau County",55057,97.0,25645,"1897 of 3141"
"Door County",55029,97.1,26658,"1934 of 3141"
"Wood County",55141,97.2,71373,"1971 of 3141"
"Ozaukee County",55089,97.2,85388,"1984 of 3141"
"Kewaunee County",55061,97.3,19818,"1994 of 3141"
"Marathon County",55073,97.3,131669,"2037 of 3141"
"Ashland County",55003,97.4,15362,"2053 of 3141"
"Shawano County",55115,97.4,40057,"2058 of 3141"
"Sawyer County",55113,97.5,15979,"2133 of 3141"
"Barron County",55005,97.6,44266,"2160 of 3141"
"Eau Claire County",55035,97.7,99999,"2198 of 3141"
"St. Croix County",55109,97.7,85170,"2237 of 3141"
"Vilas County",55125,97.8,20991,"2260 of 3141"
"Richland County",55103,97.8,17241,"2278 of 3141"
"Buffalo County",55011,97.8,12954,"2279 of 3141"
"Forest County",55041,97.8,8839,"2283 of 3141"
"Pierce County",55093,98.1,40432,"2420 of 3141"
"Polk County",55095,98.1,42518,"2453 of 3141"
"Langlade County",55067,98.1,18833,"2456 of 3141"
"Dunn County",55033,98.2,43459,"2486 of 3141"
"Taylor County",55119,98.2,19976,"2489 of 3141"
"La Crosse County",55063,98.2,115481,"2503 of 3141"
"Rusk County",55107,98.2,13959,"2514 of 3141"
"Bayfield County",55007,98.3,14743,"2529 of 3141"
"Pepin County",55091,98.3,7157,"2545 of 3141"
"Iowa County",55049,98.3,23173,"2553 of 3141"
"Washburn County",55129,98.3,15371,"2556 of 3141"
"Oconto County",55083,98.3,36826,"2557 of 3141"
"Burnett County",55013,98.3,14984,"2569 of 3141"
"Chippewa County",55017,98.3,62390,"2577 of 3141"
"Price County",55099,98.4,13345,"2590 of 3141"
"Vernon County",55123,98.4,29902,"2626 of 3141"
"Marinette County",55075,98.5,40081,"2647 of 3141"
"Grant County",55043,98.5,50951,"2660 of 3141"
"Douglas County",55031,98.5,42846,"2671 of 3141"
"Lincoln County",55069,98.6,27590,"2721 of 3141"
"Oneida County",55085,98.6,34848,"2738 of 3141"
"Crawford County",55023,98.7,16100,"2799 of 3141"
"Iron County",55051,98.8,5680,"2868 of 3141"
"Florence County",55037,99.1,4316,"2971 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:03 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Non-Hispanic (Origin Recode), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
