------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=05&areatype=county&cancer=020&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '05', 'areatype': 'county', 'cancer': '020', 'race': '00', 'sex': '0', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_008.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=05&areatype=county&cancer=020&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Arkansas by County

"Colon & Rectum (All Stages^), 2012-2016"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of 39.9?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Arkansas(6,10)",05000,No,43.8 ,42.8, 44.8,1536,stable,0.1 ,-4.1, 4.6
"US (SEER+NPCR)(1,10)",00000,Yes,38.7 ,38.6, 38.8,140982,falling,-1.3 ,-2.1, -0.6
"Cross County(6,10)",05037,No,68.8 ,53.8, 87,15,stable,2.2 ,-4.0, 8.9
"Dallas County(6,10)",05039,No,66.8 ,46.8, 93.6,8,stable,24.2 ,-6.5, 65.0
"Phillips County(6,10)",05107,No,63.1 ,49.5, 79.4,16,stable,-2.0 ,-13.3, 10.8
"Arkansas County(6,10)",05001,No,62 ,48.2, 78.6,15,stable,12.1 ,-27.9, 74.2
"Jackson County(6,10)",05067,No,60.7 ,46.8, 77.6,14,stable,-2.6 ,-22.6, 22.5
"Pike County(6,10)",05109,No,60.3 ,43.7, 81.7,9,stable,-8.9 ,-32.8, 23.5
"Poinsett County(6,10)",05111,No,60.2 ,48.2, 74.5,18,stable,12.9 ,-7.1, 37.2
"Calhoun County(6,10)",05013,No,59.5 ,36.3, 93.6,4,stable,9.7 ,-26.8, 64.3
"Monroe County(6,10)",05095,No,59.1 ,40.9, 84.2,7,stable,-1.1 ,-31.5, 42.7
"Bradley County(6,10)",05011,No,57.5 ,41.5, 78.2,9,stable,-7.4 ,-44.2, 53.8
"Mississippi County(6,10)",05093,No,55.7 ,46.5, 66.2,27,stable,-4.0 ,-22.9, 19.7
"Clay County(6,10)",05021,No,55.5 ,42.3, 72.1,13,stable,-2.7 ,-18.2, 15.6
"Desha County(6,10)",05041,No,55.4 ,39.8, 75.5,9,stable,-4.0 ,-39.4, 52.2
"Little River County(6,10)",05081,No,54.1 ,38.7, 74,9,stable,7.3 ,-25.4, 54.1
"Lawrence County(6,10)",05075,No,53.3 ,40.2, 69.5,12,stable,10.0 ,-21.6, 54.2
"Fulton County(6,10)",05049,No,53.1 ,39.1, 71.3,11,stable,-13.3 ,-38.1, 21.3
"Lee County(6,10)",05077,No,53 ,36.2, 75.5,7,stable,-1.9 ,-13.0, 10.7
"Union County(6,10)",05139,No,52.9 ,44, 63.1,26,stable,8.8 ,-6.2, 26.2
"Greene County(6,10)",05055,No,52.8 ,44.1, 62.8,27,stable,-2.1 ,-26.0, 29.5
"Prairie County(6,10)",05117,No,52.5 ,34.8, 76.8,6,stable,4.7 ,-21.0, 38.7
"Perry County(6,10)",05105,No,52.3 ,36.3, 73.5,7,stable,18.4 ,-34.0, 112.5
"White County(6,10)",05145,No,51.2 ,44.7, 58.4,46,stable,-6.7 ,-22.0, 11.6
"Drew County(6,10)",05043,No,50.7 ,37.9, 66.5,11,rising,31.1 ,18.3, 45.3
"Ashley County(6,10)",05003,No,50.2 ,38.8, 64.3,14,stable,3.7 ,-37.8, 73.0
"Grant County(6,10)",05053,No,50 ,37.9, 65.2,12,stable,-11.3 ,-23.1, 2.4
"Independence County(6,10)",05063,No,48.9 ,40.2, 59,23,stable,-8.5 ,-18.0, 2.1
"Searcy County(6,10)",05129,No,48.5 ,32.2, 71.6,6,stable,14.9 ,-19.6, 64.1
"Crittenden County(6,10)",05035,No,48.4 ,40, 58,24,stable,-1.1 ,-25.1, 30.8
"St. Francis County(6,10)",05123,No,48.1 ,37.7, 60.7,15,stable,3.8 ,-3.2, 11.4
"Scott County(6,10)",05127,No,47.8 ,32.7, 68,7,stable,-3.4 ,-62.5, 149.1
"Ouachita County(6,10)",05103,No,47.7 ,37.9, 59.6,17,stable,4.3 ,-17.5, 31.8
"Madison County(6,10)",05087,No,47.5 ,34.9, 63.5,10,stable,15.9 ,-4.3, 40.4
"Crawford County(6,10)",05033,No,46.8 ,39.8, 54.8,33,stable,-4.0 ,-19.3, 14.2
"Randolph County(6,10)",05121,No,45.9 ,34.4, 60.4,11,stable,-1.3 ,-27.4, 34.2
"Sevier County(6,10)",05133,No,45.8 ,32.9, 62.1,8,stable,-1.9 ,-33.4, 44.4
"Washington County(6,10)",05143,No,45.5 ,41.3, 50,89,stable,2.3 ,-7.9, 13.7
"Chicot County(6,10)",05017,No,45.4 ,31.7, 63.9,7,stable,-2.2 ,-28.7, 34.2
"Howard County(6,10)",05061,No,44.4 ,31, 62,7,stable,0.3 ,-15.3, 18.8
"Carroll County(6,10)",05015,No,43.7 ,34.2, 55.3,16,stable,18.1 ,-10.7, 56.2
"Pope County(6,10)",05115,No,43.2 ,36.4, 50.9,29,stable,1.8 ,-4.6, 8.7
"Van Buren County(6,10)",05141,No,42.9 ,32.3, 56.6,12,stable,-5.5 ,-38.9, 46.2
"Boone County(6,10)",05009,No,42.9 ,35.1, 52,22,stable,-6.6 ,-19.5, 8.4
"Sharp County(6,10)",05135,No,42.8 ,32.5, 56.2,12,stable,0.6 ,-19.0, 25.1
"Cleburne County(6,10)",05023,No,42.8 ,34.2, 53.4,19,stable,1.0 ,-19.0, 26.0
"Logan County(6,10)",05083,No,42.8 ,32.6, 55.3,13,stable,-4.2 ,-26.6, 25.0
"Stone County(6,10)",05137,No,42.6 ,30, 59.6,9,stable,-5.2 ,-35.8, 40.0
"Woodruff County(6,10)",05147,No,42.6 ,26, 67.2,4,stable,-9.2 ,-40.3, 38.1
"Faulkner County(6,10)",05045,No,42.4 ,37, 48.3,47,stable,-2.0 ,-21.0, 21.6
