------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=42&areatype=county&cancer=001&race=04&sex=0&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '42', 'areatype': 'county', 'cancer': '001', 'race': '04', 'sex': '0', 'age': '001', 'type': 'death', 'file_name': 'deathrates_029.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=42&areatype=county&cancer=001&race=04&sex=0&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Death Rate Report for Pennsylvania by County

"All Cancer Sites, 2012-2016"

"Asian or Pacific Islander (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of 161.4?,"Age-Adjusted Death Rate(†) - deaths per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Pennsylvania",42000,Yes,102.5 ,97.1, 108.2,303,rising,1.2 ,0.3, 2.2
"United States",00000,Yes,100 ,99.3, 100.7,16633,falling,-1.4 ,-1.4, -1.3
"Erie County",42049,No,273.7 ,158.7, 427.2,5,*,*,*,*
"Lackawanna County",42069,Yes,150.8 ,90.7, 231.2,5,*,*,*,*
"Westmoreland County",42129,Yes,149.5 ,91.5, 228.7,4,*,*,*,*
"Luzerne County",42079,Yes,145.2 ,81.9, 232.6,4,*,*,*,*
"Lancaster County",42071,Yes,127.7 ,94, 168.6,11,stable,-0.2 ,-3.1, 2.8
"York County",42133,Yes,115.6 ,72.4, 172.8,5,*,*,*,*
"Lehigh County",42077,Yes,110.3 ,78.5, 149.5,9,stable,0.8 ,-1.8, 3.5
"Philadelphia County",42101,Yes,109.9 ,99.6, 120.9,92,falling,-0.9 ,-1.6, -0.2
"Dauphin County",42043,Yes,104.1 ,71.8, 144.7,8,*,*,*,*
"Cumberland County",42041,Yes,104 ,69.4, 148.5,7,*,*,*,*
"Chester County",42029,Yes,103.7 ,78.6, 133.4,14,*,*,*,*
"Berks County",42011,Yes,102.6 ,65.3, 151.8,5,*,*,*,*
