------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=06&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '06', 'areatype': 'county', 'topic': 'pop', 'demo': '00101', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_024.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=06&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for California by County
Population: Non-Hispanic (Origin Recode)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Non-Hispanic [Origin Recode]),Rank within US
"California",06000,61.3,23876987,"4 of 52"
"United States",00000,82.4,264493836,"N/A"
"Imperial County",06025,16.6,29849,"15 of 3141"
"Tulare County",06107,36.4,166942,"42 of 3141"
"San Benito County",06069,41.1,24110,"56 of 3141"
"Colusa County",06011,41.6,8940,"59 of 3141"
"Merced County",06047,41.8,111740,"61 of 3141"
"Monterey County",06053,42.1,182255,"63 of 3141"
"Madera County",06039,43.1,66588,"67 of 3141"
"Kings County",06031,46.3,69468,"82 of 3141"
"Fresno County",06019,47.6,462174,"88 of 3141"
"San Bernardino County",06071,47.7,1012224,"89 of 3141"
"Kern County",06029,47.8,419837,"90 of 3141"
"Los Angeles County",06037,51.6,5212143,"107 of 3141"
"Riverside County",06065,52.0,1224969,"110 of 3141"
"Stanislaus County",06099,55.0,294868,"122 of 3141"
"Santa Barbara County",06083,55.2,244440,"123 of 3141"
"Ventura County",06111,57.7,489590,"136 of 3141"
"Glenn County",06021,59.2,16528,"147 of 3141"
"San Joaquin County",06077,59.2,428547,"149 of 3141"
"Orange County",06059,65.8,2076644,"191 of 3141"
"Napa County",06055,66.3,93458,"198 of 3141"
"San Diego County",06073,66.6,2188207,"200 of 3141"
"Santa Cruz County",06087,66.7,182167,"201 of 3141"
"Yolo County",06113,68.6,145818,"214 of 3141"
"Sutter County",06101,69.8,66673,"225 of 3141"
"Yuba County",06115,72.6,54165,"255 of 3141"
"Mono County",06051,72.9,10243,"260 of 3141"
"Sonoma County",06097,73.6,368925,"272 of 3141"
"Santa Clara County",06085,73.9,1412973,"278 of 3141"
"Solano County",06095,74.2,322883,"282 of 3141"
"Contra Costa County",06013,74.7,839675,"287 of 3141"
"San Mateo County",06081,75.1,573405,"292 of 3141"
"Mendocino County",06045,75.5,66095,"295 of 3141"
"Tehama County",06103,75.8,47931,"300 of 3141"
"Sacramento County",06067,77.2,1154744,"324 of 3141"
"Alameda County",06001,77.5,1262574,"331 of 3141"
"San Luis Obispo County",06079,77.8,217945,"339 of 3141"
"Inyo County",06027,78.6,14301,"351 of 3141"
"Lake County",06033,80.6,51650,"392 of 3141"
"Del Norte County",06015,80.8,22161,"397 of 3141"
"Lassen County",06035,81.5,25641,"417 of 3141"
"Marin County",06041,84.1,219423,"482 of 3141"
"Butte County",06007,84.3,189762,"488 of 3141"
"San Francisco County",06075,84.7,732314,"506 of 3141"
"Modoc County",06049,85.4,7700,"526 of 3141"
"Placer County",06061,86.4,323854,"558 of 3141"
"Amador County",06005,86.8,32363,"569 of 3141"
"El Dorado County",06017,87.4,161736,"592 of 3141"
"Siskiyou County",06093,88.0,38312,"627 of 3141"
"Tuolumne County",06109,88.2,47514,"633 of 3141"
"Calaveras County",06009,88.5,39891,"649 of 3141"
"Humboldt County",06023,88.9,120504,"672 of 3141"
"Mariposa County",06043,89.4,15788,"700 of 3141"
"Sierra County",06091,89.9,2595,"726 of 3141"
"Alpine County",06003,90.3,1086,"754 of 3141"
"Shasta County",06089,90.4,161701,"765 of 3141"
"Nevada County",06057,90.8,89729,"794 of 3141"
"Plumas County",06063,91.5,17125,"847 of 3141"
"Trinity County",06105,92.8,12100,"978 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:58 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Non-Hispanic (Origin Recode), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
