------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=06&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '06', 'areatype': 'county', 'topic': 'pov', 'demo': '00007', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_028.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=06&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for California by County
Poverty: Families below poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Families (Below Poverty),Rank within US
"United States",00000,10.5,8253388,"N/A"
"California",06000,11.1,986374,"34 of 52"
"Sierra County",06091,3.4,24,"73 of 3141"
"Mono County",06051,4.2,103,"152 of 3141"
"San Mateo County",06081,4.3,7812,"161 of 3141"
"Marin County",06041,4.3,2815,"169 of 3141"
"Amador County",06005,5.2,492,"275 of 3141"
"Napa County",06055,5.3,1782,"287 of 3141"
"Santa Clara County",06085,5.6,25401,"339 of 3141"
"Placer County",06061,5.9,5746,"392 of 3141"
"El Dorado County",06017,6.4,3070,"495 of 3141"
"San Francisco County",06075,6.4,10789,"500 of 3141"
"Sonoma County",06097,6.5,7809,"519 of 3141"
"San Luis Obispo County",06079,6.6,4381,"534 of 3141"
"Contra Costa County",06013,6.9,19339,"611 of 3141"
"Nevada County",06057,7.0,1799,"621 of 3141"
"Ventura County",06111,7.1,14016,"656 of 3141"
"Alameda County",06001,7.4,28141,"738 of 3141"
"Inyo County",06027,7.6,330,"779 of 3141"
"San Benito County",06069,7.7,1072,"810 of 3141"
"Plumas County",06063,8.1,396,"921 of 3141"
"Alpine County",06003,8.3,17,"953 of 3141"
"Santa Cruz County",06087,8.4,5034,"991 of 3141"
"Orange County",06059,8.4,62423,"1011 of 3141"
"Calaveras County",06009,8.6,1021,"1044 of 3141"
"Modoc County",06049,8.6,182,"1055 of 3141"
"Solano County",06095,8.6,9156,"1058 of 3141"
"Yolo County",06113,9.3,4239,"1223 of 3141"
"Santa Barbara County",06083,9.4,8838,"1252 of 3141"
"Tuolumne County",06109,9.4,1346,"1257 of 3141"
"San Diego County",06073,9.5,70873,"1279 of 3141"
"Mariposa County",06043,9.8,472,"1356 of 3141"
"Humboldt County",06023,10.5,3207,"1540 of 3141"
"Lassen County",06035,10.6,647,"1559 of 3141"
"Colusa County",06011,10.6,565,"1561 of 3141"
"Monterey County",06053,11.1,10095,"1686 of 3141"
"Shasta County",06089,11.5,5220,"1796 of 3141"
"Butte County",06007,12.0,6173,"1885 of 3141"
"Riverside County",06065,12.0,62751,"1891 of 3141"
"Sacramento County",06067,12.6,44224,"2010 of 3141"
"Los Angeles County",06037,13.1,289734,"2133 of 3141"
"San Joaquin County",06077,13.6,22726,"2226 of 3141"
"Stanislaus County",06099,13.6,17355,"2227 of 3141"
"Mendocino County",06045,13.8,2865,"2253 of 3141"
"Sutter County",06101,13.8,3238,"2256 of 3141"
"Tehama County",06103,13.8,2243,"2265 of 3141"
"Trinity County",06105,14.1,484,"2315 of 3141"
"San Bernardino County",06071,14.5,68788,"2380 of 3141"
"Siskiyou County",06093,14.9,1749,"2418 of 3141"
"Glenn County",06021,15.5,1118,"2526 of 3141"
"Yuba County",06115,16.2,2969,"2592 of 3141"
"Kings County",06031,16.3,5251,"2606 of 3141"
"Del Norte County",06015,16.8,966,"2667 of 3141"
"Lake County",06033,17.8,2847,"2747 of 3141"
"Madera County",06039,18.0,6233,"2771 of 3141"
"Kern County",06029,18.7,36944,"2816 of 3141"
"Merced County",06047,19.9,12042,"2892 of 3141"
"Imperial County",06025,20.6,7229,"2927 of 3141"
"Fresno County",06019,20.8,45639,"2933 of 3141"
"Tulare County",06107,23.0,24154,"3002 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:58 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Families below poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
